"OA","OAtype","OC","OCtype","aerosol","aerosoltype","month","station","lat","lon","obs_OC","obs_lbnd","obs_ubnd"
391.785213296973,"TOA",219.698131677621,"TOC",0.391785213296973,"TOC",6,"Amsterdam Island",-37,78.75,100,NA,NA
258.116967237456,"MOA",143.39831513192,"MOC",0.258116967237456,"MOA",7,"Amsterdam Island",-37,78.75,100,NA,NA
15.0473551912835,"SOA",7.9196606269913,"SOC",0.0150473551912835,"SOA",7,"Amsterdam Island",-37,78.75,100,NA,NA
25.7618000427506,"POA",18.4012857448218,"POC",0.0257618000427506,"POA",7,"Amsterdam Island",-37,78.75,100,NA,NA
298.92612247149,"TOA",169.719261503733,"TOC",0.29892612247149,"TOC",7,"Amsterdam Island",-37,78.75,100,NA,NA
232.034048883261,"MOA",128.907804935145,"MOC",0.232034048883261,"MOA",8,"Amsterdam Island",-37,78.75,110,NA,NA
13.6172837766882,"SOA",7.16699146141485,"SOC",0.0136172837766882,"SOA",8,"Amsterdam Island",-37,78.75,110,NA,NA
35.1218410488385,"POA",25.087029320599,"POC",0.0351218410488385,"POA",8,"Amsterdam Island",-37,78.75,110,NA,NA
280.773173708787,"TOA",161.161825717159,"TOC",0.280773173708787,"TOC",8,"Amsterdam Island",-37,78.75,110,NA,NA
257.970246300931,"MOA",143.316803500517,"MOC",0.257970246300931,"MOA",9,"Amsterdam Island",-37,78.75,100,NA,NA
6.40432851126655,"SOA",3.37069921645608,"SOC",0.00640432851126655,"SOA",9,"Amsterdam Island",-37,78.75,100,NA,NA
22.6059854539706,"POA",16.1471324671218,"POC",0.0226059854539706,"POA",9,"Amsterdam Island",-37,78.75,100,NA,NA
286.980560266168,"TOA",162.834635184095,"TOC",0.286980560266168,"TOC",9,"Amsterdam Island",-37,78.75,100,NA,NA
280.276206342972,"MOA",155.709003523873,"MOC",0.280276206342972,"MOA",10,"Amsterdam Island",-37,78.75,100,NA,NA
4.74679126112829,"SOA",2.49831119006752,"SOC",0.00474679126112829,"SOA",10,"Amsterdam Island",-37,78.75,100,NA,NA
13.3634622978904,"POA",9.54533021277888,"POC",0.0133634622978904,"POA",10,"Amsterdam Island",-37,78.75,100,NA,NA
298.38645990199,"TOA",167.752644926719,"TOC",0.29838645990199,"TOC",10,"Amsterdam Island",-37,78.75,100,NA,NA
315.373055506958,"MOA",175.207253059421,"MOC",0.315373055506958,"MOA",11,"Amsterdam Island",-37,78.75,120,NA,NA
2.1114871186003,"SOA",1.11130900978963,"SOC",0.0021114871186003,"SOA",11,"Amsterdam Island",-37,78.75,120,NA,NA
4.90589424258305,"POA",3.50421017327361,"POC",0.00490589424258305,"POA",11,"Amsterdam Island",-37,78.75,120,NA,NA
322.390436868141,"TOA",179.822772242484,"TOC",0.322390436868141,"TOC",11,"Amsterdam Island",-37,78.75,120,NA,NA
290.913166844652,"MOA",161.618426024806,"MOC",0.290913166844652,"MOA",12,"Amsterdam Island",-37,78.75,210,NA,NA
2.65930393379051,"SOA",1.39963364936343,"SOC",0.00265930393379051,"SOA",12,"Amsterdam Island",-37,78.75,210,NA,NA
3.59254219099992,"POA",2.56610156499994,"POC",0.00359254219099992,"POA",12,"Amsterdam Island",-37,78.75,210,NA,NA
297.165012969442,"TOA",165.58416123917,"TOC",0.297165012969442,"TOC",12,"Amsterdam Island",-37,78.75,210,NA,NA
97.0908892070233,"MOA",53.9393828927907,"MOC",0.0970908892070233,"MOA",7,"Gulf of Mexico (north)",27,271.25,480,NA,NA
505.597978561868,"SOA",266.104199243089,"SOC",0.505597978561868,"SOA",7,"Gulf of Mexico (north)",27,271.25,480,NA,NA
136.400395545854,"POA",97.4288539613245,"POC",0.136400395545854,"POA",7,"Gulf of Mexico (north)",27,271.25,480,NA,NA
739.089263314746,"TOA",417.472436097204,"TOC",0.739089263314746,"TOC",7,"Gulf of Mexico (north)",27,271.25,480,NA,NA
85.6271940507535,"MOA",47.5706633615297,"MOC",0.0856271940507535,"MOA",8,"Gulf of Mexico (north)",27,271.25,190,NA,NA
899.078736150098,"SOA",473.199334815841,"SOC",0.899078736150098,"SOA",8,"Gulf of Mexico (north)",27,271.25,190,NA,NA
155.190089983687,"POA",110.850064274062,"POC",0.155190089983687,"POA",8,"Gulf of Mexico (north)",27,271.25,190,NA,NA
1139.89602018454,"TOA",631.620062451433,"TOC",1.13989602018454,"TOC",8,"Gulf of Mexico (north)",27,271.25,190,NA,NA
83.7037467145668,"MOA",46.5020815080927,"MOC",0.0837037467145668,"MOA",1,"Gulf of Mexico (west)",25,263.75,3070,NA,NA
1018.44422035971,"SOA",536.02327387353,"SOC",1.01844422035971,"SOA",1,"Gulf of Mexico (west)",25,263.75,3070,NA,NA
268.55752307949,"POA",191.826802199635,"POC",0.26855752307949,"POA",1,"Gulf of Mexico (west)",25,263.75,3070,NA,NA
1370.70549015376,"TOA",774.352157581258,"TOC",1.37070549015376,"TOC",1,"Gulf of Mexico (west)",25,263.75,3070,NA,NA
153.401805952681,"MOA",85.2232255292673,"MOC",0.153401805952681,"MOA",2,"Gulf of Mexico (west)",25,263.75,3290,NA,NA
1395.62911520636,"SOA",734.541639582297,"SOC",1.39562911520636,"SOA",2,"Gulf of Mexico (west)",25,263.75,3290,NA,NA
331.213380887957,"POA",236.580986348541,"POC",0.331213380887957,"POA",2,"Gulf of Mexico (west)",25,263.75,3290,NA,NA
1880.244302047,"TOA",1056.34585146011,"TOC",1.880244302047,"TOC",2,"Gulf of Mexico (west)",25,263.75,3290,NA,NA
233.646093782326,"MOA",129.803385434625,"MOC",0.233646093782326,"MOA",3,"Gulf of Mexico (west)",25,263.75,3030,2820,3250
1758.08585363472,"SOA",925.308344018273,"SOC",1.75808585363472,"SOA",3,"Gulf of Mexico (west)",25,263.75,3030,2820,3250
883.919322593827,"POA",631.370944709877,"POC",0.883919322593827,"POA",3,"Gulf of Mexico (west)",25,263.75,3030,2820,3250
2875.65127001087,"TOA",1686.48267416277,"TOC",2.87565127001087,"TOC",3,"Gulf of Mexico (west)",25,263.75,3030,2820,3250
287.589102120075,"MOA",159.771723400042,"MOC",0.287589102120075,"MOA",4,"Gulf of Mexico (west)",25,263.75,2860,NA,NA
2409.31879954132,"SOA",1268.06252607438,"SOC",2.40931879954132,"SOA",4,"Gulf of Mexico (west)",25,263.75,2860,NA,NA
3711.38915248129,"POA",2650.99225177235,"POC",3.71138915248129,"POA",4,"Gulf of Mexico (west)",25,263.75,2860,NA,NA
6408.29705414268,"TOA",4078.82650124677,"TOC",6.40829705414268,"TOC",4,"Gulf of Mexico (west)",25,263.75,2860,NA,NA
166.811963749255,"MOA",92.6733131940308,"MOC",0.166811963749255,"MOA",5,"Gulf of Mexico (west)",25,263.75,2680,NA,NA
1938.30743850559,"SOA",1020.16180973979,"SOC",1.93830743850559,"SOA",5,"Gulf of Mexico (west)",25,263.75,2680,NA,NA
3087.94617775258,"POA",2205.67584125184,"POC",3.08794617775258,"POA",5,"Gulf of Mexico (west)",25,263.75,2680,NA,NA
5193.06558000743,"TOA",3318.51096418566,"TOC",5.19306558000743,"TOC",5,"Gulf of Mexico (west)",25,263.75,2680,NA,NA
149.998433051449,"MOA",83.3324628063605,"MOC",0.149998433051449,"MOA",6,"Gulf of Mexico (west)",25,263.75,2820,NA,NA
1202.9009298921,"SOA",633.105752574789,"SOC",1.2029009298921,"SOA",6,"Gulf of Mexico (west)",25,263.75,2820,NA,NA
