"date","site","avg_cl","avg_na","avg_so4","avg_dust","avg_no3","avg_msa","avg_nh4","avg_ncl","avg_nssSO4","total_aerosol","month"
1987-07-02,"Bar_84-01_M_ng",9.961,5.629,2.469,23.583,0.596,NA,NA,16.8340005516513,1.0527436,41.4697441516513,"JUL"
1987-08-02,"Bar_84-01_M_ng",7.361,4.194,2.091,20.356,0.524,NA,NA,12.5425116918859,1.0357896,33.9343012918859,"AUG"
1987-09-02,"Bar_84-01_M_ng",5.824,3.265,1.593,13.727,0.44,NA,NA,9.76425862518058,0.771526,24.2627846251806,"SEP"
1987-10-02,"Bar_84-01_M_ng",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"OCT"
1987-11-02,"Bar_84-01_M_ng",6.941,4.031,1.327,3.433,0.405,NA,NA,12.0550464067697,0.3128004,15.8008468067697,"NOV"
1987-12-02,"Bar_84-01_M_ng",6.42,3.601,1.421,3.704,0.645,NA,NA,10.7690950411257,0.5149884,14.9880834411257,"DEC"
1988-01-01,"Bar_84-01_M_ng",7.179,4.186,1.316,1.671,0.179,NA,NA,12.5185870153157,0.2628024,14.4523894153157,"JAN"
1988-02-01,"Bar_84-01_M_ng",6.423,3.645,1.278,2.187,0.225,NA,NA,10.9006807622613,0.360918,13.4485987622613,"FEB"
1988-03-01,"Bar_84-01_M_ng",5.875,3.358,1.407,4.227,0.365,NA,NA,10.0423829903082,0.5621272,14.8315101903082,"MAR"
1988-04-01,"Bar_84-01_M_ng",4.712,2.735,1.52,11.787,0.627,NA,NA,8.17924880241007,0.831874,20.7981228024101,"APR"
1988-05-01,"Bar_84-01_M_ng",6.737,3.928,1.808,11.344,0.627,NA,NA,11.7470161959293,0.8197152,23.9107313959293,"MAY"
1988-06-01,"Bar_84-01_M_ng",5.726,3.442,1.663,14.201,0.411,NA,NA,10.2935920942945,0.7969928,25.2915848942945,"JUN"
1988-07-01,"Bar_84-01_M_ng",5.969,3.505,1.531,17.052,0.374,NA,NA,10.4819989222842,0.649142,28.1831409222842,"JUL"
1988-08-01,"Bar_84-01_M_ng",5.77,3.424,1.715,9.732,0.463,0.0265,0.1682,10.2397615720117,0.8535216,20.8252831720117,"AUG"
1988-09-01,"Bar_84-01_M_ng",7.398,4.268,2.339,24.309,0.529,0.0231,0.1185,12.7638149501595,1.2651712,38.3379861501595,"SEP"
