month,site,site.long.name,lat,lon,MOA,TOA,BC,SO4,NCL,DST,smSS,total.aerosol
MAY,VX0074,Gulf of Mexico (west),79.112,111.25,0,0,0,0,0,0,3.51177701095e-11,0
JUN,VX0074,Gulf of Mexico (west),79.112,111.25,0,0,0,0,0,0,4.22028859183e-11,0
JUL,VX0074,Gulf of Mexico (west),79.112,111.25,0,0,0,0,0,0,5.47149307224e-11,0
AUG,VX0074,Gulf of Mexico (west),79.112,111.25,0,0,0,0,0,0,6.73889710142e-11,0
SEP,VX0074,Gulf of Mexico (west),79.112,111.25,0,0,0,0,0,0,3.08586223613e-11,0
OCT,VX0074,Gulf of Mexico (west),79.112,111.25,0,0,0,0,0,0,3.58492908619e-11,0
NOV,VX0074,Gulf of Mexico (west),79.112,111.25,0,0,0,0,0,0,4.82779436837e-11,0
DEC,VX0074,Gulf of Mexico (west),79.112,111.25,0,0,0,0,0,0,5.66203008362e-11,0
JAN,Gulf of Mexico (west),"Cheju, Korea (NASA PEM-West)",10.0,297.047,0,0,0,0,0,0,3.29316529505e-10,0
FEB,Gulf of Mexico (west),"Cheju, Korea (NASA PEM-West)",10.0,297.047,0,0,0,0,0,0,3.53951295846e-10,0
MAR,Gulf of Mexico (west),"Cheju, Korea (NASA PEM-West)",10.0,297.047,0,0,0,0,0,0,2.58367309394e-10,0
APR,Gulf of Mexico (west),"Cheju, Korea (NASA PEM-West)",10.0,297.047,0,0,0,0,0,0,2.92575138218e-10,0
MAY,Gulf of Mexico (west),"Cheju, Korea (NASA PEM-West)",10.0,297.047,0,0,0,0,0,0,2.85738516549e-10,0
JUN,Gulf of Mexico (west),"Cheju, Korea (NASA PEM-West)",10.0,297.047,0,0,0,0,0,0,2.94924447811e-10,0
JUL,Gulf of Mexico (west),"Cheju, Korea (NASA PEM-West)",10.0,297.047,0,0,0,0,0,0,1.83880037075e-10,0
AUG,Gulf of Mexico (west),"Cheju, Korea (NASA PEM-West)",10.0,297.047,0,0,0,0,0,0,1.83711248617e-10,0
SEP,Gulf of Mexico (west),"Cheju, Korea (NASA PEM-West)",10.0,297.047,0,0,0,0,0,0,1.25772209061e-10,0
OCT,Gulf of Mexico (west),"Cheju, Korea (NASA PEM-West)",10.0,297.047,0,0,0,0,0,0,1.23727292555e-10,0
