"month","num_a1","mom_a1","ncl_a1","pom_a1","soa_a1","so4_a1","dst_a1","bc_a1","wat_a1","num_a2","mom_a2","ncl_a2","soa_a2","so4_a2","wat_a2","num_a3","mom_a3","ncl_a3","pom_a3","soa_a3","so4_a3","dst_a3","bc_a3","wat_a3","num_a4","mom_a4","pom_a4","bc_a4","wat_a4","num_c1","mom_c1","ncl_c1","pom_c1","soa_c1","so4_c1","dst_c1","bc_c1","num_c2","mom_c2","ncl_c2","soa_c2","so4_c2","num_c3","mom_c3","ncl_c3","pom_c3","soa_c3","so4_c3","dst_c3","bc_c3","num_c4","mom_c4","pom_c4","bc_c4","site","site.long.name","lat","lon","moist.density","MOA","SOA","POA","SO4","BC","NCL","smSS","DST","total.aerosol","total.aerosol.no.moa"
"MAY",73876088,3.89500293129785e-10,2.34703173562778e-10,1.64480217640373e-11,1.47961972535304e-11,1.62224428335023e-10,1.18329452139521e-11,1.88429198459683e-12,2.4464292813775e-09,286554944,5.13412229397048e-12,3.17206894431821e-12,7.56061662929297e-13,1.62394785119258e-11,5.30092844619467e-11,282001.8125,2.21754576507083e-11,5.43108269468462e-09,5.57576727844289e-12,4.95747670345437e-12,3.80106050801299e-11,2.80377138173193e-10,6.27956725247208e-13,3.61037670870701e-08,6103193,4.0320513177176e-15,8.56154036554813e-12,7.24759878847903e-13,1.82763621402703e-15,6414008,5.54599144386714e-11,3.37973989072982e-11,7.57667041086096e-13,2.2579568423331e-12,2.9531224687851e-11,5.77078857789959e-13,1.79236752393189e-13,311462.25,1.54332872436685e-13,1.01532673870038e-13,1.86033981730734e-14,7.02844412444475e-13,44568.60546875,1.15216961405623e-12,6.28986140949195e-10,2.96393009961704e-13,6.65723227412374e-13,3.14770475309811e-12,1.8514198854569e-11,5.65860800870368e-14,0.000809008895885199,1.26611837024416e-21,3.85709123905254e-19,7.08963642945614e-20,"ICE0077","ICE0077",78.2,4.217,1.3016422863962,0.616432173188289,0.0305261397460938,0.0411831677377468,0.325223507093755,0.0045203843236048,8.24179461227643,0.353752757343687,0.405203015419807,9.63435686003963,9.01792468685134
"JUN",137250128,1.23271515217738e-09,3.67620212049502e-10,1.0731924897367e-11,3.33681415831677e-11,2.64253091630806e-10,5.77101907928146e-12,1.37922225723619e-12,5.05270048023476e-09,397471872,1.43420327697319e-11,4.2301769725972e-12,1.43065778408086e-12,2.00549316736742e-11,8.52895948311172e-11,448309.15625,3.39231871759882e-11,6.96503077435295e-09,5.96542737082983e-12,1.4450017571388e-11,5.56460155731742e-11,1.76390624329059e-10,7.15101805895402e-13,5.59874067107557e-08,1428762.125,1.50681189734262e-15,1.90960745480306e-12,2.93071122925426e-13,8.50602238214912e-16,14756570,1.98243588211966e-10,5.86843906802414e-11,1.08083962786776e-12,5.41888582616945e-12,7.8842668504997e-11,5.25168233553308e-13,2.14707686851077e-13,446658.9375,3.35982191504089e-13,9.86210828171456e-14,4.34507132693589e-14,1.37804264527253e-12,82710.3046875,4.56477824289925e-12,1.05793018789768e-09,6.26518585275515e-13,2.28427433218714e-12,7.74903665540227e-12,2.63615396872696e-11,1.22778699642064e-13,0.00141314801294357,2.0306058211439e-21,4.24229115574259e-19,1.17714767578017e-19,"ICE0077","ICE0077",78.2,4.217,1.28312283194214,1.90431624809641,0.0731321347396577,0.026065765703535,0.549078781024513,0.00349635791112001,10.8469999391886,0.552555548744326,0.268234712570312,13.5981918044945,11.6938755563981
"JUL",114479696,9.70727165316987e-10,4.36882141574557e-10,6.94391809677453e-12,4.23482915401507e-11,1.68941902134456e-10,1.96836167157266e-12,9.33594347662936e-13,5.02248997946708e-09,270801408,1.18458905878915e-11,5.22224884863531e-12,1.70326274785693e-12,1.24121815256450e-11,7.54286008652905e-11,539923.6875,2.89967702626903e-11,8.05860089769794e-09,4.67923356312072e-12,1.76266813645132e-11,3.49586470882457e-11,8.42334813011547e-11,5.33192522252091e-13,6.43587370063869e-08,868135.1875,8.50214138306391e-16,1.17712404493903e-12,1.67536964119572e-13,4.9295274063215e-16,19722080,2.2290759515986e-10,9.92334964200481e-11,1.63629526594988e-12,1.0890860262236e-11,7.14419495784213e-11,4.44285775703934e-13,2.17569817956113e-13,782020.3125,4.54854795321757e-13,2.19595066956735e-13,7.86054096704562e-14,1.60353132681867e-12,140638.640625,4.71227484116765e-12,1.85681814368621e-09,1.08702565178309e-12,4.45820377142914e-12,7.73927276431774e-12,1.96291368576018e-11,1.30364198169114e-13,0.00147777318488806,1.17940799123262e-21,3.01731189028851e-19,9.73026190101537e-20,"ICE0077","ICE0077",78.2,4.217,1.26729092511457,1.57099136727445,0.0977156138007238,0.0196729135072998,0.376508945877177,0.00251209750805538,13.252031452107,0.686310882252689,0.134681679666666,15.3563984559406,13.7854070886662
"AUG",66928492,2.58058852065091e-10,5.40156308570516e-10,1.51069903114864e-11,7.93664370335456e-11,1.07398881454834e-10,1.67370772189562e-12,1.77596208138925e-12,5.42406342063373e-09,145344912,2.43337641703256e-12,4.97548530153935e-12,7.64546466500843e-13,7.0199592666631e-12,5.48867895577843e-11,640377.5625,1.0239281644786e-11,8.38314218043479e-09,9.38027346769621e-12,2.82207989615868e-11,4.5889684413547e-11,6.25156038047692e-11,1.12732544653438e-12,7.19827895068192e-08,5201011,3.30233158662508e-15,7.37528701305612e-12,4.06136170701121e-13,1.58959496837662e-15,9304169,3.94501896427979e-11,8.79588138436027e-11,2.41270198264587e-12,1.41224115735028e-11,3.32344464448742e-11,3.04391142283075e-13,3.29359911739602e-13,574666.1875,1.0491863725471e-13,2.37010443823044e-13,3.13946561618633e-14,8.90191186823236e-13,117698.015625,1.42019653415898e-12,1.43996647938849e-09,1.74595743678702e-12,5.3298502764032e-12,9.89423126762645e-12,1.19441592033587e-11,2.67363415478242e-13,0.00143761851359159,3.61832751009954e-21,3.66496484160821e-19,4.57782365878674e-20,"ICE0077","ICE0077",78.2,4.217,1.26672044697789,0.394849579083799,0.161931764388782,0.045628803964262,0.258825687901043,0.00494799636452493,13.2453816358422,0.802249043558423,0.0968254025569227,14.0464591057127,13.6516095266289
"SEP",38112356,6.64572563646715e-11,2.58965848765058e-10,1.02105815122377e-11,2.8109830435552e-11,9.4402777262026e-11,1.65847988554263e-12,1.63321905912589e-12,2.99255553670719e-09,95362336,7.42263997662029e-13,2.87184533966089e-12,4.30585336266484e-13,6.17207023337341e-12,3.91648553865753e-11,308446.28125,5.41299600628764e-12,5.25367171988478e-09,4.57046553381524e-12,8.9249840157235e-12,3.36425713676203e-11,1.39426747924887e-10,6.61896047953608e-13,4.78200554709929e-08,14172102,1.07668390804568e-14,2.01858963572166e-11,1.01492837571715e-12,3.48885226501697e-15,5795865.5,1.27634951219147e-11,4.96782927295047e-11,1.85066437001502e-12,7.88152355879479e-12,2.76204389221268e-11,3.32010515000786e-13,4.57611975656497e-13,404458.0625,3.93195607908785e-14,1.52695645841069e-13,2.03929941374392e-14,5.66788423920356e-13,65738.5078125,4.53183145307165e-13,8.65620630730035e-10,6.5628199489437e-13,1.85202959739061e-12,6.08508382571316e-12,2.95249241721862e-11,1.48024713146622e-13,0.000123247693409212,6.6392925609665e-23,8.57178705208175e-20,5.76186226605736e-21,"ICE0077","ICE0077",78.2,4.217,1.27824944418529,0.109775143251019,0.0603581026998688,0.0479009788772045,0.215371903767888,0.00500521601031987,8.22037236613081,0.398390320150105,0.21850672420041,8.81693233223765,8.70715718898663
"OCT",28560278,4.1166691583383e-11,2.43691344881114e-10,6.10009612267426e-12,5.59061737875899e-12,5.42611684750671e-11,3.79957306936851e-12,7.06319171987074e-13,2.14758588690245e-09,80312144,4.75789546650063e-13,2.87075831856276e-12,2.25022596584724e-13,4.69056781263189e-12,2.77470997567253e-11,281069,4.68523700739021e-12,6.04277783367024e-09,1.7642199550208e-12,1.88667614517413e-12,1.53666177005185e-11,5.58582659293538e-11,2.16267149045872e-13,4.29787156974726e-08,12429972,1.27717415026522e-14,1.73497050059979e-11,1.61299619494404e-12,3.51397526223254e-15,2352185.25,5.02053129972091e-12,2.92275405266995e-11,2.35292959161609e-13,7.96750360999854e-13,7.6376795513089e-12,6.83981883175915e-14,7.14048232434289e-14,218333.46875,1.61889053459366e-14,9.97493103740976e-14,7.86400634823943e-15,2.6141456078814e-13,34944.46484375,3.17081755817072e-13,5.39709499314256e-10,5.56436712299217e-14,1.6212645646569e-13,1.16763185491892e-12,7.11601676021967e-13,1.47915432343899e-14,0.000230985417147167,1.3504877130116e-22,1.27413343937928e-19,1.75605839621676e-20,"ICE0077","ICE0077",78.2,4.217,1.29188595050011,0.0667831293490775,0.0111994328704675,0.0329494967035287,0.107724013275495,0.00338703932624752,8.86024053558382,0.356417630756182,0.0780787949057794,9.14916300914394,9.08237987979487
"NOV",30278868,2.49255269202386e-11,2.23687790512628e-10,9.76893392568012e-12,1.26193716934453e-11,1.00750519038684e-10,1.06098923050024e-11,2.36531562565478e-12,1.87247195526652e-09,78646984,2.87840010073509e-13,2.69592789932382e-12,2.70799360583066e-13,4.81915332292693e-12,2.31996418603719e-11,265184.125,3.32063608381172e-12,5.79023673452639e-09,1.85489384268989e-12,2.55740264035187e-12,2.24373800788991e-11,7.01247948597938e-11,4.23336550276626e-13,3.45359580933291e-08,16556066,1.63148523689297e-14,2.23495163348408e-11,3.15099031936161e-12,3.15380054767577e-15,2654939.75,3.03523265549055e-12,2.49296607662819e-11,1.02243907784683e-12,2.04943614162678e-12,1.39948131208656e-11,1.08194356251978e-12,3.5575920464756e-13,197879.15625,1.03178057392936e-14,9.36756301326246e-14,4.27100735895104e-15,2.44145090429193e-13,32571.75390625,2.10858972426661e-13,4.95934404654008e-10,1.27797403735863e-13,2.65379704973354e-13,1.69977996521825e-12,6.31730171646305e-12,4.20295580023239e-14,0.000109740904008504,3.82774464756014e-23,4.5883088192857e-20,9.96007044664107e-21,"ICE0077","ICE0077",78.2,4.217,1.30844006663423,0.0416171963880743,0.0232466105117369,0.0459571001808353,0.188344439866654,0.00829214899046483,8.55402924776915,0.328951063545774,0.115317968439475,8.95355810163466,8.91194090524658
"DEC",27040952,1.38310005809439e-11,2.53623122503654e-10,3.50814472957484e-12,4.44386541453845e-12,7.32663166247427e-11,6.55198248086797e-12,9.15467137860282e-13,1.73575820383576e-09,81036200,1.82864560624961e-13,3.42793523601392e-12,2.55879871327927e-13,4.07644404343266e-12,2.375421213896e-11,288328.21875,1.73748710731447e-12,6.78696920886068e-09,8.98892993459605e-13,1.40200513958771e-12,1.78520410260008e-11,6.11917391757366e-11,2.39609005379948e-13,3.64883376846592e-08,11426198,4.28286285559729e-15,1.48801439919799e-11,3.28928377590909e-12,9.26113743154975e-16,1479246.75,1.0266195445835e-12,1.89876846884429e-11,7.68603117349415e-14,2.7511518996097e-13,3.03907073118115e-12,1.5981332468322e-13,3.44606680973032e-14,222905.65625,5.76159561073842e-15,1.04244934353518e-13,2.45409013511328e-15,1.17234780910858e-13,22675.46875,6.60165688391376e-14,3.54824003512277e-10,1.77656520950528e-14,6.87292833322778e-14,4.68756923468344e-13,7.37422547070904e-13,8.1646598458344e-15,1.58369471137121e-06,5.83207529635449e-25,1.37823082771029e-21,4.62966688056107e-22,"ICE0077","ICE0077",78.2,4.217,1.31111328704282,0.0220975463715711,0.00845412270482682,0.0254117455764484,0.129564036884264,0.00588294597683505,9.72575471390906,0.362054739854626,0.0899960714507732,9.99870706016895,9.97660951379738
"JAN",31427456,9.02127504642802e-12,2.60809734919931e-10,4.03239898069674e-12,7.57822450625500e-12,1.19033879975028e-10,6.92295396356735e-12,1.36374006705353e-12,1.70765279694507e-09,88358984,1.16392884371395e-13,3.58032830813371e-12,2.94988453152303e-13,5.06507683017965e-12,2.45511666552289e-11,296279.96875,1.04583225760124e-12,7.52652873359239e-09,8.76368097015023e-13,1.86255871836849e-12,2.35161768530334e-11,4.08079924019145e-11,2.69155926930012e-13,3.76821667202876e-08,11341983,1.83545581043784e-15,1.45310430355039e-11,4.08647551561336e-12,4.81717907378006e-16,1501996.75,6.42406429701009e-13,1.73608055015206e-11,1.95998599294978e-13,7.89073938568113e-13,6.14049349562107e-12,3.60919620741567e-14,1.14389712437511e-13,220395.28125,2.9379208602991e-15,8.58152050396861e-14,3.41386740281187e-15,2.11213831797716e-13,21061.50390625,3.84898411970661e-14,3.22716103839937e-10,2.20416624541067e-14,1.02253627657159e-13,5.69043184968365e-13,3.00406861929517e-13,1.16859426730611e-14,1.28752537875698e-06,2.41052103548868e-25,1.13471317707026e-21,4.00101971244036e-22,"ICE0084","ICE0084",75.665,356.42,1.312765115531,0.0142686669954428,0.0139553667728459,0.0258061402200712,0.202869317836939,0.00767369912303278,10.6742001727892,0.369985366946311,0.0631012652374547,10.9879192622022,10.9736505952067
