"month","num_a1","mom_a1","ncl_a1","pom_a1","soa_a1","so4_a1","dst_a1","bc_a1","wat_a1","num_a2","mom_a2","ncl_a2","soa_a2","so4_a2","wat_a2","num_a3","mom_a3","ncl_a3","pom_a3","soa_a3","so4_a3","dst_a3","bc_a3","wat_a3","num_a4","mom_a4","pom_a4","bc_a4","wat_a4","num_c1","mom_c1","ncl_c1","pom_c1","soa_c1","so4_c1","dst_c1","bc_c1","num_c2","mom_c2","ncl_c2","soa_c2","so4_c2","num_c3","mom_c3","ncl_c3","pom_c3","soa_c3","so4_c3","dst_c3","bc_c3","num_c4","mom_c4","pom_c4","bc_c4","site","site.long.name","lat","lon","moist.density","MOA","SOA","POA","SO4","BC","NCL","smSS","DST","total.aerosol","total.aerosol.no.moa"
"JAN",146569936,2.35027164396939e-10,1.06035769054103e-09,7.90656984328564e-11,1.05603283062639e-10,5.5150706224083e-10,2.74214938950079e-11,1.63665053731776e-11,3.06895042712085e-09,990371904,5.70216671189755e-13,2.23189891047915e-12,1.75662674510579e-12,2.73580515880445e-11,2.5429169187019e-11,1360142.625,3.65377415822987e-11,1.93422327043891e-08,5.37815581999612e-12,1.65151850528567e-11,9.34462993096297e-11,7.18525294818306e-10,1.05964987218848e-12,3.8384211364928e-08,47735520,6.25898585110212e-16,5.51123660597064e-11,1.13314323202385e-11,8.3669967469339e-17,1112729,1.8869506651642e-12,1.06645603806244e-11,9.83475995953997e-13,2.76716106625829e-12,1.16581891709822e-11,5.21851984368327e-13,2.20213346798122e-13,10273.203125,2.80385799112184e-16,1.70500214864884e-15,2.90504115886905e-15,3.26464183919746e-14,15096.12890625,1.97073612854051e-13,1.34323066558473e-10,8.67381795728595e-14,4.00986237486869e-13,1.29643203724411e-12,1.89974546510596e-11,1.87006121444297e-14,3.86479077094191e-14,5.79601871997159e-34,5.33361802676565e-29,1.19077765817394e-29,"CapePoint1992_1996","Cape Point, South Africa (DOE)",-34.35,18.48,1.17963049174031,0.323478336216505,0.149867509101742,0.165887230066867,0.808399219779948,0.0342051573521502,24.2411843932918,1.26604533180133,0.902967146466773,26.476121483174,26.1526431469575
"FEB",173259936,2.42278863638035e-10,1.02725650208413e-09,1.07629315182489e-10,1.30650421037437e-10,6.26971807804466e-10,3.84852670565206e-11,2.04297707223633e-11,3.56666052248045e-09,1020362816,5.69376468716187e-13,2.10406930593876e-12,1.58181551624531e-12,2.96372162922331e-11,2.95090896162975e-11,1322280.75,3.62779251084078e-11,1.85491622062273e-08,6.01494505245159e-12,1.65275692437516e-11,1.03610488244588e-10,9.29915144887161e-10,1.11096082420353e-12,4.32497877511651e-08,59472760,7.93795232453473e-16,6.92189708328961e-11,1.31630262245608e-11,1.09479339304863e-16,1547175.75,3.01405536813626e-12,1.61461486541947e-11,1.44446943555615e-12,3.76372934554614e-12,1.51767851758189e-11,1.07400329948937e-12,2.95403024958008e-13,20567.580078125,5.87209031755392e-16,3.21243534465827e-15,4.08743414345735e-15,5.18307727466472e-14,21784.91796875,2.80519287269507e-13,2.09904787995541e-10,1.66873798308244e-13,8.31947683486989e-13,2.05732349559118e-12,3.87363301157517e-11,3.12283700417901e-14,6.96097322361311e-06,1.30621552172073e-28,5.39030234259328e-23,1.40171179635784e-23,"CapePoint1992_1996","Cape Point, South Africa (DOE)",-34.35,18.48,1.17768042411998,0.332603003092731,0.180608563747373,0.217252094903043,0.915652950214276,0.0412546035702693,23.3234625545556,1.23127658070423,1.18735005819661,26.0175752645325,25.6849722614398
"MAR",214331936,2.54701620905351e-10,9.57414370006404e-10,1.58440649489222e-10,2.04507397127962e-10,6.90237200728916e-10,9.84319084573748e-11,2.85010712947065e-11,3.83749521049026e-09,839029440,5.61054132840189e-13,1.96468253992055e-12,1.67063942974749e-12,2.74685500040173e-11,3.10488995625136e-11,1260792.5,3.48666130689512e-11,1.68955267554338e-08,8.0194557591784e-12,2.44798833981541e-11,1.11360608234801e-10,1.91828153361939e-09,1.45207229487049e-12,4.38224461163372e-08,98328752,1.14091695753481e-15,1.15396678324053e-10,1.95979673461855e-11,1.92335188997883e-16,2237031.25,3.67658551173045e-12,1.60538839166779e-11,2.77726192737804e-12,6.24751032157755e-12,2.03910378165917e-11,2.07784505747155e-12,5.34326760354836e-13,20713.974609375,6.71794430082476e-16,2.83730096946181e-15,5.3569061384299e-15,5.86227369273919e-14,23081.453125,3.16867354837463e-13,2.14798567821362e-10,1.83562420905808e-13,8.1747309659333e-13,2.10256703540856e-12,4.62893091912608e-11,3.52142191003667e-14,5.41039695683976e-12,1.51440277279995e-31,7.74180311626926e-27,1.27742985054819e-27,"CapePoint1992_1996","Cape Point, South Africa (DOE)",-34.35,18.48,1.18024163794788,0.347138045001988,0.28057679129957,0.336153600088768,1.00511571550449,0.0591544803114318,21.3455683006799,1.15124991534014,2.43729410550159,25.5304242470881,25.1832862020861
"APR",216198624,2.33322194898022e-10,8.9374119216501e-10,1.70823563627742e-10,2.66105498747393e-10,5.38504185687572e-10,2.46429293637718e-10,3.28674587546374e-11,3.0194358124902e-09,570929984,5.47775746203433e-13,2.06768651679623e-12,2.49291928246242e-12,2.11918399495303e-11,2.38948826003504e-11,1221052.375,2.47117777629757e-11,1.61021951328166e-08,6.91980674150106e-12,3.66855087974294e-11,8.10807393447632e-11,5.12948750142073e-09,1.25131220489461e-12,3.5713146218086e-08,96394728,1.03344012323126e-15,1.12173104138691e-10,2.05934123920226e-11,1.81388399885364e-16,1462805.875,2.33893308367039e-12,9.29209573868883e-12,1.95591372958992e-12,4.61177667235302e-12,1.34809247098744e-11,1.86007828063828e-12,3.91379637032507e-13,20252.083984375,6.16805792300556e-16,2.47907866584847e-15,4.20238794934455e-15,4.63075080668271e-14,13395.9423828125,1.80105130570714e-13,1.24662988265634e-10,1.21384618936154e-13,6.89314328273377e-13,1.38550510040553e-12,4.16046051776586e-11,2.36354091544743e-14,7.6746738386646e-07,6.24993577199999e-29,4.36019554521165e-24,7.21063980355022e-25,"CapePoint1992_1996","Cape Point, South Africa (DOE)",-34.35,18.48,1.1893919813098,0.310553144710484,0.369412328006009,0.347295052027874,0.779871836264886,0.0655678477263492,20.3766177209148,1.07652278984771,6.44576887420667,28.325674475851,28.0151213311406
"MAY",198628512,1.6326905105668e-10,7.37969407804684e-10,1.69769379110285e-10,2.78235268158511e-10,4.75374628550185e-10,3.79463571675842e-10,3.73862191205276e-11,2.27671992369949e-09,453125984,4.16931653047722e-13,1.91409670231846e-12,3.60082471652368e-12,1.97607069596373e-11,1.97044498773113e-11,1064420.375,1.82930042641472e-11,1.38793065929121e-08,1.61123076686254e-11,4.25922248858956e-11,6.98422361611328e-11,9.3953484991971e-09,2.17403981102315e-12,3.11758441284837e-08,62466984,5.22258968876406e-16,7.06453992527223e-11,1.67279766427608e-11,8.86170567803328e-17,695592.4375,1.0286259691239e-12,4.68581033349902e-12,9.62193432568759e-13,2.12900313698028e-12,5.30674939755449e-12,1.35793351389857e-12,1.98054165298847e-13,21848.498046875,5.29880518396241e-16,2.4072462485148e-15,2.65068881151161e-15,3.86923904916771e-14,6424.6845703125,1.19994875038935e-13,7.30325730446957e-11,2.77512333859281e-13,7.08361917300254e-13,7.54766746064589e-13,3.41472787546149e-11,3.43020696482593e-14,5.73463194086798e-06,1.10493037210875e-27,5.63955903836032e-23,1.50910306014574e-23,"CapePoint1992_1996","Cape Point, South Africa (DOE)",-34.35,18.48,1.19946721818575,0.219656824329337,0.392547637588356,0.309182816698753,0.684989076390263,0.0677945970276819,17.6284628188055,0.893089372231167,11.7671539811293,30.6772401143808,30.4575832900514
"JUN",185320208,1.43659847906541e-10,8.29398827395522e-10,1.82462434050734e-10,2.89738594227984e-10,4.21976620312847e-10,6.66949051542076e-10,3.90076339285006e-11,2.23118856723659e-09,368360960,4.15256587796287e-13,2.46506222552345e-12,4.73631594014035e-12,1.92247710806281e-11,1.96758304094047e-11,1286822.875,1.53487379056516e-11,1.62028932493286e-08,1.55206264507157e-11,3.07434772084392e-11,5.35642710741691e-11,1.41183971180681e-08,2.0404092911791e-12,3.31679999021617e-08,52242556,3.93117440532039e-16,5.82181872155196e-11,1.6072762912267e-11,6.1717103555439e-17,392247.96875,6.79906489182286e-13,3.54758908881203e-12,5.10840447633804e-13,8.45291501724854e-13,2.88647404589337e-12,8.45277623937046e-13,1.06392264518761e-13,21437.337890625,4.74183443433061e-16,2.47691597897589e-15,2.51277554231437e-15,3.26494744868483e-14,4542.53759765625,1.02309796105957e-13,5.64158164628736e-11,1.28956171912761e-13,2.21327852421328e-13,3.62302717124216e-13,1.7367060914375e-11,1.5999549436512e-14,2.07470035552979,6.76533801858016e-23,4.92582084308388e-18,1.30296735287044e-18,"CapePoint1992_1996","Cape Point, South Africa (DOE)",-34.35,18.48,1.20795065591909,0.193522061327845,0.394139223205788,0.310251313923386,0.601616307479975,0.0691469600795786,20.6495818864761,1.00913883566219,17.8819682098545,39.7060867391413,39.5125646778135
"JUL",157060304,1.25015414687013e-10,8.69380234469475e-10,1.72952666077641e-10,2.20261933692179e-10,3.34863553552722e-10,3.85070614283833e-10,3.17256429460677e-11,2.09114903171326e-09,345479744,3.86652840821122e-13,2.79411541646846e-12,4.92165553103718e-12,1.50682955696313e-11,1.72938434406245e-11,1215983.625,1.41583394314138e-11,1.76399623796897e-08,1.58821653745145e-11,2.4329585221472e-11,4.26615756610182e-11,9.31698007633486e-09,1.90951508077797e-12,3.29833760304155e-08,41651400,3.81343364927849e-16,4.64112810683037e-11,1.30700866796118e-11,6.38211995708677e-17,264929.09375,3.46824348754216e-13,2.20125718868036e-12,4.62746811355497e-13,6.33149619972545e-13,1.773307954471e-12,3.89375543526777e-13,7.92022832952002e-14,14298.908203125,3.0072835413168e-16,1.86755433573228e-15,1.47194558601391e-15,1.8554409175536e-14,2764.28686523438,4.60325103501715e-14,3.72402629567059e-11,8.90079568209579e-14,1.00049004183363e-13,1.71913088690794e-13,8.57358021383314e-12,1.00715393802089e-14,1.29988980293274,5.71517040949267e-23,4.64381553352016e-18,1.32437437353301e-18,"CapePoint1992_1996","Cape Point, South Africa (DOE)",-34.35,18.48,1.21631590976328,0.170228211020313,0.304380435275027,0.286804703119766,0.47990619995835,0.0569169189875548,22.5645820478902,1.06351923352984,11.8116603980155,35.3700984789917,35.1998702679714
"AUG",162942608,1.30384592011978e-10,8.84588347016546e-10,1.87361876013981e-10,2.25156143729421e-10,3.43417405623825e-10,2.45024112111025e-10,3.2072740296929e-11,2.02657157721831e-09,374809248,3.92340971993796e-13,2.73470092057582e-12,5.83202409976114e-12,1.6222131277166e-11,1.72610536974815e-11,1181361.5,1.52910392681171e-11,1.81610673166688e-08,4.64811730771508e-11,3.53728470126047e-11,5.64149178761131e-11,6.1433107489961e-09,4.858295189758e-12,3.21118669432963e-08,39117536,4.40365891241949e-16,4.3674414779149e-11,1.22131861915453e-11,7.76374649934429e-17,369008.8125,4.31445000169048e-13,2.65567103897857e-12,8.53907547969379e-13,7.73760883924363e-13,2.40266227052865e-12,5.33062092730741e-13,1.18093509689048e-13,15548.1279296875,3.16935297255987e-16,1.93580020380903e-15,1.74483143777375e-15,2.34588383603556e-14,3350.33715820312,5.41853684859518e-14,4.40281804070519e-11,6.89238922012281e-13,2.67642949903363e-13,4.08385971524192e-13,1.34351384184495e-11,6.85309149922944e-14,0.356097251176834,2.34519196335706e-23,7.62932046809962e-19,2.20861566249874e-19,"CapePoint1992_1996","Cape Point, South Africa (DOE)",-34.35,18.48,1.214059490912,0.177925711597784,0.324644562615121,0.338796183449535,0.508556119781392,0.0598905821741005,23.1825584318434,1.08048946065925,7.77277679565264,32.0405038244989,31.8625781129011
"SEP",128578384,1.51429813133319e-10,8.72449112954143e-10,9.0066183677795e-11,1.25513099913377e-10,2.64700095176096e-10,7.91740284444842e-11,1.85736617058785e-11,1.84218695853389e-09,690561024,5.10906692386542e-13,3.12705287011661e-12,8.01786588511266e-12,1.84935972785683e-11,1.97934151707768e-11,1103139,1.66941998419601e-11,1.83413924048637e-08,3.64032935740166e-11,2.51733807410393e-11,4.75752597040024e-11,2.3198216680953e-09,3.7307301345435e-12,3.01022033966092e-08,33521926,5.84395082425495e-16,3.77429407172336e-11,1.00827636170808e-11,1.08934816233787e-16,541033.3125,6.43730077923288e-13,3.50033912445424e-12,8.41175870278099e-13,1.12895088243137e-12,4.33063047228233e-12,1.93939563844156e-13,1.60121861516455e-13,17378.05078125,3.61875662593968e-16,1.91527130154114e-15,2.67745568791956e-15,3.35575615689407e-14,4650.7041015625,6.11390617495135e-14,5.61973870216725e-11,5.21379814322209e-13,2.43567373301584e-13,4.77802313773174e-13,7.57258145078765e-12,5.26742210504687e-14,0.0718699023127556,5.35143358807123e-24,1.76724540007843e-19,4.57600418455655e-20,"CapePoint1992_1996","Cape Point, South Africa (DOE)",-34.35,18.48,1.21239501769826,0.205307863502036,0.19407963946047,0.200742273327461,0.406893034579645,0.0395240188798646,23.370936498179,1.06579029684081,2.9179465213474,27.1413502098154,26.9360423463133
"OCT",123024400,1.94700700006933e-10,9.04414876323756e-10,8.21578360898911e-11,9.40619318545721e-11,3.1011906931333e-10,1.54545282821106e-11,1.71006524912753e-11,2.11974904296142e-09,941169600,5.98258205128377e-13,2.86763017845471e-12,4.38403870497983e-12,2.12757155643173e-11,2.24527913622596e-11,1135756.875,2.14602918768847e-11,1.78590742194729e-08,1.50015989214269e-11,1.88066194561909e-11,5.02877496588727e-11,5.02877073316199e-10,1.76793063695613e-12,3.20045749901965e-08,42434076,7.22044024403627e-16,4.82459350248376e-11,1.20149142371351e-11,1.27955232231958e-16,656553.8125,1.08315385740493e-12,5.10936432052134e-12,7.78311876753479e-13,1.11408007385377e-12,5.67705127699214e-12,1.19619388721549e-13,1.65211567300025e-13,15320.3994140625,4.32495366975181e-16,1.97240494438286e-15,1.98284610776543e-15,4.40165516069155e-14,6774.2099609375,9.41490402349768e-14,7.54953252690704e-11,2.33590572015427e-13,2.38082530036252e-13,4.99389537968881e-13,6.06742217232337e-12,2.6728163614125e-14,1.34231731632739e-11,2.29016298156015e-31,7.25320316346997e-27,1.88367369325642e-27,"CapePoint1992_1996","Cape Point, South Africa (DOE)",-34.35,18.48,1.20273691876847,0.262121726833259,0.142652699559252,0.176101459163002,0.466545249262591,0.0373755754625641,22.6679386733887,1.09736975970698,0.630857936710101,24.2409406208203,23.978818893987
"NOV",132209992,2.04434247308427e-10,9.11488773347457e-10,7.52168050066615e-11,8.93599569340431e-11,4.71133965174175e-10,3.22949722519894e-11,1.62561509392534e-11,2.89798340880054e-09,1162710400,5.14735172887915e-13,2.30408227219758e-12,3.3398301485521e-12,3.02682601205362e-11,3.25600310602248e-11,1165879.375,2.32580604081489e-11,1.66389888534013e-08,8.16136134368373e-12,1.52981724510504e-11,7.83774989354669e-11,1.3038735646731e-09,1.22040029991444e-12,3.74574646855308e-08,41490552,5.3125821748495e-16,4.7391809226971e-11,1.1547754939778e-11,1.13820290515313e-16,1199981.5,2.44421800507655e-12,1.14353899613451e-11,1.10731584491985e-12,1.98664240440294e-12,1.21972770425471e-11,6.07790456418761e-13,2.442023363039e-13,18574.267578125,6.52358782651693e-16,3.02342714225852e-15,2.99045829061078e-15,7.30186378483828e-14,15711.1396484375,2.01615552595028e-13,1.53489096432757e-10,1.60016693905723e-13,3.48349387530034e-13,1.1899530839854e-12,3.55319142164578e-11,2.43872372925232e-14,5.10092878341675,6.33454865130366e-23,1.189307132557e-17,3.12531748325502e-18,"CapePoint1992_1996","Cape Point, South Africa (DOE)",-34.35,18.48,1.19139139167833,0.275037539894479,0.131453291234023,0.157308126439253,0.706780997025203,0.0348993075603859,21.1087262435884,1.10231256920792,1.63495622576904,23.9177084402768,23.6426709003823
"DEC",145092512,2.35516689484072e-10,1.03579822496869e-09,7.71480032635274e-11,8.61417603914560e-11,5.51878209797962e-10,4.51544877877463e-11,1.6367414368279e-11,3.05750469387078e-09,1220457600,5.67789413576103e-13,2.37285191495573e-12,2.00229611536928e-12,3.34247664268705e-11,3.1194949401403e-11,1332617.75,3.00431485245056e-11,1.88737221407109e-08,5.06640736308572e-12,1.18609505897482e-11,8.94109022930856e-11,1.18577936358832e-09,9.67298398497907e-13,3.86565552901175e-08,46141168,5.99862751075306e-16,5.31289422178727e-11,1.16160154411959e-11,9.2597251364591e-17,1216350.875,2.51214435538494e-12,1.35024240052739e-11,1.03963138011615e-12,2.19236824874902e-12,1.23832159804049e-11,8.81223479604065e-13,2.37494892458764e-13,15257.572265625,5.73200642055023e-16,3.05352857562157e-15,2.33799156419787e-15,5.6218521998037e-14,18706.8203125,1.72224417344623e-13,1.67507008264067e-10,8.37269367877889e-14,2.70482014607179e-13,1.25332318308413e-12,3.31579104451141e-11,1.68990323579261e-14,1.08402637977179e-08,3.4926384448129e-29,2.74935005700507e-24,6.91173744833359e-25,"CapePoint1992_1996","Cape Point, South Africa (DOE)",-34.35,18.48,1.18342125687948,0.318119218629385,0.12126540737555,0.161497606844823,0.814675046660006,0.0345619623417053,23.7783717218695,1.24457638985942,1.49699592018324,26.6042214765287,26.2861022578993
"JAN",150924080,1.61401525478055e-09,1.58177759779221e-09,2.10917672216482e-11,6.21228068986568e-11,4.58594634489273e-10,1.56133665024649e-11,3.97845732053037e-12,1.04502246855986e-08,377328768,6.90506939821089e-12,6.52970993247903e-12,1.76003417569348e-12,2.4960198838353e-11,7.91449197845573e-11,1962236.25,1.20109575063587e-10,2.78123248875772e-08,5.08406121021987e-12,1.06356737653024e-11,6.93867463485986e-11,6.50622056230787e-10,6.47497355212023e-13,1.34678629137852e-07,601226.6875,1.26689510898876e-15,8.17966408581811e-13,1.40110091497586e-13,3.90895143715799e-16,5044791.5,3.52952805870999e-11,7.53432594091663e-11,1.20276585999918e-12,4.60610152450136e-12,3.56164230053135e-11,7.12177224745231e-13,2.42246815055497e-13,109734.9296875,2.11713259364076e-14,4.46117582708194e-14,1.71277041486305e-14,3.44880862149927e-13,100991.296875,1.60195760736531e-12,1.02320518724497e-09,2.37121791386158e-13,6.40583994269278e-13,3.01945209287002e-12,2.75119007436819e-11,3.09818123033715e-14,8.4990453615319e-05,1.76428539504288e-22,1.71156124914024e-20,2.11664734708201e-21,"ChathamIs1983_1996","Chatham Island, New Zealand (DOE)",-43.92,183.5,1.22217047900941,2.17295748453656,0.0975076061047195,0.0347508073719659,0.723430004481302,0.00615887562453274,37.275252737748,2.03331913371224,0.848747900625208,41.0612978103875,38.888340325851
"FEB",132821696,1.08584397029432e-09,1.64553437542736e-09,1.2366382223794e-11,4.51809631374367e-11,4.77044403979221e-10,1.30412044010986e-11,2.844592183332e-12,8.79077965976194e-09,380614912,4.2450591652976e-12,6.08636188323408e-12,1.48364534633544e-12,2.65380911690372e-11,6.48450043660986e-11,2044479,9.20808151949615e-11,2.99886231402979e-08,3.21090593349838e-12,9.533753994595e-12,7.80816036827225e-11,5.27373422709587e-10,4.69378604994047e-13,1.21863322988247e-07,341805.875,4.74333156506488e-16,4.40993568702128e-13,1.06232473447328e-13,1.17181661357153e-16,2638386.5,1.35232424217091e-11,4.48925202567452e-11,4.28960957466612e-13,2.28280653928603e-12,2.0805180495076e-11,7.54735033151044e-13,1.12756056932801e-13,63778.703125,7.0600259681117e-15,2.41278063473722e-14,9.60934822924302e-15,2.16156208058572e-13,58422.89453125,8.70374302144872e-13,6.27943086417559e-10,1.32854271746134e-13,5.07316736363117e-13,2.36095171191053e-12,3.14720992322659e-11,1.98402932808945e-14,7.73562646827486e-07,1.01430660370334e-24,3.56318802609077e-22,5.7245395526918e-23,"ChathamIs1983_1996","Chatham Island, New Zealand (DOE)",-43.92,183.5,1.22107838792818,1.46110698251683,0.0720412988582831,0.0202455980621925,0.738809067160144,0.00433824682290691,39.456832467606,2.07160513559198,0.699240112517966,42.380572474686,40.9194654921692
"MAR",98434008,4.54507820268901e-10,1.36002864525864e-09,6.36596591413463e-12,3.16235544695065e-11,3.95527721686051e-10,1.12652500175447e-11,2.1512535676449e-12,7.92701992935463e-09,298314400,1.67155796582802e-12,4.93504456050564e-12,1.13648435280667e-12,2.3024776529823e-11,5.98460309086946e-11,1676955.25,4.69767835742374e-11,2.49641622929175e-08,1.20037280896407e-12,5.75306512498597e-12,7.18565068558163e-11,1.89877405465388e-10,2.82722873974975e-13,1.14806226747532e-07,123744.1875,6.09940087337247e-17,1.42840248093176e-13,5.95685000349781e-14,1.13901678470143e-17,2366400,1.04127505229368e-11,4.7660861368648e-11,1.97570069028832e-13,1.41569514357925e-12,1.37737885333444e-11,1.92976860077625e-13,7.67574345012997e-14,79562.5703125,7.40792992811982e-15,3.4029718062531e-14,9.4936850332625e-15,2.24972370919084e-13,60390.48046875,4.34638273722615e-13,6.79224732014205e-10,3.27272761571195e-14,2.31688339303801e-13,1.46664169524413e-12,3.46249743286842e-12,8.07114571439163e-15,3.69435895208881e-07,1.87055881137364e-24,2.30072087645831e-23,1.19657680099462e-23,"ChathamIs1983_1996","Chatham Island, New Zealand (DOE)",-43.92,183.5,1.22571280471505,0.630029888402023,0.0492368602180812,0.00973151778374435,0.620056739060227,0.00316034544110962,33.1629415440294,1.73151371130689,0.251023690047989,34.6769437247645,34.0469138363625
"APR",97070280,3.62842561552057e-10,1.53451196194254e-09,9.20384254921025e-12,3.02642425009658e-11,2.75524464354859e-10,4.12868003674127e-11,2.83333079220682e-12,6.59899157540167e-09,216508304,1.54195861808148e-12,6.55322887968546e-12,7.69956039030351e-13,1.60379851760206e-11,4.56701725048969e-11,1902512.375,2.55979334951029e-11,3.00762827976087e-08,1.37962666464653e-12,5.90238405026589e-12,4.8727334667209e-11,5.50406387134217e-10,3.1258968937603e-13,1.02213661534734e-07,465163.40625,1.01129176014267e-16,5.46832544523479e-13,2.04847355983299e-13,1.93036178244907e-17,1533512.875,6.23845810079904e-12,2.83342776324913e-11,2.48928996990014e-13,9.55771269420258e-13,7.83201281606694e-12,1.70729641361944e-12,7.41254998462733e-14,58672.046875,4.99301612560824e-15,2.22409591422003e-14,5.2317163628916e-15,1.23368939304765e-13,36594.8828125,1.96915427757086e-13,4.18360041054555e-10,2.79318889117317e-14,1.45942855240069e-13,8.17153202742338e-13,1.75479006325752e-11,6.58983797909084e-15,1.28454757941654e-06,4.92744769743762e-26,7.30831271513777e-24,5.10821554364756e-24,"ChathamIs1983_1996","Chatham Island, New Zealand (DOE)",-43.92,183.5,1.23196545252571,0.488379343679087,0.0468683127195231,0.0140532302891063,0.430032717978946,0.00422746872301187,39.5018197907854,1.93347332644172,0.752667303039312,41.1911798544948,40.7028005108157
"MAY",83233384,2.48340653596912e-10,1.42905354216794e-09,7.28003768379892e-12,1.80695649415474e-11,1.85952267472977e-10,5.49121997872604e-11,2.17579209857433e-12,5.42857891971948e-09,212125504,1.21238847954064e-12,7.1512951810293e-12,2.59725726169113e-13,1.36663050667729e-11,4.04019595556804e-11,1752351.75,1.73108489348595e-11,2.88807715520534e-08,1.27164641663957e-12,4.37809901179809e-12,3.64292727927928e-11,3.83843096196657e-10,2.70421922701769e-13,9.03819383779592e-08,604076.5,1.02468209372423e-16,6.98484130777499e-13,2.89877903581967e-13,2.06767608023859e-17,1110169.75,4.09209168286684e-12,2.28799704876659e-11,1.11474231809326e-13,3.89333368062267e-13,4.18313517505653e-12,8.06384906765212e-13,3.93431794575797e-14,56998.41796875,4.33444843263449e-15,2.41461547750756e-14,2.36838670623538e-15,8.93975445428498e-14,27868.4609375,1.33831788424847e-13,3.45920764255325e-10,1.62664393537964e-14,8.33681946177042e-14,4.93116615249423e-13,5.31189328634163e-12,4.06989632628445e-15,7.50482399780594e-07,1.41002588246966e-25,7.41844243067206e-24,4.85905698217712e-24,"ChathamIs1983_1996","Chatham Island, New Zealand (DOE)",-43.92,183.5,1.23517277952847,0.334848240014996,0.0286343430961359,0.0115833378051255,0.297446273556286,0.00343316891736216,37.9022664470947,1.80225166233644,0.549495729154998,39.0990731965435,38.7642249565285
"JUN",62217868,1.25665297612265e-10,1.07872488719352e-09,4.18695113302281e-12,9.86936227187485e-12,1.16795226268174e-10,1.25446849089106e-11,1.55620319148425e-12,4.68621852434126e-09,186673984,6.85611235753253e-13,6.26535325357058e-12,2.20380368142793e-13,1.14786123314725e-11,3.62777342888254e-11,1298858.75,1.11415017836625e-11,2.28152590153741e-08,8.17428047993063e-13,2.57973828930724e-12,2.53869789773598e-11,9.60696314167286e-11,1.89927649887726e-13,7.97636303673244e-08,687800.4375,9.43748360311878e-17,7.76953750902115e-13,3.57051763372543e-13,2.02771845900472e-17,977301.6875,2.69119557368136e-12,2.13882696276091e-11,9.44625034118331e-14,3.87898155436439e-13,3.02686218103809e-12,7.58091614656842e-13,3.48701543171921e-14,52920.74609375,3.11617216778518e-15,2.4928999565587e-14,1.9500625445749e-15,6.94652600957517e-14,26137.984375,1.09695482948882e-13,3.18741283367174e-10,1.68987901065032e-14,1.07385759626991e-13,3.69849306345801e-13,5.98302830889796e-12,3.68962596681232e-15,2.32536262956273e-06,3.15205570981516e-25,2.13957978603227e-23,3.9395658386474e-24,"ChathamIs1983_1996","Chatham Island, New Zealand (DOE)",-43.92,183.5,1.24282126423739,0.174363488704391,0.0163638732664877,0.00732356568704774,0.195280769732179,0.00266180297863686,30.1264892190567,1.37506172090687,0.143366189115879,30.6494850352748,30.4751215465704
"JUL",66599808,9.5623564622116e-11,1.22958410120333e-09,5.6425988013975e-12,1.30641218329397e-11,1.10730737079567e-10,2.7365200383489e-11,1.83198096449788e-12,5.12775422123468e-09,192454912,5.48246832047378e-13,7.50170325164445e-12,2.26996969398402e-13,1.04702791575706e-11,4.13082068551063e-11,1476808.625,7.16954880880527e-12,2.50593483741568e-08,1.23063972207182e-12,3.61642096477488e-12,2.53888455398199e-11,1.64623106813089e-10,2.5541813672772e-13,8.79951045362759e-08,888460.5625,1.06666733316281e-16,1.00981191724497e-12,4.69328026962701e-13,2.56266674905461e-17,886429,1.56946417667614e-12,1.74845381228916e-11,1.41091755249609e-13,4.4267093788318e-13,2.77683193279643e-12,1.5159928434122e-12,4.52710277305899e-14,53713.07421875,2.01688137389377e-15,2.33769082514995e-14,1.4864444607303e-15,6.68632223156315e-14,21524.98828125,7.90618181274912e-14,2.51109522064752e-10,3.03369017461228e-14,1.36448171554962e-13,4.31215637199459e-13,1.09948361179391e-11,6.077687977863e-15,1.08003250787192e-09,3.40724066477821e-28,8.36860921936221e-25,3.71307558971894e-25,"ChathamIs1983_1996","Chatham Island, New Zealand (DOE)",-43.92,183.5,1.24127643468442,0.130324107602194,0.0217076226733087,0.00999783509764676,0.186023610579575,0.00323734308489919,32.9745725567533,1.5572976191012,0.253839958626159,33.5579954117438,33.4276713041416
