,model,OA,OA type,OC,OC type,aerosol,aerosol type,month,lat,lon
59,GLOMAP,0.129002049565,MOA,0.0678958155607,MOC,0.129002049565,MOA,12,-21.0,56.25
60,GLOMAP,0.259081363678,TOA,0.136358612462,TOC,0.259081363678,TOA,12,-21.0,56.25
61,GLOMAP,0.125984236598,MOA,0.0663074929463,MOC,0.125984236598,MOA,12,-21.0,56.25
62,GLOMAP,0.324865043163,TOA,0.170981601665,TOC,0.324865043163,TOA,12,-21.0,56.25
63,GLOMAP,0.124824292958,MOA,0.0656969962936,MOC,0.124824292958,MOA,12,-21.0,56.25
64,GLOMAP,0.241916686296,TOA,0.127324571735,TOC,0.241916686296,TOA,12,-21.0,56.25
65,GLOMAP,0.109904654324,MOA,0.0578445549074,MOC,0.109904654324,MOA,12,-21.0,56.25
66,GLOMAP,0.263660699129,TOA,0.138768789015,TOC,0.263660699129,TOA,12,-21.0,56.25
67,GLOMAP,0.138382211328,MOA,0.072832742804,MOC,0.138382211328,MOA,12,-21.0,56.25
68,GLOMAP,0.189734220505,TOA,0.0998601160551,TOC,0.189734220505,TOA,12,-21.0,56.25
69,GLOMAP,0.108559668064,MOA,0.0571366674022,MOC,0.108559668064,MOA,12,-21.0,56.25
70,GLOMAP,0.332901597023,TOA,0.175211366854,TOC,0.332901597023,TOA,12,-21.0,56.25
71,GLOMAP,0.140450030565,MOA,0.0739210687186,MOC,0.140450030565,MOA,12,-21.0,56.25
72,GLOMAP,0.347114443779,TOA,0.182691812515,TOC,0.347114443779,TOA,12,33.0,296.25
73,GLOMAP,0.126111879945,MOA,0.0663746736552,MOC,0.126111879945,MOA,12,33.0,296.25
74,GLOMAP,0.288917541504,TOA,0.152061863949,TOC,0.288917541504,TOA,12,33.0,296.25
75,GLOMAP,0.121799185872,MOA,0.0641048346695,MOC,0.121799185872,MOA,12,33.0,296.25
76,GLOMAP,0.277944386005,TOA,0.14628651895,TOC,0.277944386005,TOA,12,33.0,296.25
77,GLOMAP,0.139193788171,MOA,0.073259888511,MOC,0.139193788171,MOA,12,33.0,296.25
78,GLOMAP,0.377967119217,TOA,0.198930062746,TOC,0.377967119217,TOA,12,33.0,296.25
79,GLOMAP,0.160107046366,MOA,0.0842668665083,MOC,0.160107046366,MOA,12,33.0,296.25
80,GLOMAP,0.693819582462,TOA,0.365168201296,TOC,0.693819582462,TOA,12,33.0,296.25
81,GLOMAP,0.165693208575,MOA,0.0872069518817,MOC,0.165693208575,MOA,12,33.0,296.25
82,GLOMAP,0.392102628946,TOA,0.206369804709,TOC,0.392102628946,TOA,12,33.0,296.25
83,GLOMAP,0.148412168026,MOA,0.0781116673821,MOC,0.148412168026,MOA,12,33.0,296.25
84,GLOMAP,0.950525164604,TOA,0.500276402423,TOC,0.950525164604,TOA,12,33.0,296.25
85,GLOMAP,0.152846485376,MOA,0.0804455186191,MOC,0.152846485376,MOA,12,33.0,296.25
86,GLOMAP,0.980887830257,TOA,0.516256752767,TOC,0.980887830257,TOA,12,33.0,296.25
87,GLOMAP,0.124792084098,MOA,0.065680044262,MOC,0.124792084098,MOA,12,33.0,296.25
88,GLOMAP,0.418718516827,TOA,0.220378166751,TOC,0.418718516827,TOA,12,33.0,296.25
89,GLOMAP,0.148073524237,MOA,0.0779334338088,MOC,0.148073524237,MOA,12,33.0,296.25
90,GLOMAP,0.431079506874,TOA,0.226883950986,TOC,0.431079506874,TOA,12,33.0,296.25
91,GLOMAP,0.13366638124,MOA,0.0703507269684,MOC,0.13366638124,MOA,12,33.0,296.25
92,GLOMAP,0.495493769646,TOA,0.26078619455,TOC,0.495493769646,TOA,12,33.0,296.25
93,GLOMAP,0.154663428664,MOA,0.0814018045601,MOC,0.154663428664,MOA,12,33.0,296.25
94,GLOMAP,0.399779558182,TOA,0.21041029378,TOC,0.399779558182,TOA,12,33.0,296.25
95,GLOMAP,0.148951753974,MOA,0.0783956599863,MOC,0.148951753974,MOA,12,33.0,296.25
96,GLOMAP,0.125450879335,TOA,0.0660267785976,TOC,0.125450879335,TOA,12,-37.0,78.75
97,GLOMAP,0.113547608256,MOA,0.0597618990823,MOC,0.113547608256,MOA,12,-37.0,78.75
98,GLOMAP,0.12431922555,TOA,0.0654311713419,TOC,0.12431922555,TOA,12,-37.0,78.75
99,GLOMAP,0.114736191928,MOA,0.060387469436,MOC,0.114736191928,MOA,12,-37.0,78.75
100,GLOMAP,0.137376695871,TOA,0.0723035241428,TOC,0.137376695871,TOA,12,-37.0,78.75
101,GLOMAP,0.131904363632,MOA,0.0694233492801,MOC,0.131904363632,MOA,12,-37.0,78.75
102,GLOMAP,0.119585476816,TOA,0.0629397246398,TOC,0.119585476816,TOA,12,-37.0,78.75
103,GLOMAP,0.114928297698,MOA,0.0604885777361,MOC,0.114928297698,MOA,12,-37.0,78.75
104,GLOMAP,0.112463660538,TOA,0.0591914002833,TOC,0.112463660538,TOA,12,-37.0,78.75
105,GLOMAP,0.103569760919,MOA,0.0545104004835,MOC,0.103569760919,MOA,12,-37.0,78.75
106,GLOMAP,0.109352260828,TOA,0.0575538214884,TOC,0.109352260828,TOA,12,-37.0,78.75
107,GLOMAP,0.0987414121628,MOA,0.0519691642962,MOC,0.0987414121628,MOA,12,-37.0,78.75
108,GLOMAP,0.103150606155,TOA,0.0542897927134,TOC,0.103150606155,TOA,12,-37.0,78.75
109,GLOMAP,0.0918878689408,MOA,0.0483620362846,MOC,0.0918878689408,MOA,12,-37.0,78.75
110,GLOMAP,0.113221019506,TOA,0.0595900102666,TOC,0.113221019506,TOA,12,-37.0,78.75
111,GLOMAP,0.091223411262,MOA,0.0480123217169,MOC,0.091223411262,MOA,12,-37.0,78.75
112,GLOMAP,0.11648786813,TOA,0.0613094042791,TOC,0.11648786813,TOA,12,-37.0,78.75
113,GLOMAP,0.0901524499059,MOA,0.0474486578452,MOC,0.0901524499059,MOA,12,-37.0,78.75
114,GLOMAP,0.119158014655,TOA,0.0627147445553,TOC,0.119158014655,TOA,12,-37.0,78.75
115,GLOMAP,0.102622307837,MOA,0.0540117409668,MOC,0.102622307837,MOA,12,-37.0,78.75
116,GLOMAP,0.103499807417,TOA,0.0544735828513,TOC,0.103499807417,TOA,12,-37.0,78.75
117,GLOMAP,0.0941867753863,MOA,0.0495719870454,MOC,0.0941867753863,MOA,12,-37.0,78.75
118,GLOMAP,0.161380708218,TOA,0.0849372148514,TOC,0.161380708218,TOA,12,-37.0,78.75
119,GLOMAP,0.145786181092,MOA,0.0767295689959,MOC,0.145786181092,MOA,12,-37.0,78.75
120,GLOMAP,0.607124090195,TOA,0.319538994839,TOC,0.607124090195,TOA,12,27.0,271.25
121,GLOMAP,0.165408909321,MOA,0.0870573206952,MOC,0.165408909321,MOA,12,27.0,271.25
122,GLOMAP,0.58263528347,TOA,0.306650149195,TOC,0.58263528347,TOA,12,27.0,271.25
123,GLOMAP,0.136443316936,MOA,0.0718122720718,MOC,0.136443316936,MOA,12,27.0,271.25
124,GLOMAP,1.04157161713,TOA,0.548195587961,TOC,1.04157161713,TOA,12,27.0,271.25
125,GLOMAP,0.214100092649,MOA,0.112684259289,MOC,0.214100092649,MOA,12,27.0,271.25
126,GLOMAP,1.73157167435,TOA,0.911353512814,TOC,1.73157167435,TOA,12,27.0,271.25
127,GLOMAP,0.175709471107,MOA,0.0924786690034,MOC,0.175709471107,MOA,12,27.0,271.25
128,GLOMAP,1.60352373123,TOA,0.843959858543,TOC,1.60352373123,TOA,12,27.0,271.25
129,GLOMAP,0.208821639419,MOA,0.10990612601,MOC,0.208821639419,MOA,12,27.0,271.25
130,GLOMAP,1.32390153408,TOA,0.696790281095,TOC,1.32390153408,TOA,12,27.0,271.25
131,GLOMAP,0.146965429187,MOA,0.0773502258878,MOC,0.146965429187,MOA,12,27.0,271.25
132,GLOMAP,1.3874219656,TOA,0.730222087157,TOC,1.3874219656,TOA,12,27.0,271.25
133,GLOMAP,0.0978890433908,MOA,0.051520549153,MOC,0.0978890433908,MOA,12,27.0,271.25
134,GLOMAP,2.00540232658,TOA,1.05547490873,TOC,2.00540232658,TOA,12,27.0,271.25
135,GLOMAP,0.104413628578,MOA,0.0549545413569,MOC,0.104413628578,MOA,12,27.0,271.25
136,GLOMAP,1.14323246479,TOA,0.601701297258,TOC,1.14323246479,TOA,12,27.0,271.25
137,GLOMAP,0.137086257339,MOA,0.0721506617571,MOC,0.137086257339,MOA,12,27.0,271.25
138,GLOMAP,1.57373940945,TOA,0.828283899709,TOC,1.57373940945,TOA,12,27.0,271.25
139,GLOMAP,0.139443293214,MOA,0.0733912069547,MOC,0.139443293214,MOA,12,27.0,271.25
140,GLOMAP,1.11522603035,TOA,0.586961068605,TOC,1.11522603035,TOA,12,27.0,271.25
141,GLOMAP,0.143390476704,MOA,0.0754686719493,MOC,0.143390476704,MOA,12,27.0,271.25
142,GLOMAP,0.62536418438,TOA,0.32913904441,TOC,0.62536418438,TOA,12,27.0,271.25
143,GLOMAP,0.13840252161,MOA,0.0728434324265,MOC,0.13840252161,MOA,12,27.0,271.25
144,GLOMAP,0.72125262022,TOA,0.379606642221,TOC,0.72125262022,TOA,12,25.0,263.75
145,GLOMAP,0.114547245204,MOA,0.0602880237918,MOC,0.114547245204,MOA,12,25.0,263.75
146,GLOMAP,0.544790267944,TOA,0.286731719971,TOC,0.544790267944,TOA,12,25.0,263.75
147,GLOMAP,0.0937643498182,MOA,0.0493496577991,MOC,0.0937643498182,MOA,12,25.0,263.75
148,GLOMAP,1.46657907963,TOA,0.77188372612,TOC,1.46657907963,TOA,12,25.0,263.75
149,GLOMAP,0.143108949065,MOA,0.075320499508,MOC,0.143108949065,MOA,12,25.0,263.75
150,GLOMAP,3.47040295601,TOA,1.82652787158,TOC,3.47040295601,TOA,12,25.0,263.75
151,GLOMAP,0.177866175771,MOA,0.0936137767215,MOC,0.177866175771,MOA,12,25.0,263.75
152,GLOMAP,1.9839566946,TOA,1.044187734,TOC,1.9839566946,TOA,12,25.0,263.75
153,GLOMAP,0.178927525878,MOA,0.094172382041,MOC,0.178927525878,MOA,12,25.0,263.75
154,GLOMAP,1.5214830637,TOA,0.800780559841,TOC,1.5214830637,TOA,12,25.0,263.75
155,GLOMAP,0.115279585123,MOA,0.0606734658542,MOC,0.115279585123,MOA,12,25.0,263.75
156,GLOMAP,1.17825365067,TOA,0.62013350035,TOC,1.17825365067,TOA,12,25.0,263.75
157,GLOMAP,0.140807926655,MOA,0.0741094350815,MOC,0.140807926655,MOA,12,25.0,263.75
158,GLOMAP,1.27424073219,TOA,0.670653016944,TOC,1.27424073219,TOA,12,25.0,263.75
159,GLOMAP,0.0963647589087,MOA,0.0507182941625,MOC,0.0963647589087,MOA,12,25.0,263.75
160,GLOMAP,1.84099900723,TOA,0.968946845908,TOC,1.84099900723,TOA,12,25.0,263.75
161,GLOMAP,0.0888632237911,MOA,0.0467701177848,MOC,0.0888632237911,MOA,12,25.0,263.75
162,GLOMAP,1.35528838634,TOA,0.713309677024,TOC,1.35528838634,TOA,12,25.0,263.75
163,GLOMAP,0.123364575207,MOA,0.0649287237933,MOC,0.123364575207,MOA,12,25.0,263.75
164,GLOMAP,0.859089255333,TOA,0.452152239649,TOC,0.859089255333,TOA,12,25.0,263.75
165,GLOMAP,0.106074810028,MOA,0.0558288473832,MOC,0.106074810028,MOA,12,25.0,263.75
166,GLOMAP,0.791857779026,TOA,0.416767252119,TOC,0.791857779026,TOA,12,25.0,263.75
167,GLOMAP,0.103860385716,MOA,0.0546633609031,MOC,0.103860385716,MOA,12,25.0,263.75
168,GLOMAP,0.172887861729,TOA,0.0909936114361,TOC,0.172887861729,TOA,12,-41.0,111.25
169,GLOMAP,0.161687016487,MOA,0.0850984297301,MOC,0.161687016487,MOA,12,-41.0,111.25
170,GLOMAP,0.176736831665,TOA,0.0930193850869,TOC,0.176736831665,TOA,12,-41.0,111.25
171,GLOMAP,0.165279299021,MOA,0.0869891047478,MOC,0.165279299021,MOA,12,-41.0,111.25
172,GLOMAP,0.163274347782,TOA,0.0859338672538,TOC,0.163274347782,TOA,12,-41.0,111.25
173,GLOMAP,0.154375076294,MOA,0.0812500401547,MOC,0.154375076294,MOA,12,-41.0,111.25
174,GLOMAP,0.189159870148,TOA,0.0995578263935,TOC,0.189159870148,TOA,12,-41.0,111.25
175,GLOMAP,0.155657216907,MOA,0.0819248510034,MOC,0.155657216907,MOA,12,-41.0,111.25
176,GLOMAP,0.157456964254,TOA,0.0828720864497,TOC,0.157456964254,TOA,12,-41.0,111.25
177,GLOMAP,0.14196485281,MOA,0.0747183435842,MOC,0.14196485281,MOA,12,-41.0,111.25
178,GLOMAP,0.110215775669,TOA,0.0580083029835,TOC,0.110215775669,TOA,12,-41.0,111.25
179,GLOMAP,0.102954104543,MOA,0.054186370812,MOC,0.102954104543,MOA,12,-41.0,111.25
180,GLOMAP,0.0873110890388,TOA,0.0459532047573,TOC,0.0873110890388,TOA,12,-41.0,111.25
181,GLOMAP,0.0785739794374,MOA,0.0413547260197,MOC,0.0785739794374,MOA,12,-41.0,111.25
182,GLOMAP,0.0944183915854,TOA,0.0496938903081,TOC,0.0944183915854,TOA,12,-41.0,111.25
183,GLOMAP,0.0820907503366,MOA,0.0432056580719,MOC,0.0820907503366,MOA,12,-41.0,111.25
184,GLOMAP,0.104342654347,TOA,0.0549171864986,TOC,0.104342654347,TOA,12,-41.0,111.25
185,GLOMAP,0.0888052284718,MOA,0.0467395939325,MOC,0.0888052284718,MOA,12,-41.0,111.25
186,GLOMAP,0.104931950569,TOA,0.0552273424048,TOC,0.104931950569,TOA,12,-41.0,111.25
187,GLOMAP,0.0926170870662,MOA,0.048745835298,MOC,0.0926170870662,MOA,12,-41.0,111.25
188,GLOMAP,0.12255807966,TOA,0.0645042524526,TOC,0.12255807966,TOA,12,-41.0,111.25
189,GLOMAP,0.115537829697,MOA,0.0608093840511,MOC,0.115537829697,MOA,12,-41.0,111.25
190,GLOMAP,0.219592243433,TOA,0.115574864965,TOC,0.219592243433,TOA,12,-41.0,111.25
191,GLOMAP,0.168961837888,MOA,0.0889272830988,MOC,0.168961837888,MOA,12,-41.0,111.25
192,GLOMAP,0.946555256844,TOA,0.498186977286,TOC,0.946555256844,TOA,12,7.0,121.25
193,GLOMAP,0.169553115964,MOA,0.0892384820863,MOC,0.169553115964,MOA,12,7.0,121.25
194,GLOMAP,0.930902540684,TOA,0.489948705623,TOC,0.930902540684,TOA,12,7.0,121.25
195,GLOMAP,0.146143302321,MOA,0.0769175275376,MOC,0.146143302321,MOA,12,7.0,121.25
196,GLOMAP,0.849587142467,TOA,0.447151127614,TOC,0.849587142467,TOA,12,7.0,121.25
197,GLOMAP,0.121952176094,MOA,0.064185355839,MOC,0.121952176094,MOA,12,7.0,121.25
198,GLOMAP,1.26434826851,TOA,0.66544645711,TOC,1.26434826851,TOA,12,7.0,121.25
199,GLOMAP,0.079724483192,MOA,0.0419602543116,MOC,0.079724483192,MOA,12,7.0,121.25
