month,site,site.long.name,lat,lon,MOA,TOA,BC,SO4,NCL,DST,smSS,total.aerosol
MAR,PalmerSt1990-1996,"Cheju, Korea (NASA PEM-West)",21.33,295.95,0.148606359959,0.303635656834,0.0197029989213,0.964454352856,5.07657575607,0.235263198614,0.0656192004681,6.47556591034
APR,PalmerSt1990-1996,"Cheju, Korea (NASA PEM-West)",21.33,295.95,0.157076701522,0.249962866306,0.0279617011547,1.33007264137,7.40953111649,0.391442477703,0.0879111737013,8.98277950287
MAY,PalmerSt1990-1996,"Cheju, Korea (NASA PEM-West)",21.33,295.95,0.175626829267,0.331704646349,0.0142276650295,0.967369019985,5.38867998123,0.581466257572,0.0622621290386,9.2585067749
JUN,PalmerSt1990-1996,"Cheju, Korea (NASA PEM-West)",21.33,295.95,0.187193989754,0.312425017357,0.00923232361674,0.477065771818,5.33148622513,4.442237854,0.0581876672804,10.1062278748
JUL,PalmerSt1990-1996,"Cheju, Korea (NASA PEM-West)",21.33,295.95,0.160115644336,0.306601881981,0.00846464838833,0.467866957188,9.79682636261,6.30590820312,0.111179344356,16.5126800537
AUG,PalmerSt1990-1996,"Cheju, Korea (NASA PEM-West)",21.33,295.95,0.147824287415,0.351969242096,0.00992715265602,0.44295039773,8.51379966736,6.13119316101,0.0929463878274,15.2353534698
SEP,PalmerSt1990-1996,"Cheju, Korea (NASA PEM-West)",21.33,295.95,0.124681957066,0.319928765297,0.00742847332731,0.560094058514,3.9068672657,1.94564819336,0.039546571672,11.4656410217
OCT,PalmerSt1990-1996,"Cheju, Korea (NASA PEM-West)",21.33,295.95,0.14103615284,0.251681953669,0.00597340939566,0.312159538269,5.82185935974,0.895807266235,0.0626272782683,7.74725484848
NOV,PalmerSt1990-1996,"Cheju, Korea (NASA PEM-West)",21.33,295.95,0.141948834062,0.240159779787,0.0180271007121,0.676661491394,10.1327753067,0.212944477797,0.134793713689,13.7474136353
DEC,PalmerSt1990-1996,"Cheju, Korea (NASA PEM-West)",21.33,295.95,0.184287920594,0.305970013142,0.0135678239167,0.454218655825,11.2331285477,0.266012847424,0.141159266233,12.5036430359
JAN,Mac_88-94_M_ng,"Cape Grim, Tasmania (DOE)",-8.5,80.25,0.0810874551535,0.11752410233,0.0126485098153,0.278905153275,4.05701351166,0.121435433626,0.0528527796268,4.46059751511
FEB,Mac_88-94_M_ng,"Cape Grim, Tasmania (DOE)",-8.5,80.25,0.0898112505674,0.140955775976,0.00264295795932,0.287960022688,1.78143811226,0.0454632304609,0.0271812565625,2.39579820633
MAR,Mac_88-94_M_ng,"Cape Grim, Tasmania (DOE)",-8.5,80.25,0.0611820109189,0.0681964531541,0.00125687790569,0.0928405597806,2.9365503788,0.0572964400053,0.0308655183762,3.16142082214
APR,Mac_88-94_M_ng,"Cape Grim, Tasmania (DOE)",-8.5,80.25,0.0715454444289,0.0872413218021,0.00172327691689,0.062582552433,3.79368019104,0.157887071371,0.0413074232638,4.02417850494
MAY,Mac_88-94_M_ng,"Cape Grim, Tasmania (DOE)",-8.5,80.25,0.0877897143364,0.101876661181,0.00231726909988,0.0694936141372,7.26332473755,0.158201053739,0.0833627730608,7.46337604523
JUN,Mac_88-94_M_ng,"Cape Grim, Tasmania (DOE)",-8.5,80.25,0.084020152688,0.106413766742,0.00266347639263,0.0582933612168,3.1322491169,0.0667719766498,0.0352431163192,3.42572975159
JUL,Mac_88-94_M_ng,"Cape Grim, Tasmania (DOE)",-8.5,80.25,0.109502241015,0.145526364446,0.00332401297055,0.0777670964599,8.72703838348,0.121411323547,0.102936401963,9.03847503662
AUG,Mac_88-94_M_ng,"Cape Grim, Tasmania (DOE)",-8.5,80.25,0.0933928564191,0.129436537623,0.00398189108819,0.121864281595,11.4588670731,0.09272467345,0.135566025972,11.791469574
SEP,Mac_88-94_M_ng,"Cape Grim, Tasmania (DOE)",-8.5,80.25,0.112822182477,0.18299716711,0.00816484168172,0.103214301169,9.1874294281,0.0782988965511,0.108988106251,9.58721446991
OCT,Mac_88-94_M_ng,"Cape Grim, Tasmania (DOE)",-8.5,80.25,0.137752845883,0.354329645634,0.00608576694503,0.105495557189,7.86215591431,0.0343978442252,0.103421591222,8.73617839813
NOV,Mac_88-94_M_ng,"Cape Grim, Tasmania (DOE)",-8.5,80.25,0.106105849147,0.227040201426,0.00134868221357,0.0907695367932,2.76056146622,0.0175495557487,0.0321629941463,3.35104870796
DEC,Mac_88-94_M_ng,"Cape Grim, Tasmania (DOE)",-8.5,80.25,0.137248471379,0.381553828716,0.00356398615986,0.279758304358,2.12840628624,0.0631376132369,0.0269458182156,3.34986042976
JAN,Reunion1990-1996,Nauru,11.33,174.78,0.143211394548,0.31411421299,0.00976712629199,0.496332228184,14.0691452026,0.0784013941884,0.188285142183,15.0792589188
FEB,Reunion1990-1996,Nauru,11.33,174.78,0.161125972867,0.350138425827,0.010025234893,0.280978620052,10.1566543579,0.258662760258,0.131376236677,11.2977495193
MAR,Reunion1990-1996,Nauru,11.33,174.78,0.152022719383,0.382592082024,0.016287593171,0.409580737352,8.97297668457,0.503161549568,0.121347844601,10.4565658569
APR,Reunion1990-1996,Nauru,11.33,174.78,0.141006305814,0.256763666868,0.0158632025123,0.468292742968,9.17375850677,0.460903048515,0.126404508948,10.1602268219
MAY,Reunion1990-1996,Nauru,11.33,174.78,0.124104641378,0.180358484387,0.0132117401809,0.567981541157,8.39432430267,0.311248540878,0.116379469633,8.96131896973
JUN,Reunion1990-1996,Nauru,11.33,174.78,0.188218832016,0.315607964993,0.008763987571,0.829249382019,9.3375749588,0.18467694521,0.125733375549,10.9708185196
JUL,Reunion1990-1996,Nauru,11.33,174.78,0.142244189978,0.210837155581,0.00283663114533,0.612435996532,7.08289718628,0.035759344697,0.0964722186327,7.9663772583
AUG,Reunion1990-1996,Nauru,11.33,174.78,0.164305597544,0.22975641489,0.00217394717038,0.564907491207,7.34623670578,0.0185809601098,0.104575164616,8.36594009399
SEP,Reunion1990-1996,Nauru,11.33,174.78,0.0916914045811,0.123492836952,0.00300465268083,0.400831192732,4.91564416885,0.0510877221823,0.0638987720013,5.36879634857
OCT,Reunion1990-1996,Nauru,11.33,174.78,0.134389698505,0.209900528193,0.00244632340036,0.231569781899,4.98306560516,0.0321265012026,0.064681455493,5.66538143158
NOV,Reunion1990-1996,Nauru,11.33,174.78,0.169174134731,0.268944382668,0.00602489942685,0.242890030146,9.15582180023,0.303214073181,0.11356561631,9.99643993378
DEC,Reunion1990-1996,Nauru,11.33,174.78,0.177879601717,0.326076865196,0.00936359073967,0.199627757072,13.8446130753,0.214985489845,0.196410909295,14.8767318726
JAN,MarionIs1992-1996,"Hedo, Okinawa, Japan",-40.68,200.67,0.154786229134,0.211563959718,0.00295443204232,0.478364467621,13.8840389252,0.253489345312,0.213226392865,14.7747917175
FEB,MarionIs1992-1996,"Hedo, Okinawa, Japan",-40.68,200.67,0.158260732889,0.17752161622,0.00147198489867,0.591202437878,10.7088470459,0.288128197193,0.155341342092,11.3847389221
MAR,MarionIs1992-1996,"Hedo, Okinawa, Japan",-40.68,200.67,0.136795297265,0.15408180654,0.000573496799916,0.157917037606,14.3293600082,0.101816117764,0.208711072803,14.9370088577
APR,MarionIs1992-1996,"Hedo, Okinawa, Japan",-40.68,200.67,0.141178414226,0.157504290342,0.00102058262564,0.130791351199,13.2200489044,0.250057935715,0.186034739017,13.7780399323
MAY,MarionIs1992-1996,"Hedo, Okinawa, Japan",-40.68,200.67,0.143014431,0.160836219788,0.00137332151644,0.0495299361646,11.3186120987,0.280045419931,0.159891992807,12.1902570724
JUN,MarionIs1992-1996,"Hedo, Okinawa, Japan",-40.68,200.67,0.111509852111,0.132578223944,0.00151093315799,0.0468267090619,9.70814800262,0.374008268118,0.109990276396,10.0559082031
