
	BEGIN	END	AVG_CL	AVG_NO3	AVG_SO4	AVG_NA	AVG_NSSSO4	_NA	_V	_AL	_BE7	_PB210
	8-19-1982	8-26-1982	35.08 	0.022 	4.599 	19.15 	-0.221 	18.0 	#N/A	17.09 	#N/A	#N/A
	8-26-1982	9-2-1982	39.59 	0.034 	4.868 	21.29 	-0.490 	21.4 	#N/A	6.76 	#N/A	#N/A
	9-2-1982	9-9-1982	45.37 	-0.003 	6.457 	23.89 	0.444 	23.9 	0.304 	14.92 	#N/A	#N/A
	9-9-1982	9-16-1982	17.84 	0.095 	2.974 	8.03 	0.952 	7.8 	#N/A	7.53 	#N/A	#N/A
	9-16-1982	9-24-1982	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-24-1982	9-30-1982	18.60 	0.043 	2.738 	9.65 	0.310 	7.2 	#N/A	1.62 	#N/A	#N/A
	9-30-1982	10-7-1982	23.81 	0.061 	3.972 	13.13 	0.667 	9.5 	#N/A	18.92 	#N/A	#N/A
	10-7-1982	10-15-1982	26.26 	0.016 	3.827 	14.42 	0.197 	11.4 	#N/A	8.80 	#N/A	#N/A
	10-15-1982	10-21-1982	12.33 	0.118 	1.976 	6.65 	0.304 	8.1 	#N/A	3.33 	#N/A	#N/A
	10-21-1982	10-28-1982	11.65 	0.276 	2.161 	6.43 	0.542 	6.7 	0.055 	17.30 	#N/A	#N/A
	10-28-1982	11-5-1982	28.40 	0.083 	4.380 	15.43 	0.497 	14.5 	#N/A	3.86 	#N/A	#N/A
	11-5-1982	11-11-1982	41.82 	0.108 	4.648 	22.41 	-0.992 	32.4 	0.418 	52.95 	#N/A	#N/A
	11-11-1982	11-18-1982	22.16 	0.219 	3.317 	12.57 	0.152 	12.2 	#N/A	2.91 	#N/A	#N/A
	11-18-1982	11-25-1982	32.43 	0.068 	4.443 	18.27 	-0.156 	13.5 	#N/A	17.24 	#N/A	#N/A
	11-25-1982	11-26-1982	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	11-26-1982	12-2-1982	60.56 	0.827 	6.918 	35.17 	-1.933 	27.4 	#N/A	34.69 	#N/A	#N/A
	12-2-1982	12-4-1982	70.11 	0.151 	9.102 	37.27 	-0.278 	26.3 	0.214 	5.75 	#N/A	#N/A
	12-4-1982	1-16-1983	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-16-1983	1-20-1983	29.11 	0.092 	4.027 	16.56 	-0.142 	18.0 	#N/A	42.80 	#N/A	#N/A
	1-20-1983	1-27-1983	32.99 	0.188 	4.889 	18.18 	0.312 	15.1 	0.125 	21.93 	#N/A	#N/A
	1-27-1983	2-3-1983	33.74 	0.069 	4.411 	18.74 	-0.306 	13.5 	#N/A	0.20 	#N/A	#N/A
	2-3-1983	2-10-1983	22.48 	0.223 	3.477 	12.86 	0.241 	13.6 	#N/A	6.02 	#N/A	#N/A
	2-10-1983	2-17-1983	55.11 	0.226 	7.703 	30.18 	0.108 	23.9 	#N/A	27.49 	#N/A	#N/A
	2-17-1983	2-24-1983	42.87 	0.314 	5.497 	22.98 	-0.286 	17.4 	#N/A	37.04 	#N/A	#N/A
	2-24-1983	3-3-1983	40.58 	0.221 	6.073 	22.49 	0.412 	17.6 	#N/A	28.70 	#N/A	#N/A
	3-3-1983	3-10-1983	34.54 	0.213 	4.856 	19.23 	0.015 	12.5 	#N/A	4.43 	#N/A	#N/A
	3-10-1983	3-17-1983	46.60 	0.152 	5.816 	25.71 	-0.656 	18.1 	0.190 	53.42 	#N/A	#N/A
	3-17-1983	3-24-1983	40.14 	0.235 	5.590 	22.39 	-0.046 	18.5 	0.248 	56.88 	#N/A	#N/A
	3-24-1983	3-31-1983	41.14 	0.322 	6.221 	23.19 	0.385 	11.0 	#N/A	15.57 	#N/A	#N/A
	3-31-1983	4-7-1983	43.16 	0.211 	6.236 	23.77 	0.253 	17.5 	#N/A	13.08 	#N/A	#N/A
	4-7-1983	4-15-1983	34.58 	0.413 	7.489 	19.74 	2.521 	13.5 	0.176 	47.82 	#N/A	#N/A
	4-15-1983	4-21-1983	49.85 	0.433 	6.119 	27.19 	-0.725 	20.8 	#N/A	46.08 	#N/A	#N/A
	4-21-1983	4-28-1983	47.22 	0.214 	5.661 	26.43 	-0.991 	21.8 	#N/A	23.65 	#N/A	#N/A
	4-28-1983	5-5-1983	45.07 	0.238 	6.429 	25.43 	0.028 	15.9 	#N/A	34.95 	#N/A	#N/A
	5-5-1983	5-12-1983	48.47 	0.178 	6.806 	26.75 	0.074 	20.5 	0.132 	19.48 	#N/A	#N/A
	5-12-1983	5-20-1983	46.66 	0.350 	6.341 	25.82 	-0.158 	23.8 	0.607 	47.12 	#N/A	#N/A
	5-20-1983	5-26-1983	38.99 	0.185 	5.494 	21.72 	0.026 	17.2 	#N/A	83.15 	#N/A	#N/A
	5-26-1983	6-2-1983	39.46 	0.169 	5.220 	22.29 	-0.390 	18.3 	#N/A	35.26 	#N/A	#N/A
	6-2-1983	6-9-1983	32.35 	0.150 	4.512 	18.35 	-0.108 	14.5 	#N/A	37.01 	#N/A	#N/A
	6-9-1983	6-16-1983	41.11 	0.100 	4.109 	23.60 	-1.833 	18.5 	#N/A	24.09 	#N/A	#N/A
	6-16-1983	2-20-1985	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-20-1985	2-28-1985	28.48 	0.195 	4.321 	15.65 	0.382 	16.5 	#N/A	27.38 	1.036 	#N/A
	2-28-1985	3-6-1985	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-6-1985	3-13-1985	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-13-1985	3-21-1985	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-21-1985	3-25-1985	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-25-1985	3-27-1985	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-27-1985	4-3-1985	28.17 	0.103 	4.083 	15.12 	0.279 	56.7 	#N/A	18.40 	1.921 	#N/A
	4-3-1985	4-10-1985	40.15 	0.310 	5.929 	22.65 	0.229 	20.3 	#N/A	34.02 	1.537 	#N/A
	4-10-1985	4-17-1985	36.00 	0.102 	5.130 	19.82 	0.141 	14.8 	0.072 	4.21 	0.601 	#N/A
	4-17-1985	4-24-1985	28.51 	0.226 	4.272 	16.03 	0.238 	14.0 	0.257 	11.44 	2.054 	#N/A
	4-24-1985	5-1-1985	24.82 	0.266 	3.803 	13.23 	0.473 	13.4 	0.126 	20.67 	2.656 	#N/A
	5-1-1985	5-8-1985	26.39 	0.117 	4.114 	14.88 	0.368 	14.0 	#N/A	26.79 	1.186 	#N/A
	5-8-1985	5-15-1985	26.43 	0.114 	3.950 	14.44 	0.316 	13.4 	#N/A	46.35 	1.336 	#N/A
	5-15-1985	5-22-1985	28.38 	0.026 	4.087 	15.92 	0.080 	12.0 	#N/A	3.09 	#N/A	#N/A
	5-22-1985	5-29-1985	42.27 	0.017 	5.684 	22.71 	-0.034 	20.8 	0.091 	5.54 	#N/A	#N/A
	5-29-1985	6-5-1985	36.58 	0.177 	5.391 	20.23 	0.299 	16.2 	#N/A	21.19 	2.054 	#N/A
	6-5-1985	6-12-1985	29.71 	0.098 	4.530 	16.42 	0.397 	18.1 	#N/A	26.75 	#N/A	#N/A
	6-12-1985	6-19-1985	31.41 	0.159 	4.963 	17.45 	0.572 	18.1 	0.106 	30.46 	1.787 	#N/A
	6-19-1985	6-26-1985	29.98 	0.120 	5.272 	17.11 	0.965 	15.7 	#N/A	11.59 	1.286 	#N/A
	6-26-1985	7-3-1985	28.38 	0.160 	4.482 	16.03 	0.447 	#N/A	#N/A	0.20 	2.789 	#N/A
	7-3-1985	7-10-1985	30.66 	0.077 	4.490 	16.87 	0.244 	#N/A	#N/A	0.20 	1.219 	#N/A
	7-10-1985	7-17-1985	29.15 	0.094 	4.210 	15.89 	0.210 	12.8 	0.096 	2.78 	1.553 	#N/A
	7-17-1985	8-7-1985	29.44 	0.107 	4.531 	15.23 	0.697 	12.1 	0.133 	6.77 	1.503 	#N/A
	8-7-1985	8-14-1985	31.10 	0.087 	4.544 	17.30 	0.189 	17.3 	#N/A	2.45 	1.002 	#N/A
	8-14-1985	8-21-1985	26.43 	0.094 	3.962 	15.46 	0.071 	16.3 	#N/A	3.49 	1.136 	#N/A
	8-21-1985	8-29-1985	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	8-29-1985	9-4-1985	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-4-1985	10-2-1985	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-2-1985	10-16-1985	25.94 	0.103 	4.028 	14.62 	0.349 	13.9 	0.097 	3.72 	1.504 	#N/A
	10-16-1985	10-23-1985	31.34 	0.090 	4.686 	18.12 	0.126 	#N/A	#N/A	#N/A	#N/A	#N/A
	10-23-1985	10-30-1985	18.57 	0.158 	2.635 	10.44 	0.008 	10.1 	#N/A	6.69 	1.737 	#N/A
	10-30-1985	11-6-1985	25.84 	0.206 	3.936 	14.60 	0.261 	15.4 	#N/A	4.16 	2.605 	#N/A
	11-6-1985	11-13-1985	22.97 	0.115 	3.372 	13.41 	-0.002 	12.9 	0.121 	2.74 	1.470 	#N/A
	11-13-1985	11-21-1985	30.14 	0.234 	4.327 	16.91 	0.071 	14.9 	0.225 	6.17 	1.904 	#N/A
	11-21-1985	11-27-1985	23.57 	0.332 	3.726 	13.33 	0.370 	14.0 	#N/A	12.36 	2.806 	#N/A
	11-27-1985	12-4-1985	38.74 	0.112 	5.611 	21.75 	0.135 	19.0 	#N/A	0.20 	1.236 	#N/A
	12-4-1985	12-11-1985	28.03 	0.073 	3.836 	15.72 	-0.121 	#N/A	#N/A	#N/A	1.136 	#N/A
	12-11-1985	12-19-1985	30.09 	0.139 	4.229 	17.13 	-0.082 	14.6 	#N/A	8.92 	1.754 	#N/A
	12-19-1985	12-25-1985	23.64 	0.090 	3.390 	13.96 	-0.123 	18.0 	#N/A	8.92 	1.436 	#N/A
	12-25-1985	1-1-1986	33.16 	0.171 	4.504 	19.03 	-0.285 	19.3 	0.222 	22.11 	2.338 	#N/A
	1-1-1986	1-8-1986	22.50 	0.070 	4.280 	13.59 	0.859 	12.7 	#N/A	0.46 	1.370 	#N/A
	1-8-1986	1-15-1986	31.48 	0.067 	4.334 	17.26 	-0.011 	15.4 	#N/A	4.55 	1.336 	#N/A
	1-15-1986	1-22-1986	32.36 	0.101 	4.173 	18.68 	-0.528 	13.8 	#N/A	3.74 	2.138 	#N/A
	1-22-1986	1-29-1986	24.30 	0.143 	3.447 	14.01 	-0.079 	47.0 	#N/A	0.20 	#N/A	#N/A
	1-29-1986	2-6-1986	21.65 	0.085 	3.194 	12.37 	0.080 	3.1 	#N/A	2.54 	#N/A	#N/A
	2-6-1986	2-12-1986	20.45 	0.173 	3.187 	12.13 	0.133 	50.2 	#N/A	20.08 	#N/A	#N/A
	2-12-1986	2-20-1986	35.23 	0.210 	4.793 	19.71 	-0.169 	4.9 	#N/A	0.82 	#N/A	#N/A
	2-20-1986	2-26-1986	22.07 	0.187 	3.222 	12.59 	0.052 	76.0 	#N/A	140.28 	#N/A	#N/A
	2-26-1986	3-5-1986	22.71 	0.365 	3.479 	13.09 	0.184 	16.5 	0.090 	36.33 	#N/A	#N/A
	3-5-1986	3-12-1986	16.84 	0.165 	2.650 	9.27 	0.317 	11.0 	#N/A	5.48 	#N/A	#N/A
	3-12-1986	3-19-1986	30.10 	0.142 	4.125 	16.52 	-0.032 	18.2 	#N/A	3.26 	#N/A	#N/A
	3-19-1986	3-26-1986	29.51 	0.118 	4.245 	16.16 	0.177 	#N/A	#N/A	#N/A	#N/A	#N/A
	3-26-1986	4-2-1986	27.88 	0.394 	4.124 	16.96 	-0.144 	15.2 	#N/A	8.30 	#N/A	#N/A
	4-2-1986	4-9-1986	28.77 	0.266 	4.354 	16.66 	0.162 	#N/A	#N/A	#N/A	#N/A	#N/A
	4-9-1986	4-16-1986	32.14 	0.268 	4.617 	17.91 	0.109 	18.7 	0.267 	68.61 	#N/A	#N/A
	4-16-1986	4-24-1986	25.75 	0.200 	3.599 	14.19 	0.027 	14.4 	0.186 	62.27 	#N/A	#N/A
	4-24-1986	4-30-1986	24.95 	0.201 	3.768 	14.23 	0.188 	15.1 	#N/A	32.96 	#N/A	#N/A
	4-30-1986	5-5-1986	25.06 	0.104 	3.415 	13.92 	-0.088 	16.1 	0.291 	67.91 	#N/A	#N/A
	5-5-1986	5-14-1986	23.49 	0.251 	3.614 	13.05 	0.330 	14.6 	#N/A	74.34 	2.584 	#N/A
	5-14-1986	5-22-1986	25.67 	0.064 	3.661 	14.44 	0.026 	16.3 	0.095 	6.07 	1.052 	#N/A
	5-22-1986	5-29-1986	16.63 	0.125 	2.400 	8.93 	0.151 	15.1 	0.305 	38.91 	#N/A	#N/A
	5-29-1986	6-5-1986	21.84 	0.059 	2.964 	12.01 	-0.058 	11.5 	#N/A	6.67 	#N/A	#N/A
	6-5-1986	6-11-1986	43.58 	0.175 	7.560 	23.55 	1.632 	29.2 	0.263 	48.78 	#N/A	#N/A
	6-11-1986	6-18-1986	21.94 	0.071 	3.347 	12.77 	0.133 	16.4 	#N/A	12.06 	#N/A	#N/A
	6-18-1986	6-26-1986	29.24 	0.080 	4.204 	16.99 	-0.071 	20.5 	#N/A	32.23 	#N/A	#N/A
	6-26-1986	7-3-1986	11.54 	0.022 	1.737 	6.85 	0.014 	9.7 	0.130 	4.71 	#N/A	#N/A
	7-3-1986	7-10-1986	21.93 	0.034 	3.555 	12.60 	0.384 	12.5 	#N/A	4.07 	1.126 	#N/A
	7-10-1986	7-16-1986	13.46 	0.033 	2.064 	7.67 	0.134 	12.5 	#N/A	5.43 	0.750 	#N/A
	7-16-1986	7-23-1986	6.81 	0.009 	0.984 	3.90 	0.003 	4.8 	0.061 	0.20 	0.316 	#N/A
