
	BEGIN	END	AVG_CL	AVG_NO3	AVG_SO4	AVG_NA	AVG_NSSSO4	AVG_MSA
	2-1-1985	2-9-1985	17.741 	0.153 	2.844 	9.657 	0.413 	#N/A
	2-9-1985	2-19-1985	13.999 	0.163 	2.867 	8.568 	0.711 	#N/A
	2-19-1985	2-25-1985	21.972 	0.140 	3.507 	11.782 	0.542 	#N/A
	2-25-1985	3-9-1985	49.033 	0.104 	7.426 	26.167 	0.840 	#N/A
	3-9-1985	3-15-1985	25.966 	0.095 	3.926 	13.976 	0.408 	#N/A
	3-15-1985	3-23-1985	19.142 	0.164 	3.054 	10.642 	0.375 	#N/A
	3-23-1985	3-31-1985	12.570 	0.045 	2.028 	6.790 	0.319 	#N/A
	3-31-1985	4-9-1985	18.649 	0.045 	3.071 	10.161 	0.513 	#N/A
	4-9-1985	4-15-1985	32.561 	0.125 	4.773 	17.326 	0.413 	#N/A
	4-15-1985	4-22-1985	12.310 	0.355 	2.100 	6.796 	0.390 	#N/A
	4-22-1985	4-28-1985	20.315 	0.229 	3.489 	10.931 	0.737 	#N/A
	4-28-1985	5-6-1985	24.449 	0.085 	3.498 	14.056 	-0.040 	#N/A
	5-6-1985	5-13-1985	17.110 	0.149 	2.436 	9.725 	-0.012 	#N/A
	5-13-1985	5-20-1985	13.095 	0.096 	2.024 	7.231 	0.203 	#N/A
	5-20-1985	5-27-1985	19.013 	0.126 	2.788 	10.513 	0.142 	#N/A
	5-27-1985	6-3-1985	32.961 	0.052 	4.717 	17.956 	0.197 	#N/A
	6-3-1985	6-10-1985	8.918 	0.145 	1.812 	4.840 	0.594 	#N/A
	6-10-1985	6-24-1985	11.628 	0.116 	1.783 	6.142 	0.237 	#N/A
	6-24-1985	7-3-1985	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	7-3-1985	7-9-1985	16.489 	0.056 	2.377 	8.573 	0.219 	#N/A
	7-9-1985	7-15-1985	10.816 	0.169 	1.751 	5.847 	0.279 	#N/A
	7-15-1985	7-23-1985	14.184 	0.161 	2.307 	7.775 	0.350 	#N/A
	7-23-1985	7-29-1985	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	7-29-1985	8-5-1985	9.440 	0.091 	1.487 	5.315 	0.149 	#N/A
	8-5-1985	8-13-1985	15.072 	0.210 	2.767 	8.384 	0.657 	#N/A
	8-13-1985	8-19-1985	16.347 	0.125 	2.505 	8.910 	0.263 	#N/A
	8-19-1985	8-26-1985	15.231 	0.081 	2.274 	8.248 	0.199 	#N/A
	8-26-1985	9-2-1985	14.768 	0.252 	2.370 	8.591 	0.207 	#N/A
	9-2-1985	9-9-1985	16.253 	0.218 	2.655 	9.201 	0.340 	#N/A
	9-9-1985	9-16-1985	14.422 	0.090 	2.535 	8.108 	0.494 	#N/A
	9-16-1985	9-29-1985	13.377 	0.599 	2.504 	7.588 	0.594 	#N/A
	9-29-1985	10-9-1985	26.023 	0.186 	3.880 	14.604 	0.204 	#N/A
	10-9-1985	10-16-1985	20.318 	0.254 	3.323 	11.372 	0.461 	#N/A
	10-16-1985	10-23-1985	11.505 	0.404 	2.353 	6.506 	0.715 	#N/A
