
	DATE	N_CL	AVG_CL	STD_CL	MED_CL	P16_CL	P84_CL	N_NO3	AVG_NO3	STD_NO3	MED_NO3	P16_NO3	P84_NO3	N_SO4	AVG_SO4	STD_SO4	MED_SO4	P16_SO4	P84_SO4	N_NA	AVG_NA	STD_NA	MED_NA	P16_NA	P84_NA	N_NSSSO4	AVG_NSSSO4	STD_NSSSO4	MED_NSSSO4	P16_NSSSO4	P84_NSSSO4	N_MSA	AVG_MSA	STD_MSA	MED_MSA	P16_MSA	P84_MSA	N_DUST	AVG_DUST	STD_DUST	MED_DUST	P16_DUST	P84_DUST	N_NH4	AVG_NH4	STD_NH4	MED_NH4	P16_NH4	P84_NH4
	4-1-1990	29	4.923	4.034	4.636	1.825	6.574	29	2.290	1.959	1.616	1.362	2.570	29	6.056	3.184	5.155	3.176	8.943	29	3.474	2.133	3.036	1.623	4.436	29	5.181	3.304	4.458	2.631	8.209	25	0.0643	0.0309	0.0502	0.0454	0.1090	29	1.627	1.234	1.505	0.552	2.168	29	1.095	0.681	1.016	0.480	1.988
	5-1-1990	31	4.199	2.157	3.620	2.339	6.613	31	1.552	0.932	1.373	0.847	1.816	31	2.817	1.593	2.323	1.511	4.008	30	2.758	1.038	2.485	1.913	4.126	30	2.167	1.570	1.550	1.019	3.549	27	0.0559	0.0320	0.0587	0.0149	0.0980	31	2.706	3.146	1.099	0.497	7.527	31	0.629	0.535	0.470	0.209	1.002
	6-1-1990	25	3.559	1.774	3.098	2.037	5.208	25	1.976	1.117	1.812	0.942	2.361	25	2.462	1.197	2.147	1.660	2.888	25	2.389	0.856	2.266	1.419	3.169	25	1.860	1.186	1.788	0.976	2.329	22	0.0507	0.0270	0.0505	0.0282	0.0599	25	4.503	6.734	1.696	0.505	5.440	25	0.595	0.426	0.460	0.315	1.128
	7-1-1990	30	3.827	2.164	3.822	1.860	4.862	30	2.633	2.648	1.596	0.965	4.410	30	3.314	2.132	2.217	1.635	6.386	30	2.603	1.256	2.508	1.746	3.011	30	2.659	2.228	1.620	0.881	6.107	24	0.0390	0.0112	0.0352	0.0300	0.0460	30	9.102	9.014	6.687	1.566	16.024	30	0.803	0.839	0.392	0.149	2.116
	8-1-1990	31	2.909	1.534	2.483	1.626	4.840	31	2.380	1.900	1.494	1.282	3.214	31	3.182	2.125	3.042	1.397	4.117	31	1.922	0.765	1.519	1.145	2.773	31	2.698	2.193	2.344	0.852	3.781	26	0.0371	0.0136	0.0351	0.0208	0.0502	31	13.655	14.595	5.873	3.104	31.769	31	0.707	0.428	0.603	0.302	1.056
	9-1-1990	29	1.755	0.580	1.783	1.160	2.124	29	1.618	0.512	1.572	1.103	2.086	29	3.107	1.634	3.177	1.440	4.754	29	1.374	0.314	1.304	1.193	1.549	29	2.761	1.592	2.823	1.127	4.347	28	0.0456	0.0202	0.0365	0.0304	0.0771	29	1.515	1.631	0.736	0.544	2.320	29	0.918	0.558	0.717	0.485	1.613
	10-1-1990	31	3.327	2.342	2.504	1.448	5.070	31	1.383	0.841	1.130	0.592	2.114	31	3.699	1.794	3.186	1.742	5.920	31	2.326	1.260	2.178	1.336	3.258	31	3.113	1.907	2.481	1.170	5.428	31	0.0407	0.0178	0.0330	0.0254	0.0618	31	1.422	2.034	0.654	0.340	1.611	31	0.853	0.638	0.628	0.264	1.396
	11-1-1990	30	4.074	2.091	3.569	1.865	6.830	30	2.051	1.245	1.951	0.958	3.120	30	3.074	0.758	3.144	2.149	3.774	30	2.733	1.247	2.215	1.611	4.504	30	2.386	0.865	2.335	1.643	3.289	30	0.0295	0.0110	0.0325	0.0180	0.0378	30	1.416	1.357	0.895	0.499	2.152	30	0.936	0.559	1.020	0.438	1.388
	12-1-1990	31	3.770	1.882	3.431	1.653	6.353	31	1.755	1.513	1.247	0.554	2.599	31	2.400	0.899	2.227	1.464	3.368	31	2.567	1.236	2.496	1.416	4.084	31	1.754	1.026	1.599	0.448	3.008	31	0.0271	0.0074	0.0299	0.0183	0.0327	31	1.058	2.076	0.448	0.261	1.315	31	0.624	0.755	0.294	0.049	1.324
	1-1-1991	28	4.556	1.332	4.482	2.973	5.915	28	1.266	0.652	1.211	0.564	2.073	28	2.139	0.831	1.987	1.344	3.178	28	2.749	0.692	2.676	2.066	3.500	28	1.447	0.909	1.314	0.514	2.643	27	0.0286	0.0073	0.0274	0.0240	0.0318	28	0.696	0.584	0.522	0.224	1.248	28	0.534	0.351	0.495	0.126	0.944
	2-1-1991	24	5.231	1.696	4.838	3.490	6.957	24	1.474	0.914	0.936	0.748	2.505	24	2.318	1.262	2.001	1.579	2.583	24	3.123	0.906	2.957	2.058	4.069	24	1.532	1.273	1.273	0.810	1.801	20	0.0272	0.0111	0.0294	0.0132	0.0410	24	0.775	0.737	0.519	0.309	1.000	24	0.202	0.252	0.056	0.009	0.443
	3-1-1991	27	4.863	1.884	5.662	2.754	6.489	27	2.258	0.896	2.085	1.460	2.961	27	4.379	0.889	4.364	3.279	5.082	27	3.206	1.061	3.151	2.093	4.273	27	3.572	0.893	3.543	2.858	4.471	23	0.0449	0.0142	0.0517	0.0329	0.0575	27	2.660	1.107	2.177	1.806	4.323	27	0.083	0.039	0.077	0.053	0.115
	4-1-1991	30	5.327	2.909	5.015	3.829	6.340	30	1.360	0.689	1.102	0.720	2.207	30	2.980	1.549	2.417	2.083	3.444	30	3.464	1.604	3.245	2.541	4.045	30	2.108	1.533	1.675	1.183	2.536	27	0.0469	0.0135	0.0504	0.0293	0.0559	30	1.433	0.901	1.016	0.859	1.960	30	0.548	0.411	0.425	0.200	1.072
	5-1-1991	31	4.190	5.502	2.954	1.718	4.875	31	1.183	0.556	0.971	0.790	1.577	31	2.828	1.341	2.261	1.647	4.223	31	2.870	2.877	2.445	1.747	3.099	31	2.105	1.126	1.864	1.035	3.384	31	0.0640	0.0255	0.0768	0.0343	0.0861	31	3.135	5.015	1.252	0.545	2.645	31	0.377	0.197	0.408	0.156	0.594
	6-1-1991	28	2.528	1.835	2.016	1.036	3.570	28	1.746	0.881	1.515	1.006	2.472	28	2.304	0.841	1.942	1.503	3.298	28	1.673	0.953	1.451	0.692	2.013	28	1.883	0.881	1.481	0.966	2.896	20	0.0305	0.0186	0.0283	0.0054	0.0493	28	3.236	3.240	2.079	0.566	5.726	28	0.796	1.613	0.398	0.055	0.998
	7-1-1991	30	3.684	1.697	3.395	2.225	5.108	30	1.638	0.782	1.555	0.921	2.284	30	2.022	0.575	1.871	1.473	2.562	30	2.270	0.970	2.156	1.523	3.169	30	1.451	0.437	1.479	0.972	1.834	27	0.0414	0.0135	0.0404	0.0258	0.0605	30	13.667	13.429	6.961	4.651	31.851	30	0.439	0.275	0.433	0.138	0.590
	8-1-1991	31	2.593	0.964	2.459	1.853	3.447	31	1.955	1.624	1.295	0.749	2.790	31	2.365	1.662	1.829	1.370	2.926	31	1.682	0.421	1.729	1.292	2.095	31	1.942	1.673	1.508	0.886	2.528	28	0.0370	0.0132	0.0358	0.0225	0.0478	31	10.201	15.439	2.196	0.519	21.962	31	0.600	0.552	0.390	0.233	0.934
	9-1-1991	27	2.563	1.663	1.942	0.919	3.548	27	1.444	0.548	1.512	0.793	1.916	27	2.736	1.390	2.341	1.463	4.473	27	1.832	0.998	1.565	1.104	2.189	27	2.274	1.287	1.819	1.123	4.187	25	0.0412	0.0097	0.0377	0.0339	0.0508	27	4.473	5.389	0.840	0.620	9.084	27	0.520	0.371	0.377	0.215	0.787
	10-1-1991	30	5.388	3.626	4.791	1.889	9.145	30	1.461	1.246	0.898	0.576	2.824	30	2.558	1.541	2.001	1.652	4.778	30	3.271	1.924	2.673	1.262	5.399	30	1.734	1.545	1.126	0.642	2.939	23	0.0351	0.0149	0.0336	0.0249	0.0515	30	1.952	4.124	0.683	0.224	3.100	30	0.538	0.401	0.434	0.206	0.932
	11-1-1991	19	4.811	1.926	5.826	2.901	7.069	19	1.407	2.427	0.534	0.508	1.585	19	2.382	1.431	1.588	1.375	3.596	19	3.223	0.965	3.462	2.524	4.466	19	1.570	1.639	0.588	0.464	2.961	18	0.0364	0.0065	0.0368	0.0299	0.0426	19	0.298	0.353	0.211	0.042	0.479	19	0.360	0.606	0.197	0.029	0.400
	12-1-1991	28	4.314	2.391	3.789	2.322	6.791	28	1.118	0.518	0.989	0.823	1.242	28	2.022	0.792	1.620	1.456	2.373	28	2.815	1.339	2.565	1.671	4.104	28	1.314	0.666	1.184	0.759	1.652	25	0.0267	0.0113	0.0293	0.0108	0.0336	28	0.663	1.079	0.296	0.231	0.856	28	0.412	0.228	0.426	0.230	0.591
	1-1-1992	23	4.631	1.110	4.313	3.941	5.466	23	1.477	0.506	1.595	0.939	1.826	23	2.247	0.613	2.397	1.446	2.909	23	3.000	0.775	2.882	2.541	3.849	23	1.492	0.551	1.589	0.729	2.117	21	0.0181	0.0061	0.0218	0.0101	0.0227	23	0.664	0.765	0.527	0.355	0.598	23	0.598	0.248	0.559	0.351	0.822
	2-1-1992	18	5.828	3.942	4.402	2.847	8.715	18	2.079	1.557	1.819	0.675	4.513	18	2.468	1.059	2.373	1.482	3.180	18	3.689	2.200	2.875	2.085	5.273	18	1.540	0.881	1.144	0.709	2.477	16	0.0248	0.0079	0.0236	0.0166	0.0313	18	1.018	0.951	0.768	0.273	1.581	18	0.585	0.544	0.410	0.118	1.340
	3-1-1992	23	3.903	1.994	3.069	1.852	5.511	23	2.227	1.110	2.059	1.291	3.515	23	4.165	1.491	4.170	2.854	5.684	23	2.874	1.175	2.925	1.615	4.018	23	3.442	1.436	3.160	2.166	4.667	20	0.0314	0.0085	0.0302	0.0238	0.0378	23	1.743	1.286	1.408	0.606	2.999	23	1.029	0.531	0.921	0.561	1.731
	4-1-1992	25	4.407	2.039	4.061	1.796	6.446	25	2.476	1.912	1.584	0.948	4.470	25	4.362	2.348	3.553	1.862	6.975	25	3.160	1.216	2.827	1.633	4.349	25	3.567	2.511	2.923	0.799	6.034	19	0.0481	0.0144	0.0454	0.0385	0.0650	25	1.242	0.844	0.989	0.553	1.842	25	0.971	0.733	0.766	0.258	1.895
