
	BEGIN	END	AVG_CL	AVG_NO3	AVG_SO4	AVG_NA	AVG_NSSSO4	AVG_MSA	_NA	_V	_AL	_PB210
	3-11-1982	3-18-1982	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-18-1982	3-25-1982	6.213 	0.147 	1.791 	3.609 	0.882 	58.60 	4.3 	#N/A	4.07 	#N/A
	3-25-1982	4-2-1982	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-2-1982	4-8-1982	5.525 	0.118 	1.413 	3.116 	0.629 	31.20 	3.6 	#N/A	5.23 	#N/A
	4-8-1982	4-15-1982	4.970 	0.082 	2.350 	2.931 	1.612 	48.90 	3.3 	#N/A	52.90 	#N/A
	4-15-1982	4-22-1982	8.351 	0.047 	1.836 	4.692 	0.655 	27.00 	2.3 	#N/A	34.18 	#N/A
	4-22-1982	4-30-1982	4.878 	0.038 	0.543 	2.512 	-0.089 	21.60 	6.7 	0.097 	8.82 	#N/A
	4-30-1982	5-7-1982	5.605 	0.116 	1.482 	3.153 	0.688 	48.90 	2.9 	#N/A	12.15 	#N/A
	5-7-1982	5-13-1982	5.174 	0.147 	1.392 	2.872 	0.669 	37.70 	2.5 	0.122 	3.10 	#N/A
	5-13-1982	5-20-1982	4.759 	0.122 	1.325 	2.656 	0.657 	31.40 	2.4 	0.028 	0.20 	#N/A
	5-20-1982	5-27-1982	2.606 	0.114 	1.011 	1.491 	0.636 	#N/A	1.8 	#N/A	0.85 	#N/A
	5-27-1982	6-3-1982	6.212 	0.081 	1.430 	3.508 	0.547 	#N/A	4.2 	#N/A	1.49 	#N/A
	6-3-1982	6-10-1982	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	6-10-1982	6-17-1982	5.458 	0.153 	1.546 	3.173 	0.748 	#N/A	3.4 	#N/A	3.97 	#N/A
	6-17-1982	6-25-1982	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	6-25-1982	7-2-1982	5.914 	0.161 	1.607 	3.481 	0.731 	#N/A	3.3 	#N/A	0.49 	#N/A
	7-2-1982	7-8-1982	6.364 	0.122 	1.568 	3.501 	0.687 	#N/A	3.6 	#N/A	1.13 	#N/A
	7-8-1982	7-15-1982	6.383 	0.098 	1.417 	3.568 	0.519 	#N/A	3.6 	#N/A	0.85 	#N/A
	7-15-1982	7-22-1982	7.963 	0.158 	1.949 	4.671 	0.773 	#N/A	3.7 	#N/A	2.20 	#N/A
	7-22-1982	7-29-1982	4.784 	0.144 	1.312 	2.743 	0.622 	#N/A	2.5 	#N/A	4.53 	#N/A
	7-29-1982	8-5-1982	2.877 	0.105 	0.977 	1.727 	0.542 	#N/A	2.0 	#N/A	4.58 	#N/A
	8-5-1982	8-12-1982	6.922 	0.086 	1.343 	3.810 	0.384 	#N/A	5.0 	#N/A	4.15 	#N/A
	8-12-1982	8-19-1982	7.272 	0.227 	1.600 	4.180 	0.548 	#N/A	4.5 	0.127 	2.14 	#N/A
	8-19-1982	8-26-1982	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	8-26-1982	9-2-1982	6.192 	0.153 	1.227 	3.484 	0.350 	#N/A	3.3 	#N/A	4.71 	#N/A
	9-2-1982	9-9-1982	12.924 	0.090 	2.461 	7.005 	0.697 	#N/A	4.1 	#N/A	5.79 	#N/A
	9-9-1982	9-16-1982	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-16-1982	9-23-1982	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-23-1982	9-30-1982	8.346 	0.033 	1.313 	4.585 	0.159 	#N/A	4.3 	#N/A	3.05 	0.018 
	9-30-1982	10-7-1982	7.964 	0.049 	1.419 	4.427 	0.305 	#N/A	5.2 	#N/A	4.75 	0.009 
	10-7-1982	10-12-1982	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-12-1982	10-15-1982	22.734 	0.075 	3.516 	12.379 	0.401 	#N/A	15.1 	0.522 	5.78 	0.034 
