
	BEGIN	END	AVG_CL	AVG_NO3	AVG_SO4	AVG_NA	AVG_NSSSO4	AVG_MSA	AVG_ASH	AVG_DUST	AVG_NH4	AVG_CA	AVG_MG	AVG_K	_NA	_AL	_BE7	_PB210
	11-17-1983	11-25-1983	8.302	0.141	1.604	4.690	0.424	#N/A	#N/A	0.017	#N/A	#N/A	#N/A	#N/A	4.90	1.38	#N/A	0.067
	11-25-1983	12-2-1983	6.570	0.255	1.307	3.766	0.359	0.0207	#N/A	0.040	#N/A	#N/A	#N/A	#N/A	4.16	3.17	#N/A	0.079
	12-2-1983	12-8-1983	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	12-8-1983	3-8-1984	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-8-1984	3-15-1984	6.751	0.087	1.168	3.689	0.239	0.0109	#N/A	0.013	#N/A	#N/A	#N/A	#N/A	4.09	1.03	#N/A	0.040
	3-15-1984	3-22-1984	13.324	0.056	2.108	7.191	0.298	#N/A	#N/A	0.006	#N/A	#N/A	#N/A	#N/A	7.34	0.44	#N/A	0.045
	3-22-1984	3-29-1984	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-29-1984	4-5-1984	5.971	0.119	1.292	3.542	0.401	#N/A	#N/A	0.017	#N/A	#N/A	#N/A	#N/A	3.11	1.32	#N/A	0.027
	4-5-1984	4-12-1984	3.992	0.085	1.152	2.443	0.537	0.0291	#N/A	0.007	#N/A	#N/A	#N/A	#N/A	2.04	0.52	#N/A	0.026
	4-12-1984	4-19-1984	8.584	0.091	1.679	4.839	0.462	#N/A	#N/A	0.002	#N/A	#N/A	#N/A	#N/A	4.52	0.15	#N/A	0.033
	4-19-1984	4-26-1984	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-26-1984	5-3-1984	6.195	0.085	1.184	3.417	0.324	#N/A	#N/A	-0.008	#N/A	#N/A	#N/A	#N/A	3.77	-0.61	#N/A	0.045
	5-3-1984	5-10-1984	9.946	0.067	1.556	5.286	0.226	#N/A	#N/A	-0.007	#N/A	#N/A	#N/A	#N/A	5.66	-0.53	#N/A	0.045
	5-10-1984	5-17-1984	8.386	0.123	1.512	4.542	0.369	#N/A	#N/A	0.001	#N/A	#N/A	#N/A	#N/A	5.02	0.05	#N/A	0.057
	5-17-1984	5-24-1984	10.616	0.131	1.881	5.771	0.428	#N/A	#N/A	-0.002	#N/A	#N/A	#N/A	#N/A	5.84	-0.12	#N/A	0.049
	5-24-1984	5-31-1984	9.713	0.080	1.625	5.248	0.304	#N/A	#N/A	0.004	#N/A	#N/A	#N/A	#N/A	4.86	0.28	#N/A	0.052
	5-31-1984	6-7-1984	15.385	0.092	2.442	8.182	0.382	#N/A	#N/A	0.003	#N/A	#N/A	#N/A	#N/A	6.95	0.20	#N/A	0.048
	6-7-1984	6-14-1984	13.285	0.106	2.099	7.124	0.306	#N/A	#N/A	-0.002	#N/A	#N/A	#N/A	#N/A	6.70	-0.12	#N/A	0.048
	6-14-1984	6-21-1984	15.641	0.203	2.451	8.413	0.334	#N/A	#N/A	-0.004	#N/A	#N/A	#N/A	#N/A	6.05	-0.29	#N/A	0.065
	6-21-1984	6-28-1984	14.624	0.132	2.119	7.602	0.205	#N/A	#N/A	0.003	#N/A	#N/A	#N/A	#N/A	6.24	0.22	#N/A	0.048
	6-28-1984	7-5-1984	13.375	0.114	2.083	7.236	0.262	#N/A	#N/A	0.011	#N/A	#N/A	#N/A	#N/A	6.56	0.84	#N/A	0.054
	7-5-1984	7-12-1984	8.681	0.115	1.496	4.658	0.324	#N/A	#N/A	0.003	#N/A	#N/A	#N/A	#N/A	5.42	0.24	#N/A	0.067
	7-12-1984	7-19-1984	10.589	0.102	1.920	5.781	0.465	#N/A	#N/A	-0.002	#N/A	#N/A	#N/A	#N/A	5.47	-0.13	#N/A	0.037
	7-19-1984	7-26-1984	11.545	0.058	1.915	6.246	0.343	#N/A	#N/A	0.010	#N/A	#N/A	#N/A	#N/A	7.37	0.77	#N/A	0.038
	7-26-1984	8-2-1984	14.069	0.126	2.194	7.700	0.256	#N/A	#N/A	0.018	#N/A	#N/A	#N/A	#N/A	9.11	1.45	#N/A	0.060
	8-2-1984	8-9-1984	11.936	0.081	1.973	6.434	0.353	#N/A	#N/A	-0.008	#N/A	#N/A	#N/A	#N/A	7.11	-0.60	#N/A	0.028
	8-9-1984	8-16-1984	14.362	0.184	2.545	7.911	0.554	#N/A	#N/A	0.000	#N/A	#N/A	#N/A	#N/A	7.23	-0.02	#N/A	0.083
	8-16-1984	8-23-1984	9.706	0.195	1.786	5.310	0.450	#N/A	#N/A	0.023	#N/A	#N/A	#N/A	#N/A	7.21	1.83	#N/A	0.102
	8-23-1984	8-30-1984	10.087	0.146	2.000	5.730	0.557	#N/A	#N/A	0.021	#N/A	#N/A	#N/A	#N/A	6.10	1.71	#N/A	0.084
	8-30-1984	9-6-1984	8.992	0.160	1.634	4.906	0.399	#N/A	#N/A	0.029	#N/A	#N/A	#N/A	#N/A	5.25	2.31	#N/A	0.086
	9-6-1984	9-13-1984	12.293	0.081	2.026	6.819	0.310	#N/A	#N/A	0.011	#N/A	#N/A	#N/A	#N/A	6.53	0.85	#N/A	0.033
	9-13-1984	9-20-1984	11.632	0.111	2.440	6.548	0.792	#N/A	#N/A	-0.005	#N/A	#N/A	#N/A	#N/A	6.07	-0.38	#N/A	0.041
	9-20-1984	9-27-1984	11.473	0.307	2.395	6.632	0.726	#N/A	#N/A	0.021	#N/A	#N/A	#N/A	#N/A	6.69	1.66	#N/A	0.099
	9-27-1984	10-4-1984	8.602	0.300	2.029	5.076	0.751	#N/A	#N/A	0.034	#N/A	#N/A	#N/A	#N/A	4.60	2.70	#N/A	0.105
	10-4-1984	10-11-1984	10.964	0.091	1.920	6.018	0.405	#N/A	#N/A	0.005	#N/A	#N/A	#N/A	#N/A	6.14	0.36	#N/A	0.057
	10-11-1984	10-18-1984	14.350	0.109	2.304	7.784	0.344	#N/A	#N/A	0.045	#N/A	#N/A	#N/A	#N/A	7.80	3.57	#N/A	0.055
	10-18-1984	10-25-1984	11.395	0.139	1.961	6.237	0.392	#N/A	#N/A	0.013	#N/A	#N/A	#N/A	#N/A	6.32	1.06	#N/A	0.073
	10-25-1984	11-1-1984	8.207	0.084	1.724	4.394	0.618	#N/A	#N/A	-0.003	#N/A	#N/A	#N/A	#N/A	3.69	-0.24	#N/A	0.048
	11-1-1984	11-8-1984	11.862	0.043	2.003	6.552	0.354	#N/A	#N/A	0.021	#N/A	#N/A	#N/A	#N/A	7.88	1.66	#N/A	0.045
	11-8-1984	11-15-1984	8.079	0.104	1.474	4.426	0.360	#N/A	#N/A	-0.004	#N/A	#N/A	#N/A	#N/A	4.16	-0.29	#N/A	0.038
	11-15-1984	11-23-1984	8.269	0.131	1.747	4.658	0.575	#N/A	#N/A	0.013	#N/A	#N/A	#N/A	#N/A	4.89	1.05	#N/A	0.041
	11-23-1984	11-29-1984	9.678	0.137	1.733	5.419	0.369	#N/A	#N/A	0.013	#N/A	#N/A	#N/A	#N/A	6.37	1.00	#N/A	0.042
	11-29-1984	12-6-1984	9.315	0.077	1.546	5.264	0.221	#N/A	#N/A	0.016	#N/A	#N/A	#N/A	#N/A	5.31	1.29	#N/A	0.024
	12-6-1984	12-13-1984	13.388	0.261	2.326	7.322	0.483	#N/A	#N/A	-0.034	#N/A	#N/A	#N/A	#N/A	8.46	-2.71	#N/A	0.075
	12-13-1984	12-20-1984	10.290	0.161	1.761	5.778	0.306	#N/A	#N/A	0.012	#N/A	#N/A	#N/A	#N/A	5.97	0.95	#N/A	0.058
	12-20-1984	12-27-1984	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	12-27-1984	1-3-1985	11.726	0.153	2.184	6.396	0.574	#N/A	#N/A	0.048	#N/A	#N/A	#N/A	#N/A	6.63	3.80	#N/A	0.096
	1-3-1985	1-10-1985	11.743	0.269	1.911	6.356	0.311	#N/A	#N/A	0.042	#N/A	#N/A	#N/A	#N/A	9.13	3.33	#N/A	#N/A
	1-10-1985	1-18-1985	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-18-1985	1-24-1985	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-24-1985	1-31-1985	7.713	0.178	1.524	4.441	0.407	#N/A	#N/A	0.001	#N/A	#N/A	#N/A	#N/A	4.09	0.09	#N/A	#N/A
	1-31-1985	2-7-1985	8.445	0.120	1.530	4.640	0.362	#N/A	#N/A	0.005	#N/A	#N/A	#N/A	#N/A	4.11	0.38	1.537	#N/A
	2-7-1985	2-14-1985	8.263	0.066	1.556	4.779	0.353	#N/A	#N/A	-0.008	#N/A	#N/A	#N/A	#N/A	4.32	-0.64	1.403	#N/A
	2-14-1985	2-21-1985	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-21-1985	2-28-1985	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-28-1985	3-7-1985	8.338	0.112	1.783	4.700	0.600	#N/A	#N/A	0.021	#N/A	#N/A	#N/A	#N/A	4.51	1.71	1.770	#N/A
	3-7-1985	3-14-1985	9.397	0.107	1.765	5.361	0.416	#N/A	#N/A	0.033	#N/A	#N/A	#N/A	#N/A	4.88	2.61	0.952	#N/A
	3-14-1985	3-21-1985	5.573	0.077	1.177	3.286	0.350	#N/A	#N/A	0.005	#N/A	#N/A	#N/A	#N/A	3.38	0.41	1.169	#N/A
	3-21-1985	3-28-1985	8.807	0.106	1.617	4.895	0.385	#N/A	#N/A	0.009	#N/A	#N/A	#N/A	#N/A	4.20	0.69	1.821	#N/A
	3-28-1985	4-4-1985	6.165	0.090	1.328	3.641	0.412	#N/A	#N/A	0.003	#N/A	#N/A	#N/A	#N/A	3.62	0.27	1.988	#N/A
	4-4-1985	4-11-1985	6.251	0.083	1.209	3.685	0.282	#N/A	#N/A	0.001	#N/A	#N/A	#N/A	#N/A	3.52	0.06	1.286	#N/A
	4-11-1985	4-18-1985	9.307	0.058	1.538	4.923	0.299	#N/A	#N/A	0.011	#N/A	#N/A	#N/A	#N/A	5.19	0.91	3.691	#N/A
	4-18-1985	4-25-1985	5.502	0.071	0.093	3.068	0.155	#N/A	#N/A	-0.001	#N/A	#N/A	#N/A	#N/A	2.76	-0.08	0.651	#N/A
	4-25-1985	5-2-1985	6.704	0.046	1.061	3.571	0.162	#N/A	#N/A	0.003	#N/A	#N/A	#N/A	#N/A	2.58	0.20	1.086	#N/A
	5-2-1985	5-9-1985	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	5-9-1985	5-16-1985	4.312	0.078	0.883	2.274	0.311	#N/A	#N/A	0.013	#N/A	#N/A	#N/A	#N/A	2.47	1.00	1.319	#N/A
	5-16-1985	5-23-1985	7.523	0.128	1.263	3.725	0.325	#N/A	#N/A	0.010	#N/A	#N/A	#N/A	#N/A	5.03	0.80	2.756	#N/A
	5-23-1985	5-30-1985	7.027	0.086	1.230	3.751	0.286	#N/A	#N/A	0.005	#N/A	#N/A	#N/A	#N/A	4.07	0.40	1.921	#N/A
	5-30-1985	6-6-1985	5.641	0.061	1.022	3.108	0.240	#N/A	#N/A	0.015	#N/A	#N/A	#N/A	#N/A	4.11	1.20	1.520	#N/A
	6-6-1985	6-13-1985	6.179	0.077	1.083	3.159	0.288	#N/A	#N/A	0.003	#N/A	#N/A	#N/A	#N/A	3.57	0.20	2.255	#N/A
	6-13-1985	6-20-1985	4.760	0.078	0.877	2.513	0.244	#N/A	#N/A	0.008	#N/A	#N/A	#N/A	#N/A	2.65	0.60	2.188	#N/A
	6-20-1985	6-27-1985	8.995	0.100	1.504	4.309	0.419	#N/A	#N/A	0.006	#N/A	#N/A	#N/A	#N/A	4.28	0.50	3.875	#N/A
	6-27-1985	7-4-1985	8.551	0.077	1.541	4.330	0.451	#N/A	#N/A	0.023	#N/A	#N/A	#N/A	#N/A	4.86	1.80	1.887	#N/A
	7-4-1985	7-11-1985	5.685	0.076	1.032	3.274	0.208	#N/A	#N/A	0.009	#N/A	#N/A	#N/A	#N/A	3.74	0.70	2.923	#N/A
	7-11-1985	7-18-1985	7.907	0.081	1.338	4.144	0.294	#N/A	#N/A	0.035	#N/A	#N/A	#N/A	#N/A	4.35	2.80	2.856	#N/A
	7-18-1985	7-25-1985	8.691	0.143	1.442	4.524	0.303	#N/A	#N/A	0.031	#N/A	#N/A	#N/A	#N/A	5.41	2.50	2.940	#N/A
	7-25-1985	8-1-1985	10.995	0.135	1.888	5.767	0.436	#N/A	#N/A	0.006	#N/A	#N/A	#N/A	#N/A	6.41	0.50	2.455	#N/A
	8-1-1985	8-8-1985	9.312	0.123	1.573	4.660	0.400	#N/A	#N/A	0.019	#N/A	#N/A	#N/A	#N/A	5.49	1.50	2.739	#N/A
	8-8-1985	8-15-1985	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	8-15-1985	8-22-1985	6.993	0.048	1.281	3.522	0.395	#N/A	#N/A	0.003	#N/A	#N/A	#N/A	#N/A	4.06	0.20	1.520	#N/A
	8-22-1985	8-29-1985	9.075	0.035	1.659	4.812	0.448	#N/A	#N/A	0.003	#N/A	#N/A	#N/A	#N/A	6.49	0.20	1.036	#N/A
	8-29-1985	9-5-1985	7.601	0.114	1.624	4.205	0.566	#N/A	#N/A	0.019	#N/A	#N/A	#N/A	#N/A	4.66	1.50	3.407	#N/A
	9-5-1985	9-12-1985	7.540	0.099	1.349	4.086	0.320	#N/A	#N/A	0.015	#N/A	#N/A	#N/A	#N/A	4.23	1.20	2.973	#N/A
	9-12-1985	9-19-1985	6.493	0.164	1.322	3.703	0.390	#N/A	#N/A	0.034	#N/A	#N/A	#N/A	#N/A	4.23	2.70	4.109	#N/A
	9-19-1985	9-26-1985	6.083	0.132	1.405	3.350	0.562	#N/A	#N/A	0.035	#N/A	#N/A	#N/A	#N/A	3.76	2.80	2.438	#N/A
	9-26-1985	10-3-1985	9.243	0.150	1.712	5.176	0.409	#N/A	#N/A	0.005	#N/A	#N/A	#N/A	#N/A	5.93	0.40	2.839	#N/A
	10-3-1985	10-10-1985	8.096	0.116	1.362	4.533	0.221	#N/A	#N/A	0.014	#N/A	#N/A	#N/A	#N/A	3.71	1.10	1.520	#N/A
	10-10-1985	10-17-1985	6.198	0.041	1.132	3.600	0.226	#N/A	#N/A	0.023	#N/A	#N/A	#N/A	#N/A	3.64	1.80	0.952	#N/A
	10-17-1985	10-24-1985	4.704	0.185	0.973	2.828	0.262	#N/A	#N/A	0.018	#N/A	#N/A	#N/A	#N/A	3.26	1.40	1.921	#N/A
	10-24-1985	10-31-1985	3.677	0.169	0.836	2.207	0.281	#N/A	#N/A	0.029	#N/A	#N/A	#N/A	#N/A	2.42	2.30	2.472	#N/A
	10-31-1985	11-7-1985	7.550	0.114	1.371	4.258	0.299	#N/A	#N/A	0.020	#N/A	#N/A	#N/A	#N/A	4.67	1.60	2.505	#N/A
	11-7-1985	11-14-1985	6.172	0.117	1.126	3.561	0.230	#N/A	#N/A	0.008	#N/A	#N/A	#N/A	#N/A	5.07	0.60	1.436	#N/A
	11-14-1985	11-21-1985	14.627	0.101	2.442	8.247	0.366	#N/A	#N/A	0.031	#N/A	#N/A	#N/A	#N/A	7.67	2.50	2.823	#N/A
