
	BEGIN	END	AVG_CL	AVG_NO3	AVG_SO4	AVG_NA	AVG_NSSSO4	AVG_MSA	AVG_ASH	AVG_DUST	AVG_NH4	AVG_CA	AVG_MG	AVG_K	_NA	_AL	_BE7	_PB210
	5-22-1986	5-29-1986	6.985	0.092	1.190	3.958	0.194	#N/A	#N/A	0.016	#N/A	#N/A	#N/A	#N/A	4.53	1.30	#N/A	#N/A
	5-29-1986	6-5-1986	7.770	0.097	1.391	4.397	0.284	#N/A	#N/A	0.004	#N/A	#N/A	#N/A	#N/A	5.39	0.30	2.398	#N/A
	6-5-1986	6-12-1986	7.159	0.113	1.413	4.170	0.364	#N/A	#N/A	0.024	#N/A	#N/A	#N/A	#N/A	4.43	1.90	2.884	#N/A
	6-12-1986	6-19-1986	4.403	0.097	0.988	2.658	0.319	#N/A	#N/A	0.013	#N/A	#N/A	#N/A	#N/A	3.90	1.00	2.094	#N/A
	6-19-1986	6-26-1986	5.611	0.122	1.211	3.297	0.381	#N/A	#N/A	0.005	#N/A	#N/A	#N/A	#N/A	4.08	0.40	3.043	#N/A
	6-26-1986	7-3-1986	6.034	0.112	1.308	3.598	0.402	#N/A	#N/A	0.016	#N/A	#N/A	#N/A	#N/A	4.51	1.30	2.818	#N/A
	7-3-1986	7-10-1986	6.180	0.076	0.987	3.475	0.112	#N/A	#N/A	0.003	#N/A	#N/A	#N/A	#N/A	3.81	0.20	3.302	#N/A
	7-10-1986	7-17-1986	7.361	0.077	1.392	4.219	0.330	#N/A	#N/A	0.003	#N/A	#N/A	#N/A	#N/A	4.18	0.20	2.248	#N/A
	7-17-1986	7-24-1986	6.118	0.078	1.331	3.758	0.385	#N/A	#N/A	0.003	#N/A	#N/A	#N/A	#N/A	3.28	0.20	2.359	#N/A
	7-24-1986	7-31-1986	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	7-31-1986	8-7-1986	8.140	0.051	1.242	4.677	0.064	#N/A	#N/A	0.025	#N/A	#N/A	#N/A	#N/A	6.54	2.00	3.168	#N/A
	8-7-1986	8-14-1986	9.556	0.129	1.562	5.565	0.162	#N/A	#N/A	0.050	#N/A	#N/A	#N/A	#N/A	6.51	4.00	7.932	#N/A
	8-14-1986	8-21-1986	12.875	0.057	1.935	7.377	0.079	#N/A	#N/A	0.019	#N/A	#N/A	#N/A	#N/A	9.20	1.50	4.588	#N/A
	8-21-1986	8-28-1986	12.069	0.135	1.932	6.995	0.171	#N/A	#N/A	0.054	#N/A	#N/A	#N/A	#N/A	7.29	4.30	4.556	#N/A
	8-28-1986	9-4-1986	5.880	0.103	1.070	3.262	0.249	#N/A	#N/A	0.010	#N/A	#N/A	#N/A	#N/A	4.18	0.80	2.778	#N/A
	9-4-1986	9-11-1986	8.813	0.084	1.514	5.024	0.249	#N/A	#N/A	0.025	#N/A	#N/A	#N/A	#N/A	5.60	2.00	2.667	#N/A
	9-11-1986	9-18-1986	6.081	0.108	1.231	3.519	0.345	#N/A	#N/A	0.020	#N/A	#N/A	#N/A	#N/A	4.21	1.60	2.179	#N/A
	9-18-1986	9-25-1986	5.308	0.173	1.214	3.120	0.429	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	3.415	#N/A
	9-25-1986	10-2-1986	6.916	0.073	1.164	3.723	0.227	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1.976	#N/A
	10-2-1986	10-9-1986	5.750	0.183	0.994	3.084	0.218	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	3.557	#N/A
	10-9-1986	10-16-1986	4.649	0.139	1.042	2.756	0.348	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	2.597	#N/A
	10-16-1986	10-23-1986	6.372	0.153	1.347	3.663	0.425	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1.938	#N/A
	10-23-1986	10-30-1986	5.703	0.204	1.306	3.283	0.479	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	2.996	#N/A
	10-30-1986	11-6-1986	6.739	0.091	1.292	3.789	0.338	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1.748	#N/A
	11-6-1986	11-13-1986	9.383	0.142	1.684	5.360	0.335	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.291	#N/A
	11-13-1986	11-20-1986	8.411	0.184	1.614	4.910	0.378	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	3.362	#N/A
	11-20-1986	11-26-1986	4.589	0.139	1.168	2.728	0.481	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	6.255	#N/A
	11-26-1986	12-4-1986	8.470	0.151	1.549	4.759	0.351	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	6.026	#N/A
	12-4-1986	12-11-1986	9.275	0.159	1.830	5.176	0.528	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.267	#N/A
	12-11-1986	12-18-1986	9.152	0.124	1.554	4.995	0.297	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	4.759	#N/A
	12-18-1986	12-26-1986	13.725	0.059	2.264	7.614	0.347	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	2.915	#N/A
	12-26-1986	12-31-1986	15.828	0.046	2.508	8.895	0.269	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1.203	#N/A
	12-31-1986	1-8-1987	10.762	0.264	2.411	6.566	0.758	#N/A	0.748	0.973	#N/A	0.264	0.748	0.247	#N/A	#N/A	3.078	#N/A
	1-8-1987	1-15-1987	7.534	0.040	1.272	4.507	0.137	#N/A	0.489	0.635	#N/A	0.163	0.489	0.187	#N/A	#N/A	0.781	#N/A
	1-15-1987	1-22-1987	10.856	0.032	1.772	6.362	0.171	#N/A	0.731	0.951	#N/A	0.240	0.731	0.240	#N/A	#N/A	1.083	#N/A
	1-22-1987	1-29-1987	7.825	0.092	1.407	4.678	0.230	#N/A	0.545	0.708	#N/A	0.177	0.545	0.170	#N/A	#N/A	11.044	#N/A
	1-29-1987	2-5-1987	17.592	0.049	#N/A	9.380	#N/A	#N/A	1.122	1.458	#N/A	0.311	1.122	0.373	#N/A	#N/A	1.220	#N/A
	2-5-1987	2-17-1987	5.867	0.076	1.272	3.432	0.408	#N/A	0.390	0.507	#N/A	0.133	0.390	0.138	#N/A	#N/A	0.431	#N/A
	2-17-1987	2-26-1987	6.589	0.102	1.345	3.654	0.425	#N/A	0.441	0.574	#N/A	0.146	0.441	0.146	#N/A	#N/A	3.805	#N/A
	2-26-1987	3-5-1987	10.390	0.078	1.652	5.805	0.191	#N/A	0.710	0.923	#N/A	0.221	0.710	0.227	#N/A	#N/A	4.270	#N/A
	3-5-1987	3-12-1987	5.482	0.077	1.266	3.227	0.454	#N/A	0.408	0.530	#N/A	0.126	0.408	0.128	#N/A	#N/A	2.045	#N/A
	3-12-1987	3-19-1987	5.038	0.090	1.131	3.004	0.375	#N/A	0.348	0.452	#N/A	0.112	0.348	0.124	#N/A	#N/A	2.196	#N/A
	3-19-1987	3-27-1987	6.563	0.092	1.354	3.727	0.416	#N/A	0.453	0.589	#N/A	0.147	0.453	0.141	#N/A	#N/A	1.995	#N/A
	3-27-1987	4-2-1987	6.855	0.038	1.104	3.737	0.163	#N/A	0.473	0.615	#N/A	0.182	0.473	0.154	#N/A	#N/A	1.694	#N/A
	4-2-1987	4-9-1987	5.840	0.067	1.223	3.373	0.374	#N/A	0.439	0.570	#N/A	0.130	0.439	0.130	#N/A	#N/A	#N/A	#N/A
	4-9-1987	4-16-1987	7.976	0.047	1.403	4.399	0.296	#N/A	0.546	0.709	#N/A	0.172	0.546	0.177	#N/A	#N/A	#N/A	#N/A
	4-16-1987	4-23-1987	13.727	0.104	2.096	7.824	0.126	#N/A	0.855	1.112	#N/A	0.296	0.855	0.299	#N/A	#N/A	#N/A	#N/A
	4-23-1987	4-30-1987	8.195	0.026	1.323	4.546	0.179	#N/A	0.554	0.720	#N/A	0.182	0.554	0.183	#N/A	#N/A	#N/A	#N/A
	4-30-1987	5-7-1987	11.233	0.036	1.691	6.669	0.013	#N/A	0.642	0.835	#N/A	0.240	0.642	0.236	#N/A	#N/A	#N/A	#N/A
	5-7-1987	5-14-1987	9.395	0.064	1.666	5.570	0.264	#N/A	0.602	0.783	#N/A	0.232	0.602	0.209	#N/A	#N/A	#N/A	#N/A
	5-14-1987	5-21-1987	10.136	0.097	1.590	5.582	0.185	#N/A	0.666	0.866	#N/A	0.233	0.666	0.215	#N/A	#N/A	#N/A	#N/A
	5-21-1987	5-28-1987	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	5-28-1987	6-4-1987	7.921	0.083	1.332	4.391	0.226	#N/A	0.541	0.703	#N/A	0.184	0.541	0.172	#N/A	#N/A	#N/A	#N/A
	6-4-1987	6-11-1987	5.207	0.040	0.921	3.020	0.161	#N/A	0.353	0.460	#N/A	0.108	0.353	0.134	#N/A	#N/A	#N/A	#N/A
	6-11-1987	6-18-1987	9.353	0.075	1.460	4.972	0.209	#N/A	0.677	0.880	#N/A	0.200	0.677	0.189	#N/A	#N/A	#N/A	#N/A
	6-18-1987	6-25-1987	8.132	0.151	1.364	4.539	0.222	#N/A	0.564	0.733	#N/A	0.175	0.564	0.184	#N/A	#N/A	#N/A	#N/A
	6-25-1987	7-2-1987	4.455	0.096	0.939	2.543	0.299	#N/A	0.324	0.421	#N/A	0.102	0.324	0.096	#N/A	#N/A	#N/A	#N/A
	7-2-1987	7-9-1987	5.781	0.093	1.189	3.317	0.354	#N/A	0.413	0.537	#N/A	0.131	0.413	0.132	#N/A	#N/A	#N/A	#N/A
	7-9-1987	7-16-1987	8.450	0.052	1.419	4.797	0.212	#N/A	0.604	0.785	#N/A	0.181	0.604	0.168	#N/A	#N/A	#N/A	#N/A
	7-16-1987	7-23-1987	8.688	0.207	1.398	4.960	0.150	#N/A	0.607	0.790	#N/A	0.191	0.607	0.178	#N/A	#N/A	#N/A	#N/A
	7-23-1987	7-30-1987	7.126	0.177	1.161	4.132	0.121	#N/A	0.509	0.662	#N/A	0.161	0.509	0.154	#N/A	#N/A	#N/A	#N/A
	7-30-1987	8-6-1987	11.045	0.090	1.659	6.437	0.039	#N/A	0.701	0.912	#N/A	0.241	0.701	0.241	#N/A	#N/A	#N/A	#N/A
	8-6-1987	8-13-1987	10.846	0.184	1.667	6.183	0.111	#N/A	0.682	0.887	#N/A	0.234	0.682	0.232	#N/A	#N/A	#N/A	#N/A
	8-13-1987	8-20-1987	9.028	0.067	1.394	5.087	0.114	#N/A	0.605	0.787	#N/A	0.187	0.605	0.190	#N/A	#N/A	#N/A	#N/A
	8-20-1987	8-27-1987	10.816	0.087	1.744	6.086	0.213	#N/A	0.648	0.842	#N/A	0.232	0.648	0.224	#N/A	#N/A	#N/A	#N/A
	8-27-1987	9-3-1987	8.750	0.173	1.818	5.119	0.529	#N/A	0.561	0.729	#N/A	0.190	0.561	0.193	#N/A	#N/A	#N/A	#N/A
	9-3-1987	9-10-1987	10.258	0.148	1.890	5.794	0.432	#N/A	0.656	0.853	#N/A	0.229	0.656	0.219	#N/A	#N/A	#N/A	#N/A
	9-10-1987	9-17-1987	8.107	0.268	1.744	4.752	0.548	#N/A	0.539	0.701	#N/A	0.178	0.539	0.187	#N/A	#N/A	#N/A	#N/A
	9-17-1987	9-24-1987	6.952	0.188	1.549	4.015	0.538	#N/A	0.491	0.639	#N/A	0.123	0.491	0.148	#N/A	#N/A	#N/A	#N/A
	9-24-1987	10-1-1987	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-1-1987	11-6-1987	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	11-6-1987	11-12-1987	7.475	0.086	1.429	4.524	0.290	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	11-12-1987	11-19-1987	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	11-19-1987	11-25-1987	4.785	0.105	1.251	3.309	0.418	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	11-25-1987	12-3-1987	7.112	0.196	1.542	4.382	0.439	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	12-3-1987	12-10-1987	5.438	0.188	1.399	3.393	0.545	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	12-10-1987	12-17-1987	7.232	0.104	1.290	4.323	0.202	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	12-17-1987	12-24-1987	11.552	0.114	1.999	7.137	0.202	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	12-24-1987	12-31-1987	11.124	0.262	2.791	6.993	1.031	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	12-31-1987	1-7-1988	5.929	0.067	1.245	3.766	0.297	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-7-1988	1-14-1988	7.972	0.119	1.560	4.896	0.328	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-14-1988	1-21-1988	13.745	0.125	2.503	8.012	0.487	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-21-1988	1-28-1988	6.568	0.079	1.161	3.891	0.182	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-28-1988	2-4-1988	8.215	0.122	1.745	4.856	0.522	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-4-1988	2-11-1988	8.259	0.140	1.659	4.892	0.428	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-11-1988	2-18-1988	6.989	0.080	1.282	4.361	0.184	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-18-1988	2-25-1988	12.551	0.067	1.934	7.111	0.144	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-25-1988	3-3-1988	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-3-1988	3-10-1988	7.221	0.200	1.717	4.429	0.602	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-10-1988	3-17-1988	6.757	0.122	1.257	3.939	0.266	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-17-1988	3-24-1988	10.554	0.118	1.926	6.011	0.413	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-24-1988	3-31-1988	7.117	0.111	1.649	4.162	0.601	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-31-1988	4-7-1988	7.808	0.117	1.465	4.346	0.371	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-7-1988	4-14-1988	10.189	0.082	1.587	5.863	0.111	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-14-1988	4-21-1988	5.924	0.099	1.006	3.490	0.127	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-21-1988	4-28-1988	5.451	0.089	0.986	3.197	0.181	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-28-1988	5-5-1988	4.927	0.098	0.937	2.973	0.189	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	5-5-1988	5-12-1988	9.887	0.107	1.695	5.781	0.240	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	5-12-1988	5-19-1988	6.959	0.074	1.322	4.103	0.290	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	5-19-1988	5-26-1988	12.502	0.082	2.001	7.108	0.211	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	5-26-1988	6-2-1988	5.080	0.078	1.244	3.069	0.471	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	6-2-1988	6-9-1988	5.790	0.059	1.207	3.448	0.339	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	6-9-1988	6-16-1988	8.551	0.089	1.586	4.887	0.356	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	6-16-1988	6-23-1988	10.257	0.069	1.554	5.742	0.109	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	6-23-1988	6-30-1988	5.321	0.067	1.010	3.060	0.240	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	6-30-1988	7-7-1988	8.932	0.070	1.540	5.201	0.231	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	7-7-1988	7-14-1988	9.977	0.107	1.547	5.635	0.129	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	7-14-1988	7-21-1988	8.056	0.138	1.649	4.766	0.449	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	7-21-1988	7-28-1988	13.931	0.072	2.127	7.759	0.174	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	7-28-1988	8-4-1988	9.753	0.092	1.629	5.591	0.222	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	8-4-1988	8-11-1988	6.105	0.053	1.119	3.551	0.225	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	8-11-1988	8-18-1988	7.879	0.098	1.535	4.555	0.388	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	8-18-1988	8-25-1988	8.074	0.138	1.715	4.559	0.567	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	8-25-1988	9-1-1988	10.046	0.095	1.744	5.719	0.305	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-1-1988	9-8-1988	9.923	0.105	1.880	5.530	0.488	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-8-1988	9-16-1988	10.369	0.125	1.939	5.928	0.447	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-16-1988	9-22-1988	10.088	0.121	1.690	5.706	0.254	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-22-1988	9-29-1988	8.804	0.194	1.932	5.096	0.650	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-29-1988	10-6-1988	8.523	0.181	2.042	4.935	0.800	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-6-1988	10-13-1988	6.718	0.138	1.478	4.051	0.459	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-13-1988	10-20-1988	7.927	0.172	1.621	4.634	0.455	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-27-1988	11-3-1988	7.249	0.185	1.710	4.295	0.629	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	11-3-1988	11-10-1988	6.298	0.166	1.491	3.801	0.535	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	11-10-1988	11-17-1988	9.881	0.101	1.580	5.639	0.161	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	11-17-1988	11-23-1988	7.373	0.155	1.343	4.221	0.281	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	11-23-1988	12-1-1988	6.840	0.166	1.335	3.959	0.338	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	12-1-1988	12-15-1988	15.184	0.100	2.504	8.720	0.309	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	12-15-1988	12-22-1988	10.960	0.108	2.088	6.348	0.490	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	12-22-1988	12-30-1988	13.408	0.095	2.378	7.797	0.415	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	12-30-1988	1-11-1989	15.321	0.086	2.648	9.011	0.380	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-11-1989	1-19-1989	7.234	0.155	1.530	4.137	0.489	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-19-1989	1-26-1989	7.745	0.173	1.745	4.472	0.620	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-26-1989	2-3-1989	9.317	0.150	1.754	5.266	0.429	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-3-1989	2-9-1989	9.270	0.101	1.884	5.462	0.509	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-9-1989	2-16-1989	14.375	0.191	3.003	8.272	0.921	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-16-1989	2-23-1989	8.785	0.120	1.915	4.994	0.658	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-23-1989	3-3-1989	10.548	0.179	2.370	6.907	0.632	#N/A	#N/A	#N/A	0.012	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-3-1989	3-16-1989	14.320	0.172	2.983	9.476	0.598	#N/A	#N/A	#N/A	0.008	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-16-1989	3-24-1989	3.859	0.070	0.859	2.391	0.257	#N/A	#N/A	#N/A	0.005	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	5-4-1989	5-12-1989	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	5-12-1989	5-25-1989	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	5-25-1989	6-1-1989	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	6-1-1989	6-8-1989	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	6-8-1989	6-27-1989	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	6-27-1989	7-6-1989	7.513	0.060	1.624	4.703	0.441	#N/A	#N/A	#N/A	0.008	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	7-6-1989	7-13-1989	3.565	0.031	0.686	2.161	0.142	#N/A	#N/A	#N/A	0.016	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	7-13-1989	7-20-1989	2.729	0.106	0.571	1.652	0.155	#N/A	#N/A	#N/A	0.014	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	7-20-1989	7-27-1989	9.334	0.111	1.833	5.601	0.424	#N/A	#N/A	#N/A	0.015	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	7-27-1989	8-3-1989	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	8-3-1989	8-10-1989	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	8-19-1989	8-26-1989	13.092	0.147	2.170	8.031	0.149	#N/A	#N/A	#N/A	0.003	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	8-26-1989	8-31-1989	4.551	0.148	0.878	2.782	0.178	#N/A	#N/A	#N/A	0.001	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	8-31-1989	9-9-1989	9.439	0.128	1.667	5.934	0.174	#N/A	#N/A	#N/A	0.002	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-9-1989	9-14-1989	7.203	0.125	1.450	4.470	0.325	#N/A	#N/A	#N/A	0.004	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-14-1989	9-21-1989	6.716	0.179	1.433	4.263	0.360	#N/A	#N/A	#N/A	0.005	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-21-1989	9-28-1989	8.350	0.241	1.882	5.875	0.403	#N/A	#N/A	#N/A	0.003	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
