
	BEGIN	END	AVG_CL	AVG_NO3	AVG_SO4	AVG_NA	AVG_NSSSO4	AVG_MSA	AVG_ASH	AVG_DUST	AVG_NH4	_NA	_V	_AL	_BE7	_PB210
	10-29-1981	11-5-1981	10.624	0.201	1.668	6.150	0.120	#N/A	#N/A	0.123	#N/A	5.4	0.047	9.8	#N/A	0.090
	11-5-1981	11-11-1981	5.700	0.191	1.034	3.419	0.173	#N/A	#N/A	0.175	#N/A	3.2	0.150	14.0	#N/A	0.120
	11-11-1981	11-19-1981	7.196	0.318	1.503	4.249	0.434	#N/A	#N/A	0.138	#N/A	2.6	0.130	11.0	#N/A	0.143
	11-19-1981	11-27-1981	17.578	0.104	2.448	10.462	-0.185	#N/A	#N/A	0.083	#N/A	8.0	0.079	6.6	#N/A	0.062
	11-27-1981	12-3-1981	19.935	0.298	2.860	11.905	-0.136	#N/A	#N/A	0.225	#N/A	9.1	#N/A	18.0	#N/A	0.080
	12-3-1981	12-11-1981	11.251	0.167	1.735	6.894	0.000	#N/A	#N/A	0.163	#N/A	4.8	#N/A	13.0	#N/A	0.118
	12-11-1981	12-18-1981	4.169	0.478	1.003	3.204	0.197	#N/A	#N/A	0.200	#N/A	3.7	0.390	16.0	#N/A	0.140
	12-18-1981	12-27-1981	15.619	0.176	2.451	9.006	0.185	#N/A	#N/A	0.338	#N/A	6.9	0.220	27.0	#N/A	0.053
	12-27-1981	1-1-1982	4.737	0.536	0.998	2.790	0.296	#N/A	#N/A	0.105	#N/A	2.6	0.230	8.4	#N/A	#N/A
	1-1-1982	1-9-1982	5.858	0.456	1.158	3.324	0.321	#N/A	#N/A	0.238	#N/A	3.1	0.240	19.0	#N/A	#N/A
	1-9-1982	1-23-1982	7.259	0.582	1.316	4.188	0.261	#N/A	#N/A	0.538	#N/A	0.9	0.250	43.0	#N/A	#N/A
	1-23-1982	1-31-1982	17.068	0.297	2.706	9.242	0.380	#N/A	#N/A	0.375	#N/A	6.8	#N/A	30.0	#N/A	#N/A
	1-31-1982	2-7-1982	11.480	0.565	1.993	6.461	0.367	#N/A	#N/A	0.650	#N/A	5.3	0.230	52.0	#N/A	#N/A
	2-7-1982	3-7-1982	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-7-1982	3-20-1982	13.024	0.364	2.142	6.954	0.391	#N/A	#N/A	0.483	#N/A	4.9	0.170	38.6	#N/A	#N/A
	3-20-1982	4-3-1982	13.386	0.213	1.522	7.208	-0.292	#N/A	#N/A	0.396	#N/A	5.5	0.120	31.7	#N/A	#N/A
	4-3-1982	4-10-1982	10.056	0.320	1.805	5.425	0.439	#N/A	#N/A	0.521	#N/A	5.1	#N/A	41.7	#N/A	#N/A
	4-10-1982	4-30-1982	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-30-1982	5-8-1982	7.948	0.415	1.392	4.582	0.239	#N/A	#N/A	0.635	#N/A	3.5	0.296	50.8	#N/A	#N/A
	5-8-1982	5-24-1982	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
