
	BEGIN	END	AVG_CL	AVG_NO3	AVG_SO4	AVG_NA	AVG_NSSSO4	AVG_MSA	AVG_ASH	AVG_DUST	AVG_NH4	_NA	_V	_AL	_BE7	_PB210
	8-30-1985	9-6-1985	6.266	0.243	1.249	3.574	0.349	#N/A	#N/A	0.075	#N/A	4.2	0.044	6.0	#N/A	#N/A
	9-6-1985	9-12-1985	4.001	0.216	0.740	2.357	0.147	#N/A	#N/A	0.107	#N/A	1.8	0.058	8.6	#N/A	#N/A
	9-12-1985	9-21-1985	6.449	0.199	1.536	3.606	0.629	#N/A	#N/A	0.183	#N/A	3.7	0.153	14.6	2.539	#N/A
	9-21-1985	9-30-1985	5.125	0.252	1.188	3.017	0.428	#N/A	#N/A	0.120	#N/A	3.2	0.175	9.6	1.653	#N/A
	9-30-1985	10-6-1985	5.190	0.242	1.190	3.045	0.424	#N/A	#N/A	0.194	#N/A	3.7	0.180	15.5	2.422	#N/A
	10-6-1985	10-13-1985	9.370	0.362	1.863	5.176	0.561	#N/A	#N/A	0.188	#N/A	5.3	0.102	15.0	2.961	#N/A
	10-13-1985	10-24-1985	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-24-1985	11-2-1985	8.515	0.179	1.439	4.979	0.186	#N/A	#N/A	0.169	#N/A	4.8	#N/A	13.6	2.054	#N/A
	11-2-1985	11-11-1985	5.907	0.252	1.089	3.480	0.213	#N/A	#N/A	0.214	#N/A	3.4	#N/A	17.1	1.904	#N/A
	11-11-1985	11-17-1985	5.936	0.505	1.119	3.385	0.267	#N/A	#N/A	0.240	#N/A	3.2	0.293	19.2	#N/A	#N/A
	11-17-1985	11-24-1985	5.975	0.867	2.239	4.017	1.228	#N/A	#N/A	0.287	#N/A	4.2	0.273	22.9	3.557	#N/A
	11-24-1985	12-4-1985	19.067	0.264	2.856	10.926	0.106	#N/A	#N/A	#N/A	#N/A	8.9	#N/A	#N/A	#N/A	#N/A
	12-4-1985	12-11-1985	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	12-11-1985	12-17-1985	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	12-17-1985	12-24-1985	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	12-24-1985	12-31-1985	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	12-31-1985	1-6-1986	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-6-1986	1-14-1986	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-14-1986	1-21-1986	8.112	0.648	1.943	4.524	0.805	#N/A	#N/A	0.901	#N/A	5.6	0.625	72.1	#N/A	#N/A
	1-21-1986	1-28-1986	5.799	0.714	1.486	3.351	0.643	#N/A	#N/A	1.014	#N/A	3.6	0.594	81.1	#N/A	#N/A
	1-28-1986	2-6-1986	6.280	0.612	2.481	3.526	1.594	#N/A	#N/A	1.265	#N/A	3.8	1.488	101.2	#N/A	#N/A
	2-6-1986	2-15-1986	7.867	0.656	2.212	4.544	1.069	#N/A	#N/A	1.021	#N/A	4.4	0.919	81.7	#N/A	#N/A
	2-15-1986	2-23-1986	10.818	0.848	2.533	6.273	0.954	#N/A	#N/A	1.999	#N/A	8.5	1.027	159.9	#N/A	#N/A
	2-23-1986	3-9-1986	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-9-1986	3-13-1986	5.044	0.440	1.320	3.087	0.543	#N/A	#N/A	0.867	#N/A	2.7	0.247	69.4	#N/A	#N/A
	3-13-1986	3-20-1986	11.342	0.224	1.936	6.590	0.277	#N/A	#N/A	0.614	#N/A	8.2	#N/A	49.1	#N/A	#N/A
	3-20-1986	3-27-1986	12.047	0.306	2.060	7.030	0.291	#N/A	#N/A	0.879	#N/A	6.8	#N/A	70.3	#N/A	#N/A
	3-27-1986	4-3-1986	10.048	0.269	1.716	5.671	0.288	#N/A	#N/A	1.375	#N/A	7.1	0.208	110.0	#N/A	#N/A
	4-3-1986	4-12-1986	19.704	0.309	3.109	11.883	0.118	#N/A	#N/A	0.723	#N/A	11.7	#N/A	57.9	#N/A	#N/A
	4-12-1986	4-19-1986	11.483	0.346	2.503	6.612	0.839	#N/A	#N/A	0.486	#N/A	7.2	0.181	38.8	#N/A	#N/A
	4-19-1986	4-26-1986	10.759	0.247	2.071	6.339	0.475	#N/A	#N/A	1.105	#N/A	7.0	0.252	88.4	#N/A	#N/A
	4-26-1986	5-3-1986	10.256	0.248	1.866	6.209	0.303	#N/A	#N/A	0.639	#N/A	6.9	0.171	51.1	3.433	#N/A
	5-3-1986	5-10-1986	9.822	0.165	1.700	5.644	0.280	#N/A	#N/A	0.526	#N/A	6.8	0.214	42.1	1.725	#N/A
	5-10-1986	5-16-1986	13.650	0.250	2.241	7.638	0.318	#N/A	#N/A	0.773	#N/A	9.3	0.156	61.8	2.900	#N/A
	5-16-1986	5-23-1986	6.535	0.408	1.514	3.631	0.600	#N/A	#N/A	0.742	#N/A	4.6	0.322	59.3	3.836	#N/A
	5-23-1986	5-30-1986	5.360	0.501	1.531	3.106	0.750	#N/A	#N/A	1.685	#N/A	3.5	0.353	134.8	5.127	#N/A
	5-30-1986	6-6-1986	6.249	0.328	1.485	3.672	0.561	#N/A	#N/A	0.873	#N/A	3.7	0.153	69.9	4.974	#N/A
	6-6-1986	6-29-1986	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	6-29-1986	7-6-1986	10.199	0.299	1.845	5.661	0.420	#N/A	#N/A	0.301	#N/A	4.9	0.139	24.1	#N/A	#N/A
	7-6-1986	7-13-1986	9.792	0.158	1.673	5.738	0.229	#N/A	#N/A	0.108	#N/A	5.9	#N/A	8.6	#N/A	#N/A
	7-13-1986	7-20-1986	7.376	0.184	1.324	4.311	0.239	#N/A	#N/A	0.159	#N/A	4.4	0.135	12.7	2.872	#N/A
	7-20-1986	7-26-1986	8.349	0.147	1.549	4.651	0.379	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1.919	#N/A
	7-26-1986	8-1-1986	7.699	0.185	1.324	4.763	0.125	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	2.368	#N/A
	8-1-1986	8-14-1986	7.330	0.301	1.448	4.150	0.404	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	3.031	#N/A
	8-14-1986	8-21-1986	6.134	0.402	1.344	3.683	0.417	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	3.129	#N/A
	8-21-1986	8-28-1986	5.877	0.281	1.242	3.512	0.358	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	2.612	#N/A
	8-28-1986	9-4-1986	6.148	0.279	1.212	3.617	0.301	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	2.787	#N/A
	9-4-1986	9-11-1986	4.523	0.245	0.949	2.730	0.262	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	2.434	#N/A
	9-11-1986	9-18-1986	3.486	0.547	0.998	2.111	0.466	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	3.415	#N/A
	9-18-1986	9-25-1986	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-25-1986	10-2-1986	9.975	0.237	1.853	5.574	0.450	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	2.260	#N/A
	10-2-1986	10-9-1986	9.356	0.195	1.588	5.366	0.238	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-9-1986	10-16-1986	4.759	0.298	1.138	2.930	0.401	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	4.917	#N/A
	10-16-1986	10-23-1986	9.701	0.324	1.762	5.650	0.340	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	4.754	#N/A
	10-23-1986	10-30-1986	6.766	0.328	1.398	3.958	0.402	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	4.256	#N/A
	10-30-1986	11-7-1986	9.899	0.377	2.036	6.000	0.526	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	4.270	#N/A
	11-7-1986	11-13-1986	20.477	0.078	2.949	10.865	0.214	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.855	#N/A
	11-13-1986	11-20-1986	11.294	0.112	1.695	6.224	0.129	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	2.530	#N/A
	11-20-1986	11-27-1986	13.617	0.193	2.114	7.258	0.287	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	4.191	#N/A
	11-27-1986	12-4-1986	15.277	0.205	2.345	8.693	0.157	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	4.626	#N/A
	12-4-1986	12-11-1986	7.506	0.359	1.587	4.408	0.477	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	6.400	#N/A
	12-11-1986	12-18-1986	9.119	0.152	1.561	5.123	0.272	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.775	#N/A
	12-18-1986	12-25-1986	6.386	0.128	1.129	3.677	0.204	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	3.922	#N/A
	12-25-1986	1-1-1987	7.330	0.316	1.587	4.342	0.494	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.449	#N/A
	1-1-1987	1-8-1987	9.351	0.266	1.886	5.360	0.537	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.417	#N/A
	1-8-1987	1-15-1987	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-15-1987	1-22-1987	9.859	0.166	1.750	5.617	0.337	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	4.122	#N/A
	1-22-1987	1-29-1987	8.161	0.272	1.641	4.680	0.463	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	3.156	#N/A
	1-29-1987	2-5-1987	11.904	0.732	3.108	6.966	1.355	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	6.388	#N/A
	2-5-1987	2-12-1987	7.528	0.943	2.519	4.623	1.355	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-12-1987	2-19-1987	10.762	0.243	1.898	6.146	0.351	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	2.028	#N/A
	2-19-1987	2-26-1987	14.240	1.925	2.639	8.341	0.540	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	3.026	#N/A
	2-26-1987	3-7-1987	10.342	2.193	2.462	6.327	0.870	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	5.486	#N/A
	3-7-1987	3-12-1987	3.892	0.659	1.631	2.549	0.989	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	5.006	#N/A
	3-12-1987	3-19-1987	11.466	0.351	2.149	6.554	0.500	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	3.224	#N/A
	3-19-1987	4-15-1987	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-15-1987	4-24-1987	8.523	0.231	1.596	4.731	0.405	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-24-1987	4-30-1987	9.381	0.556	2.311	5.555	0.913	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-30-1987	5-9-1987	10.148	0.432	2.283	5.882	0.802	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	5-9-1987	5-19-1987	4.922	0.515	1.429	2.940	0.689	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	5-19-1987	5-21-1987	2.756	1.699	2.336	2.032	1.825	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	5-21-1987	5-28-1987	28.762	0.443	4.409	16.380	0.287	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	5-28-1987	6-4-1987	11.908	0.424	2.368	6.567	0.715	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	6-4-1987	6-11-1987	7.935	0.295	1.549	4.430	0.434	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	6-11-1987	6-25-1987	9.253	0.305	1.877	5.105	0.592	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	6-25-1987	7-16-1987	7.335	0.240	1.422	3.999	0.415	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	7-16-1987	7-23-1987	9.167	0.210	1.709	5.319	0.370	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	7-23-1987	7-29-1987	8.883	0.218	1.628	5.139	0.335	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	7-29-1987	8-6-1987	1.501	0.076	0.352	0.902	0.125	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	8-6-1987	8-13-1987	5.397	0.156	1.034	3.091	0.256	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	8-13-1987	8-20-1987	5.516	0.230	1.267	3.243	0.451	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	8-20-1987	8-27-1987	7.093	0.201	1.328	3.946	0.335	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	8-27-1987	9-3-1987	4.410	0.620	2.195	3.017	1.436	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-3-1987	9-10-1987	6.946	0.551	1.789	4.215	0.728	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-10-1987	9-17-1987	14.059	0.390	2.604	8.216	0.537	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-17-1987	9-24-1987	2.393	0.246	0.570	1.409	0.216	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-24-1987	10-2-1987	7.750	0.343	1.751	4.532	0.611	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-2-1987	10-8-1987	5.344	0.185	1.159	3.127	0.371	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-8-1987	10-15-1987	5.946	0.338	1.534	3.553	0.640	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-15-1987	10-22-1987	6.427	0.267	1.339	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-22-1987	10-29-1987	8.093	0.291	1.468	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-29-1987	11-5-1987	6.852	0.214	1.242	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	11-5-1987	11-12-1987	7.074	0.189	1.267	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	11-12-1987	11-19-1987	11.084	0.269	1.897	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	11-19-1987	11-26-1987	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	11-26-1987	12-5-1987	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	12-5-1987	12-15-1987	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	12-15-1987	12-18-1987	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	12-18-1987	12-24-1987	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	12-24-1987	1-28-1988	18.191	0.876	3.552	10.622	0.879	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-28-1988	2-4-1988	5.856	0.557	4.344	4.022	3.332	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-4-1988	2-11-1988	6.996	0.236	1.348	4.192	0.293	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-11-1988	2-18-1988	11.007	0.348	1.941	6.494	0.307	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-18-1988	2-26-1988	11.671	0.512	2.878	7.245	1.055	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-26-1988	3-3-1988	9.765	0.355	1.943	5.981	0.438	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-3-1988	3-10-1988	8.288	0.300	1.545	4.788	0.340	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-10-1988	3-17-1988	6.413	0.374	1.300	3.641	0.383	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-17-1988	3-24-1988	8.518	0.326	1.707	4.930	0.466	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-24-1988	3-31-1988	11.676	0.646	2.454	6.783	0.747	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-31-1988	4-7-1988	8.850	0.212	1.495	5.109	0.209	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-7-1988	4-14-1988	7.744	0.609	2.203	4.750	1.008	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-14-1988	4-21-1988	8.686	0.456	2.075	5.031	0.809	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-21-1988	4-28-1988	8.386	0.509	2.130	4.939	0.887	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-28-1988	5-5-1988	12.672	0.120	2.105	7.476	0.223	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	5-5-1988	5-14-1988	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	5-14-1988	5-19-1988	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	5-19-1988	5-26-1988	10.091	0.466	2.074	5.846	0.603	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	5-26-1988	6-2-1988	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	6-2-1988	6-9-1988	9.619	0.108	1.616	5.484	0.236	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	6-9-1988	6-16-1988	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	6-16-1988	6-23-1988	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	6-23-1988	6-30-1988	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	6-30-1988	7-7-1988	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	7-7-1988	7-14-1988	4.161	0.120	0.686	2.314	0.103	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	7-14-1988	7-29-1988	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	7-29-1988	8-5-1988	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	8-5-1988	8-12-1988	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	8-12-1988	8-19-1988	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	8-19-1988	8-26-1988	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	8-26-1988	9-1-1988	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-1-1988	9-8-1988	5.855	0.527	1.640	3.548	0.747	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-8-1988	9-15-1988	7.345	0.422	1.636	4.309	0.551	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-15-1988	9-22-1988	8.497	0.326	2.035	4.885	0.805	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-22-1988	9-29-1988	8.395	0.231	1.605	4.653	0.434	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-29-1988	10-6-1988	4.150	0.123	0.854	2.376	0.256	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-6-1988	10-13-1988	3.284	0.181	0.760	1.877	0.288	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-13-1988	10-20-1988	12.067	1.685	3.428	7.498	1.541	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-20-1988	10-27-1988	4.077	0.245	0.911	2.361	0.317	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-27-1988	11-3-1988	12.558	0.236	2.019	7.681	0.086	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	11-3-1988	11-10-1988	10.578	0.156	1.670	6.306	0.082	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	11-10-1988	11-20-1988	8.880	0.156	1.445	5.447	0.074	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	11-20-1988	11-24-1988	14.336	0.258	2.364	8.786	0.152	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	11-24-1988	12-8-1988	12.440	0.211	2.085	6.973	0.330	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	12-8-1988	12-15-1988	9.945	0.361	1.926	6.281	0.345	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	12-15-1988	12-22-1988	12.394	0.160	2.009	7.533	0.113	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	12-22-1988	1-1-1989	16.822	0.175	2.533	9.884	0.045	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-1-1989	1-8-1989	13.235	0.122	1.957	8.129	-0.089	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-8-1989	1-12-1989	20.735	0.094	3.162	12.826	-0.066	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-12-1989	1-20-1989	14.133	0.202	2.144	8.814	-0.075	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-20-1989	1-26-1989	8.075	0.526	1.732	5.037	0.464	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-26-1989	2-2-1989	11.859	0.377	2.636	6.801	0.924	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-2-1989	2-20-1989	4.473	0.530	1.064	2.884	0.338	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-20-1989	2-24-1989	11.892	0.257	2.082	7.284	0.249	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-24-1989	3-9-1989	10.277	0.338	2.216	6.141	0.671	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-9-1989	3-16-1989	4.093	0.354	1.127	2.511	0.495	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-16-1989	3-23-1989	5.804	0.313	1.604	3.679	0.678	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-23-1989	3-30-1989	8.575	0.307	1.598	5.365	0.248	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-30-1989	1-17-1990	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-17-1990	1-26-1990	29.224	0.332	4.999	15.939	0.987	0.0245	#N/A	#N/A	0.016	#N/A	#N/A	#N/A	#N/A	#N/A
	1-26-1990	2-2-1990	22.676	0.277	3.319	12.685	0.126	0.0141	#N/A	#N/A	-0.001	#N/A	#N/A	#N/A	#N/A	#N/A
	2-2-1990	2-8-1990	20.361	0.118	3.134	11.734	0.180	0.0066	#N/A	#N/A	-0.001	#N/A	#N/A	#N/A	#N/A	#N/A
	2-8-1990	2-15-1990	18.531	0.380	3.318	10.317	0.721	0.0087	#N/A	#N/A	0.006	#N/A	#N/A	#N/A	#N/A	#N/A
	2-15-1990	2-22-1990	13.251	0.438	2.218	7.379	0.361	0.0146	#N/A	#N/A	0.102	#N/A	#N/A	#N/A	#N/A	#N/A
