
	BEGIN	END	AVG_CL	AVG_NO3	AVG_SO4	AVG_NA	AVG_SEASALT	AVG_SO4	AVG_MSA	AVG_ASH	AVG_DUST	AVG_NH4
	9-5-1988	9-12-1988	2.606	0.190	1.114	1.670	5.430	0.694	#N/A	#N/A	#N/A	0.1492
	9-12-1988	9-19-1988	1.068	0.037	0.577	0.867	2.818	0.359	#N/A	#N/A	#N/A	0.0635
	9-19-1988	9-26-1988	3.713	0.149	1.189	2.278	7.409	0.616	#N/A	#N/A	#N/A	0.1257
	9-26-1988	10-3-1988	3.285	0.171	0.938	1.997	6.493	0.435	#N/A	#N/A	#N/A	0.0572
	10-3-1988	10-10-1988	4.491	0.066	1.259	2.589	8.421	0.608	#N/A	#N/A	#N/A	0.1302
	10-10-1988	10-17-1988	4.081	0.124	1.003	2.418	7.865	0.395	#N/A	#N/A	#N/A	0.0618
	10-17-1988	10-24-1988	3.085	0.048	0.701	1.813	5.896	0.245	#N/A	#N/A	#N/A	0.0461
	10-24-1988	10-31-1988	2.760	0.041	0.771	1.653	5.375	0.355	#N/A	#N/A	#N/A	0.0580
	10-31-1988	11-7-1988	3.921	0.108	0.956	2.464	8.012	0.335	#N/A	#N/A	#N/A	0.0599
	11-7-1988	11-14-1988	4.113	0.084	1.109	2.501	8.134	0.479	#N/A	#N/A	#N/A	0.0903
	11-14-1988	11-21-1988	2.136	0.107	0.739	1.377	4.478	0.393	#N/A	#N/A	#N/A	0.0490
	11-21-1988	11-28-1988	5.273	0.086	1.250	3.096	10.069	0.470	#N/A	#N/A	#N/A	0.0827
	11-28-1988	12-5-1988	4.311	0.055	1.032	2.556	8.312	0.389	#N/A	#N/A	#N/A	0.0648
	12-5-1988	12-12-1988	5.841	0.103	1.706	3.500	11.383	0.825	#N/A	#N/A	#N/A	0.1655
	12-12-1988	12-19-1988	3.023	0.083	0.760	1.771	5.760	0.314	#N/A	#N/A	#N/A	0.0600
	12-19-1988	12-26-1988	3.587	0.075	0.828	2.133	6.936	0.292	#N/A	#N/A	#N/A	0.0667
	12-26-1988	1-2-1989	3.990	0.109	0.988	2.292	7.455	0.411	#N/A	#N/A	#N/A	0.0704
	1-2-1989	1-9-1989	2.358	0.080	0.745	1.419	4.614	0.388	#N/A	#N/A	#N/A	0.0882
	1-9-1989	1-16-1989	4.254	0.114	1.088	2.462	8.006	0.468	#N/A	#N/A	#N/A	0.0807
