
	BEGIN	END	AVG_CL	AVG_NO3	AVG_SO4	AVG_NA	AVG_SEASALT	AVG_SO4	AVG_MSA	AVG_ASH	AVG_DUST	AVG_NH4
	1-27-1992	2-3-1992	1.954	0.090	1.007	1.345	4.375	0.668	#N/A	#N/A	#N/A	0.1578
	2-3-1992	2-10-1992	1.668	0.063	0.735	1.125	3.659	0.451	#N/A	#N/A	#N/A	0.0577
	2-10-1992	2-17-1992	3.344	0.073	0.859	1.954	6.355	0.367	#N/A	#N/A	#N/A	0.0623
	2-17-1992	2-24-1992	2.244	0.099	0.928	1.479	4.808	0.556	#N/A	#N/A	#N/A	0.1475
	2-24-1992	3-2-1992	2.738	0.147	0.981	1.736	5.646	0.544	#N/A	#N/A	#N/A	0.1434
	3-2-1992	3-9-1992	3.183	0.238	1.158	2.124	6.908	0.624	#N/A	#N/A	#N/A	0.1245
	3-9-1992	3-15-1992	2.474	0.067	0.821	1.685	5.480	0.397	#N/A	#N/A	#N/A	0.0779
	3-15-1992	3-22-1992	3.959	0.050	0.874	2.272	7.387	0.302	#N/A	#N/A	#N/A	0.0328
	3-22-1992	3-28-1992	3.449	0.065	0.868	2.046	6.654	0.353	#N/A	#N/A	#N/A	0.0436
	3-28-1992	4-4-1992	0.558	0.077	0.277	0.409	1.329	0.174	#N/A	#N/A	#N/A	0.0237
	4-4-1992	4-11-1992	2.607	0.176	1.059	1.752	5.698	0.618	#N/A	#N/A	#N/A	0.1356
	4-11-1992	4-19-1992	1.848	0.115	0.652	1.188	3.864	0.353	#N/A	#N/A	#N/A	0.0669
	4-19-1992	4-26-1992	3.106	0.033	0.709	1.774	5.769	0.263	#N/A	#N/A	#N/A	0.0279
	4-26-1992	5-2-1992	1.923	0.053	0.599	1.189	3.867	0.300	#N/A	#N/A	#N/A	0.0519
	5-2-1992	5-9-1992	1.379	0.063	0.586	0.872	2.837	0.366	#N/A	#N/A	#N/A	0.0682
	5-9-1992	5-16-1992	1.316	0.065	0.517	0.874	2.843	0.297	#N/A	#N/A	#N/A	0.0723
	5-16-1992	5-24-1992	1.508	0.027	0.443	0.963	3.132	0.201	#N/A	#N/A	#N/A	0.0294
	5-24-1992	6-1-1992	3.863	0.057	0.922	2.361	7.677	0.328	#N/A	#N/A	#N/A	0.1182
	6-1-1992	6-6-1992	2.313	0.021	0.473	1.622	5.275	0.065	#N/A	#N/A	#N/A	0.0133
	6-6-1992	6-14-1992	2.086	0.051	0.523	1.260	4.097	0.206	#N/A	#N/A	#N/A	0.0514
	6-14-1992	6-20-1992	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	6-20-1992	6-27-1992	2.178	0.055	0.679	1.334	4.338	0.343	#N/A	#N/A	#N/A	0.0830
	6-27-1992	7-5-1992	2.199	0.036	0.525	1.358	4.416	0.183	#N/A	#N/A	#N/A	0.0576
	7-5-1992	7-12-1992	3.981	0.135	1.108	2.302	7.487	0.528	#N/A	#N/A	#N/A	0.2148
	7-12-1992	7-19-1992	4.100	0.092	0.996	2.447	7.959	0.380	#N/A	#N/A	#N/A	0.0557
	7-19-1992	7-26-1992	4.990	0.405	1.566	2.741	8.912	0.876	#N/A	#N/A	#N/A	0.3162
	7-26-1992	8-2-1992	1.643	0.061	0.367	0.986	3.206	0.118	#N/A	#N/A	#N/A	0.0353
	8-2-1992	8-10-1992	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	8-10-1992	8-16-1992	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	8-16-1992	8-23-1992	4.054	0.264	1.892	2.423	7.881	1.282	#N/A	#N/A	#N/A	0.5687
	8-23-1992	8-30-1992	3.715	0.083	0.900	2.127	6.916	0.364	#N/A	#N/A	#N/A	0.1418
	8-30-1992	9-6-1992	3.286	0.056	0.812	1.878	6.109	0.339	#N/A	#N/A	#N/A	0.1216
	9-6-1992	9-14-1992	4.705	0.192	1.132	2.713	8.822	0.449	#N/A	#N/A	#N/A	0.1796
	9-14-1992	9-20-1992	3.654	0.074	0.753	2.119	6.892	0.220	#N/A	#N/A	#N/A	0.0628
	9-20-1992	9-28-1992	3.114	0.071	0.936	1.888	6.140	0.461	#N/A	#N/A	#N/A	0.0670
	9-28-1992	10-4-1992	4.141	0.124	1.187	2.457	7.989	0.568	#N/A	#N/A	#N/A	0.1973
	10-4-1992	10-13-1992	5.023	0.165	1.319	2.888	9.391	0.592	#N/A	#N/A	#N/A	0.1739
	10-13-1992	10-18-1992	2.540	0.095	0.735	1.645	5.349	0.321	#N/A	#N/A	#N/A	0.0953
	10-18-1992	10-25-1992	4.178	0.112	1.138	2.505	8.148	0.507	#N/A	#N/A	#N/A	0.1719
	10-25-1992	11-1-1992	3.848	0.041	0.961	2.240	7.285	0.397	#N/A	#N/A	#N/A	0.1202
	11-1-1992	11-9-1992	2.532	0.079	0.708	1.550	5.042	0.318	#N/A	#N/A	#N/A	0.0518
	11-9-1992	11-16-1992	3.244	0.050	0.904	1.896	6.167	0.427	#N/A	#N/A	#N/A	0.1584
	11-16-1992	11-22-1992	2.847	0.093	1.019	1.876	6.101	0.547	#N/A	#N/A	#N/A	0.1600
	11-22-1992	11-28-1992	1.422	0.112	0.938	1.022	3.323	0.681	#N/A	#N/A	#N/A	0.2302
	11-28-1992	12-6-1992	3.302	0.073	1.266	2.059	6.696	0.748	#N/A	#N/A	#N/A	0.3023
	12-6-1992	12-14-1992	2.727	0.086	1.141	1.800	5.855	0.688	#N/A	#N/A	#N/A	0.2430
	12-14-1992	12-21-1992	1.978	0.077	0.758	1.420	4.617	0.401	#N/A	#N/A	#N/A	0.1676
	12-21-1992	12-28-1992	5.253	0.126	1.472	3.311	10.767	0.639	#N/A	#N/A	#N/A	0.2417
	12-28-1992	1-4-1993	2.963	0.112	0.971	1.944	6.321	0.482	#N/A	#N/A	#N/A	0.1505
	1-4-1993	1-11-1993	0.646	0.021	0.413	0.523	1.700	0.282	#N/A	#N/A	#N/A	0.0880
	1-11-1993	1-17-1993	3.414	0.043	1.077	2.080	6.763	0.553	#N/A	#N/A	#N/A	0.1000
	1-17-1993	1-25-1993	1.367	0.062	0.707	1.092	3.551	0.432	#N/A	#N/A	#N/A	0.1558
	1-25-1993	2-1-1993	2.189	0.101	0.937	1.706	5.547	0.507	#N/A	#N/A	#N/A	0.1538
	2-1-1993	2-8-1993	2.826	0.054	0.730	1.798	5.847	0.277	#N/A	#N/A	#N/A	0.0584
	2-8-1993	2-15-1993	2.102	0.069	0.711	1.615	5.253	0.305	#N/A	#N/A	#N/A	0.0883
	2-15-1993	2-22-1993	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-22-1993	3-1-1993	2.174	0.079	0.893	1.510	4.909	0.513	#N/A	#N/A	#N/A	0.1203
	3-1-1993	3-8-1993	2.321	0.138	0.999	1.775	5.773	0.552	#N/A	#N/A	#N/A	0.1854
	3-8-1993	3-15-1993	2.702	0.070	0.751	1.670	5.431	0.331	#N/A	#N/A	#N/A	0.0623
	3-15-1993	3-22-1993	2.345	0.087	0.672	1.795	5.837	0.220	#N/A	#N/A	#N/A	0.0706
	3-22-1993	3-29-1993	2.544	0.075	0.649	1.897	6.168	0.172	#N/A	#N/A	#N/A	0.0440
	3-29-1993	4-5-1993	3.779	0.098	0.897	2.305	7.497	0.317	#N/A	#N/A	#N/A	0.0532
	4-5-1993	4-12-1993	5.426	0.132	1.342	3.250	10.568	0.525	#N/A	#N/A	#N/A	0.0828
	4-12-1993	4-19-1993	2.017	0.060	0.593	1.505	4.895	0.214	#N/A	#N/A	#N/A	0.0676
	4-19-1993	4-26-1993	2.443	0.069	0.649	1.747	5.682	0.210	#N/A	#N/A	#N/A	0.0560
	4-26-1993	5-3-1993	2.180	0.057	0.638	1.380	4.487	0.291	#N/A	#N/A	#N/A	0.0519
	5-3-1993	5-10-1993	4.837	0.064	1.026	2.914	9.478	0.292	#N/A	#N/A	#N/A	0.0630
	5-10-1993	5-17-1993	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	5-17-1993	5-25-1993	2.792	0.174	0.896	1.708	5.555	0.466	#N/A	#N/A	#N/A	0.1102
	5-25-1993	6-1-1993	2.709	0.092	0.749	1.625	5.285	0.340	#N/A	#N/A	#N/A	0.0719
	6-1-1993	6-7-1993	2.560	0.062	0.704	1.887	6.135	0.229	#N/A	#N/A	#N/A	0.0732
	6-7-1993	6-15-1993	2.654	0.213	0.884	1.646	5.352	0.470	#N/A	#N/A	#N/A	0.2181
	6-15-1993	6-21-1993	2.044	0.060	0.485	1.544	5.022	0.096	#N/A	#N/A	#N/A	0.0556
	6-21-1993	6-28-1993	0.658	0.014	0.269	0.549	1.784	0.131	#N/A	#N/A	#N/A	0.0312
	6-28-1993	7-6-1993	1.331	0.025	0.389	1.069	3.477	0.120	#N/A	#N/A	#N/A	0.0389
	7-6-1993	7-13-1993	3.351	0.099	0.857	2.140	6.958	0.318	#N/A	#N/A	#N/A	0.0986
	7-13-1993	7-21-1993	3.899	0.079	0.817	2.327	7.569	0.231	#N/A	#N/A	#N/A	0.0692
	7-21-1993	7-26-1993	5.383	0.154	1.219	3.345	10.876	0.377	#N/A	#N/A	#N/A	0.1006
	7-26-1993	8-2-1993	5.270	0.195	1.084	3.382	10.999	0.233	#N/A	#N/A	#N/A	0.0576
	8-2-1993	8-9-1993	3.478	0.092	0.835	2.147	6.983	0.294	#N/A	#N/A	#N/A	0.0617
	8-9-1993	8-17-1993	2.894	0.068	0.625	1.808	5.880	0.170	#N/A	#N/A	#N/A	0.0333
	8-17-1993	8-24-1993	1.626	0.038	0.427	1.210	3.936	0.122	#N/A	#N/A	#N/A	0.0479
	8-24-1993	8-31-1993	3.413	0.043	0.753	2.073	6.741	0.231	#N/A	#N/A	#N/A	0.0570
	8-31-1993	9-6-1993	2.228	0.084	0.529	1.746	5.679	0.089	#N/A	#N/A	#N/A	0.0382
	9-6-1993	9-14-1993	4.930	0.088	1.299	3.098	10.074	0.520	#N/A	#N/A	#N/A	0.0737
	9-14-1993	9-20-1993	3.769	0.041	0.830	2.371	7.712	0.233	#N/A	#N/A	#N/A	0.0512
	9-20-1993	9-27-1993	3.949	0.101	0.864	2.884	9.380	0.138	#N/A	#N/A	#N/A	0.0818
	9-27-1993	10-4-1993	4.202	0.034	0.700	2.543	8.270	0.060	#N/A	#N/A	#N/A	0.0398
	10-4-1993	10-11-1993	4.560	0.130	0.966	2.748	8.937	0.274	#N/A	#N/A	#N/A	0.0497
	10-11-1993	10-18-1993	2.063	0.047	0.541	1.535	4.991	0.155	#N/A	#N/A	#N/A	0.0322
	10-18-1993	10-25-1993	1.949	0.042	0.483	1.440	4.682	0.121	#N/A	#N/A	#N/A	0.0558
	10-25-1993	11-1-1993	2.303	0.078	0.689	1.426	4.637	0.330	#N/A	#N/A	#N/A	0.0795
	11-1-1993	11-8-1993	3.769	0.069	1.259	2.274	7.394	0.687	#N/A	#N/A	#N/A	0.0788
	11-8-1993	11-15-1993	3.689	0.094	1.104	2.287	7.439	0.529	#N/A	#N/A	#N/A	0.0677
	11-15-1993	11-22-1993	1.555	0.034	0.644	1.220	3.967	0.337	#N/A	#N/A	#N/A	0.1074
	11-22-1993	11-29-1993	1.005	0.069	0.767	0.847	2.755	0.554	#N/A	#N/A	#N/A	0.1928
	11-29-1993	12-6-1993	2.842	0.074	0.815	1.804	5.868	0.361	#N/A	#N/A	#N/A	0.0716
	12-6-1993	12-13-1993	1.213	0.038	0.413	1.057	3.436	0.147	#N/A	#N/A	#N/A	0.0484
	12-13-1993	12-20-1993	1.344	0.019	0.443	0.986	3.206	0.195	#N/A	#N/A	#N/A	0.0710
	12-20-1993	12-27-1993	1.822	0.077	0.751	1.387	4.510	0.401	#N/A	#N/A	#N/A	0.1378
	12-27-1993	1-3-1994	4.795	0.052	1.154	2.875	9.350	0.430	#N/A	#N/A	#N/A	0.0966
	1-3-1994	1-10-1994	1.625	0.100	0.731	1.382	4.494	0.383	#N/A	#N/A	#N/A	0.1462
	1-10-1994	1-17-1994	1.698	0.033	0.545	1.299	4.224	0.218	#N/A	#N/A	#N/A	0.0777
	1-17-1994	1-24-1994	1.254	0.024	0.399	0.987	3.211	0.151	#N/A	#N/A	#N/A	0.0474
	1-24-1994	1-31-1994	1.077	0.029	0.382	0.871	2.833	0.163	#N/A	#N/A	#N/A	0.0510
	1-31-1994	2-7-1994	1.537	0.044	0.490	1.168	3.799	0.196	#N/A	#N/A	#N/A	0.0684
	2-7-1994	2-14-1994	1.731	0.049	0.639	1.382	4.493	0.291	#N/A	#N/A	#N/A	0.0832
	2-14-1994	2-21-1994	1.300	0.016	0.325	0.990	3.219	0.076	#N/A	#N/A	#N/A	0.0294
	2-21-1994	2-28-1994	1.375	0.072	0.647	1.168	3.799	0.353	#N/A	#N/A	#N/A	0.1496
	2-28-1994	3-7-1994	1.483	0.051	0.800	1.233	4.010	0.490	#N/A	#N/A	#N/A	0.1238
	3-7-1994	3-21-1994	6.279	0.151	1.533	3.844	12.501	0.565	#N/A	#N/A	#N/A	0.1235
	3-21-1994	3-28-1994	1.643	0.074	0.443	1.217	3.957	0.136	#N/A	#N/A	#N/A	0.0473
	3-28-1994	4-5-1994	4.949	0.065	1.035	3.196	10.393	0.230	#N/A	#N/A	#N/A	0.0771
	4-5-1994	4-12-1994	0.483	0.031	0.308	0.398	1.294	0.208	#N/A	#N/A	#N/A	0.0686
	4-12-1994	4-18-1994	4.010	0.047	0.859	2.449	7.965	0.242	#N/A	#N/A	#N/A	0.0566
	4-18-1994	4-24-1994	3.580	0.119	0.885	2.322	7.551	0.301	#N/A	#N/A	#N/A	0.1364
	4-24-1994	5-3-1994	3.580	0.137	1.029	2.286	7.434	0.454	#N/A	#N/A	#N/A	0.1141
	5-3-1994	5-9-1994	0.767	0.043	0.431	0.587	1.910	0.283	#N/A	#N/A	#N/A	0.0947
	5-9-1994	5-16-1994	2.346	0.088	0.725	1.751	5.695	0.284	#N/A	#N/A	#N/A	0.0950
	5-16-1994	5-23-1994	0.966	0.014	0.352	0.701	2.278	0.176	#N/A	#N/A	#N/A	0.0677
	5-23-1994	5-30-1994	2.558	0.021	0.624	1.799	5.849	0.171	#N/A	#N/A	#N/A	0.0726
	5-30-1994	6-6-1994	0.947	0.042	0.392	0.711	2.313	0.213	#N/A	#N/A	#N/A	0.0763
	6-6-1994	6-13-1994	1.898	0.020	0.519	1.397	4.542	0.167	#N/A	#N/A	#N/A	0.0995
	6-13-1994	6-20-1994	0.306	0.021	0.260	0.236	0.767	0.201	#N/A	#N/A	#N/A	0.0885
	6-20-1994	6-27-1994	1.350	0.007	0.422	0.964	3.135	0.179	#N/A	#N/A	#N/A	0.0644
	6-27-1994	7-4-1994	1.674	0.020	0.648	1.329	4.321	0.314	#N/A	#N/A	#N/A	0.1175
	7-4-1994	7-11-1994	1.202	0.050	0.398	0.836	2.719	0.188	#N/A	#N/A	#N/A	0.0713
	7-11-1994	7-18-1994	1.534	0.065	0.474	1.050	3.415	0.209	#N/A	#N/A	#N/A	0.0863
	7-18-1994	7-27-1994	1.475	0.033	0.496	1.017	3.308	0.240	#N/A	#N/A	#N/A	0.0958
	7-27-1994	8-1-1994	1.192	0.039	0.324	0.796	2.590	0.124	#N/A	#N/A	#N/A	0.0645
	8-1-1994	8-10-1994	1.433	0.072	0.682	1.014	3.298	0.427	#N/A	#N/A	#N/A	0.1264
	8-10-1994	8-15-1994	2.411	0.053	0.680	1.653	5.375	0.264	#N/A	#N/A	#N/A	0.1186
	8-15-1994	8-23-1994	2.597	0.078	0.718	1.575	5.122	0.321	#N/A	#N/A	#N/A	0.1055
	8-23-1994	8-29-1994	1.418	0.099	0.690	0.975	3.171	0.445	#N/A	#N/A	#N/A	0.1297
	8-29-1994	9-5-1994	1.967	0.066	0.588	1.392	4.527	0.237	#N/A	#N/A	#N/A	0.0965
	9-5-1994	9-12-1994	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-12-1994	9-19-1994	1.248	0.032	0.402	0.865	2.812	0.184	#N/A	#N/A	#N/A	0.0616
	9-19-1994	9-26-1994	1.462	0.057	0.651	1.063	3.456	0.384	#N/A	#N/A	#N/A	0.1233
	9-26-1994	10-3-1994	2.333	0.057	0.621	1.696	5.517	0.194	#N/A	#N/A	#N/A	0.0680
	10-3-1994	10-10-1994	0.966	0.041	0.388	0.684	2.223	0.216	#N/A	#N/A	#N/A	0.0755
	10-10-1994	10-17-1994	0.307	0.018	0.204	0.228	0.740	0.147	#N/A	#N/A	#N/A	0.0466
	10-17-1994	10-24-1994	1.522	0.044	0.512	1.066	3.466	0.244	#N/A	#N/A	#N/A	0.0894
	10-24-1994	10-31-1994	2.245	0.043	0.479	1.256	4.085	0.163	#N/A	#N/A	#N/A	0.0456
	10-31-1994	11-7-1994	0.640	0.061	0.567	0.477	1.552	0.447	#N/A	#N/A	#N/A	0.1328
	11-7-1994	11-14-1994	2.395	0.088	0.742	1.570	5.107	0.347	#N/A	#N/A	#N/A	0.1093
	11-14-1994	11-21-1994	2.181	0.074	0.613	1.422	4.626	0.255	#N/A	#N/A	#N/A	0.0863
	11-21-1994	11-28-1994	1.779	0.075	0.635	1.145	3.725	0.346	#N/A	#N/A	#N/A	0.0980
	11-28-1994	12-5-1994	1.064	0.036	0.578	0.735	2.391	0.393	#N/A	#N/A	#N/A	0.1223
	12-5-1994	12-12-1994	1.180	0.057	0.614	0.806	2.622	0.411	#N/A	#N/A	#N/A	0.1275
	12-12-1994	12-19-1994	1.530	0.062	0.819	1.027	3.341	0.560	#N/A	#N/A	#N/A	0.1748
	12-19-1994	12-26-1994	1.305	0.035	0.503	0.845	2.747	0.291	#N/A	#N/A	#N/A	0.1093
	12-26-1994	1-2-1995	1.128	0.035	0.565	0.766	2.491	0.372	#N/A	#N/A	#N/A	0.1276
	1-2-1995	1-9-1995	1.113	0.042	0.471	0.746	2.427	0.283	#N/A	#N/A	#N/A	0.0991
	1-9-1995	1-16-1995	0.559	0.014	0.368	0.383	1.245	0.271	#N/A	#N/A	#N/A	0.0903
	1-16-1995	1-23-1995	0.850	0.042	0.687	0.624	2.028	0.530	#N/A	#N/A	#N/A	0.1466
	1-23-1995	1-30-1995	1.842	0.036	0.661	1.300	4.227	0.334	#N/A	#N/A	#N/A	0.1133
	1-30-1995	2-6-1995	2.165	0.042	0.544	1.626	5.286	0.135	#N/A	#N/A	#N/A	0.0691
	2-6-1995	2-13-1995	0.797	0.119	0.576	0.601	1.955	0.424	#N/A	#N/A	#N/A	0.1115
	2-13-1995	2-20-1995	1.267	0.022	0.352	0.825	2.683	0.144	#N/A	#N/A	#N/A	0.0619
	2-20-1995	2-27-1995	1.689	0.071	0.573	1.032	3.356	0.313	#N/A	#N/A	#N/A	0.0907
	2-27-1995	3-6-1995	2.971	0.083	0.822	1.742	5.664	0.384	#N/A	#N/A	#N/A	0.0850
	3-6-1995	3-13-1995	2.365	0.055	0.543	1.458	4.740	0.176	#N/A	#N/A	#N/A	0.0507
	3-13-1995	3-20-1995	2.563	0.056	0.574	1.316	4.280	0.242	#N/A	#N/A	#N/A	0.0503
	3-20-1995	3-27-1995	2.392	0.033	0.582	1.698	5.523	0.155	#N/A	#N/A	#N/A	0.0369
	3-27-1995	4-3-1995	1.355	0.040	0.420	0.859	2.793	0.204	#N/A	#N/A	#N/A	0.0660
	4-3-1995	4-10-1995	1.276	0.089	0.478	0.830	2.698	0.269	#N/A	#N/A	#N/A	0.0619
	4-10-1995	4-17-1995	1.643	0.098	0.581	1.064	3.459	0.314	#N/A	#N/A	#N/A	0.0703
	4-17-1995	4-24-1995	2.143	0.124	0.559	1.372	4.461	0.214	#N/A	#N/A	#N/A	0.0581
	4-24-1995	5-1-1995	0.861	0.019	0.248	0.588	1.912	0.100	#N/A	#N/A	#N/A	0.0305
	5-1-1995	5-8-1995	1.609	0.036	0.346	0.999	3.248	0.095	#N/A	#N/A	#N/A	0.0321
	5-8-1995	5-15-1995	0.734	0.026	0.229	0.475	1.545	0.109	#N/A	#N/A	#N/A	0.0338
	5-15-1995	5-22-1995	1.780	0.086	0.452	1.105	3.594	0.174	#N/A	#N/A	#N/A	0.0524
	5-22-1995	5-29-1995	2.379	0.042	0.484	1.601	5.206	0.081	#N/A	#N/A	#N/A	0.0372
	5-29-1995	6-5-1995	0.561	0.031	0.190	0.380	1.236	0.094	#N/A	#N/A	#N/A	0.0333
	6-5-1995	6-12-1995	1.176	0.027	0.362	0.763	2.480	0.170	#N/A	#N/A	#N/A	0.0376
	6-12-1995	6-19-1995	1.261	0.021	0.367	0.869	2.826	0.148	#N/A	#N/A	#N/A	0.0560
	6-19-1995	6-27-1995	0.435	0.009	0.201	0.302	0.982	0.125	#N/A	#N/A	#N/A	0.0453
	6-27-1995	7-3-1995	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	7-3-1995	7-10-1995	1.657	0.030	0.422	1.170	3.803	0.128	#N/A	#N/A	#N/A	0.0676
	7-10-1995	7-17-1995	1.373	0.046	0.373	0.934	3.036	0.138	#N/A	#N/A	#N/A	0.0762
	7-17-1995	7-24-1995	1.643	0.028	0.387	1.117	3.631	0.106	#N/A	#N/A	#N/A	0.0365
	7-24-1995	7-31-1995	0.722	0.032	0.202	0.491	1.598	0.078	#N/A	#N/A	#N/A	0.0392
	7-31-1995	8-7-1995	2.744	0.052	0.612	1.581	5.143	0.214	#N/A	#N/A	#N/A	0.0750
	8-7-1995	8-14-1995	0.885	0.024	0.216	0.609	1.980	0.062	#N/A	#N/A	#N/A	0.0330
	8-14-1995	8-21-1995	1.503	0.047	0.344	1.044	3.394	0.081	#N/A	#N/A	#N/A	0.0519
	8-21-1995	8-28-1995	2.296	0.106	0.575	1.526	4.961	0.191	#N/A	#N/A	#N/A	0.0755
	8-28-1995	9-4-1995	1.882	0.075	0.453	1.303	4.238	0.125	#N/A	#N/A	#N/A	0.0505
	9-4-1995	9-11-1995	3.034	0.035	0.549	1.645	5.349	0.135	#N/A	#N/A	#N/A	0.0266
	9-11-1995	9-18-1995	2.582	0.083	0.533	1.415	4.601	0.177	#N/A	#N/A	#N/A	0.0465
	9-18-1995	9-25-1995	2.000	0.124	0.557	1.393	4.531	0.206	#N/A	#N/A	#N/A	0.0972
	9-25-1995	10-2-1995	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-2-1995	10-9-1995	4.161	0.135	0.945	2.644	8.598	0.279	#N/A	#N/A	#N/A	0.1000
	10-9-1995	10-16-1995	2.887	0.057	0.649	1.737	5.648	0.212	#N/A	#N/A	#N/A	0.0741
	10-16-1995	10-23-1995	1.509	0.082	0.440	1.049	3.410	0.176	#N/A	#N/A	#N/A	0.0549
	10-23-1995	10-30-1995	2.350	0.055	0.626	1.501	4.880	0.249	#N/A	#N/A	#N/A	0.0622
	10-30-1995	11-6-1995	0.883	0.040	0.348	0.644	2.093	0.186	#N/A	#N/A	#N/A	0.0507
	11-6-1995	11-13-1995	1.606	0.050	0.561	1.073	3.488	0.291	#N/A	#N/A	#N/A	0.0776
	11-13-1995	11-20-1995	3.078	0.089	0.718	1.966	6.393	0.223	#N/A	#N/A	#N/A	0.0830
	11-20-1995	11-27-1995	2.375	0.071	0.649	1.505	4.893	0.270	#N/A	#N/A	#N/A	0.0725
	11-27-1995	12-5-1995	2.057	0.057	0.493	1.304	4.241	0.164	#N/A	#N/A	#N/A	0.0522
	12-5-1995	12-11-1995	4.177	0.065	0.897	2.477	8.057	0.273	#N/A	#N/A	#N/A	0.1092
	12-11-1995	12-18-1995	2.483	0.031	0.606	1.514	4.924	0.225	#N/A	#N/A	#N/A	0.0416
	12-18-1995	12-25-1995	2.292	0.093	0.610	1.440	4.684	0.247	#N/A	#N/A	#N/A	0.0683
	12-25-1995	1-1-1996	1.661	0.064	0.714	1.082	3.518	0.441	#N/A	#N/A	#N/A	0.1347
	1-1-1996	1-7-1996	2.598	0.134	0.702	1.625	5.284	0.293	#N/A	#N/A	#N/A	0.1004
	1-7-1996	1-14-1996	2.197	0.033	0.516	1.436	4.669	0.155	#N/A	#N/A	#N/A	0.0424
	1-14-1996	1-21-1996	3.304	0.071	0.924	2.079	6.761	0.400	#N/A	#N/A	#N/A	0.1060
	1-21-1996	1-28-1996	0.595	0.029	0.267	0.405	1.316	0.165	#N/A	#N/A	#N/A	0.0545
	1-28-1996	2-5-1996	2.821	0.077	0.752	1.607	5.226	0.348	#N/A	#N/A	#N/A	0.1135
	2-5-1996	2-12-1996	1.393	0.028	0.426	0.888	2.886	0.203	#N/A	#N/A	#N/A	0.0574
	2-12-1996	2-19-1996	1.680	0.167	0.712	1.220	3.969	0.404	#N/A	#N/A	#N/A	0.1211
	2-19-1996	2-26-1996	4.440	0.087	0.869	2.590	8.423	0.218	#N/A	#N/A	#N/A	0.0525
	2-26-1996	3-4-1996	3.737	0.118	0.791	2.238	7.279	0.228	#N/A	#N/A	#N/A	0.0567
	3-4-1996	3-10-1996	2.453	0.135	0.714	1.712	5.568	0.283	#N/A	#N/A	#N/A	0.0748
	3-10-1996	3-18-1996	2.151	0.130	0.592	1.335	4.342	0.256	#N/A	#N/A	#N/A	0.0646
	3-18-1996	3-25-1996	3.496	0.135	0.731	2.074	6.746	0.209	#N/A	#N/A	#N/A	0.0458
	3-25-1996	4-1-1996	1.696	0.060	0.450	1.160	3.772	0.158	#N/A	#N/A	#N/A	0.0442
	4-1-1996	4-9-1996	2.218	0.057	0.440	1.265	4.112	0.122	#N/A	#N/A	#N/A	0.0309
	4-9-1996	4-15-1996	1.425	0.035	0.436	0.934	3.038	0.201	#N/A	#N/A	#N/A	0.0228
	4-15-1996	4-23-1996	2.393	0.061	0.523	1.341	4.361	0.186	#N/A	#N/A	#N/A	0.0441
	4-23-1996	4-30-1996	2.481	0.094	0.666	1.456	4.736	0.299	#N/A	#N/A	#N/A	0.0793
	4-30-1996	5-6-1996	3.186	0.072	0.656	1.822	5.924	0.197	#N/A	#N/A	#N/A	0.0472
	5-6-1996	5-13-1996	3.902	0.048	0.589	2.253	7.328	0.022	#N/A	#N/A	#N/A	0.0302
	5-13-1996	5-21-1996	2.915	0.066	0.613	1.750	5.690	0.173	#N/A	#N/A	#N/A	0.0420
	5-21-1996	5-27-1996	2.563	0.155	0.720	1.746	5.679	0.281	#N/A	#N/A	#N/A	0.1050
	5-27-1996	6-3-1996	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	6-3-1996	6-10-1996	2.260	0.071	0.499	1.521	4.946	0.116	#N/A	#N/A	#N/A	0.0511
	6-10-1996	6-17-1996	1.869	0.033	0.380	1.273	4.140	0.060	#N/A	#N/A	#N/A	0.1571
	6-17-1996	6-30-1996	4.911	0.067	0.885	2.774	9.020	0.187	#N/A	#N/A	#N/A	0.0895
	6-30-1996	7-8-1996	2.122	0.136	0.634	1.312	4.268	0.303	#N/A	#N/A	#N/A	0.1904
	7-8-1996	7-15-1996	1.427	0.093	0.544	1.045	3.397	0.281	#N/A	#N/A	#N/A	0.0724
	7-15-1996	7-22-1996	4.640	0.062	0.775	2.524	8.209	0.139	#N/A	#N/A	#N/A	0.0330
	7-22-1996	7-29-1996	2.492	0.144	0.571	1.506	4.897	0.192	#N/A	#N/A	#N/A	0.0789
	7-29-1996	8-5-1996	4.594	0.109	0.792	2.634	8.567	0.129	#N/A	#N/A	#N/A	0.0446
