
	BEGIN	END	AVG_CL	AVG_NO3	AVG_SO4	AVG_NA	AVG_SEASALT	AVG_NSSSO4	AVG_MSA	AVG_ASH	AVG_DUST	AVG_NH4	_NA	_V	_AL	_BE7	_PB210
	1-19-1984	1-26-1984	1.926	0.006	0.274	1.032	3.357	0.014	#N/A	#N/A	0.032	#N/A	0.50	#N/A	2.5	#N/A	#N/A
	1-26-1984	2-2-1984	1.951	0.020	0.320	1.119	3.639	0.039	#N/A	#N/A	0.026	#N/A	0.90	0.054	2.1	#N/A	#N/A
	2-2-1984	2-9-1984	11.140	0.418	1.541	6.415	20.860	-0.073	#N/A	#N/A	2.808	#N/A	4.60	0.301	224.6	#N/A	#N/A
	2-9-1984	2-16-1984	13.305	0.274	2.194	7.624	24.794	0.275	#N/A	#N/A	1.075	#N/A	5.90	0.239	86.0	#N/A	#N/A
	2-16-1984	2-23-1984	13.199	0.235	1.606	7.459	24.257	-0.272	#N/A	#N/A	1.880	#N/A	5.00	0.318	150.4	#N/A	#N/A
	2-23-1984	3-1-1984	5.858	0.149	1.095	3.354	10.906	0.251	#N/A	#N/A	1.029	#N/A	4.20	0.230	82.3	#N/A	#N/A
	3-1-1984	3-8-1984	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-8-1984	3-15-1984	13.102	0.551	2.542	7.372	23.975	0.686	#N/A	#N/A	4.607	#N/A	6.20	0.614	368.5	#N/A	#N/A
	3-15-1984	3-22-1984	11.486	0.570	2.352	6.465	21.023	0.725	#N/A	#N/A	2.699	#N/A	6.30	0.411	216.0	#N/A	#N/A
	3-22-1984	3-29-1984	8.575	0.496	2.151	4.799	15.607	0.943	#N/A	#N/A	4.272	#N/A	7.70	0.480	341.8	#N/A	#N/A
	3-29-1984	4-5-1984	4.353	0.169	0.875	2.432	7.909	0.263	#N/A	#N/A	1.308	#N/A	7.00	0.197	104.6	#N/A	#N/A
	4-5-1984	4-12-1984	6.184	0.185	0.935	3.704	12.044	0.003	#N/A	#N/A	0.246	#N/A	1.70	0.025	19.7	#N/A	#N/A
	4-12-1984	4-19-1984	11.852	0.517	2.684	5.986	19.467	1.177	#N/A	#N/A	1.432	#N/A	7.20	0.346	114.5	#N/A	#N/A
	4-19-1984	4-26-1984	9.917	0.438	2.584	5.889	19.152	1.102	#N/A	#N/A	1.441	#N/A	5.40	0.466	115.3	#N/A	#N/A
	4-26-1984	5-3-1984	11.257	0.578	3.048	6.175	20.081	1.493	#N/A	#N/A	3.475	#N/A	5.40	0.703	278.0	#N/A	#N/A
	5-3-1984	5-10-1984	5.614	0.147	1.003	3.189	10.371	0.201	#N/A	#N/A	0.776	#N/A	2.60	0.082	62.1	#N/A	#N/A
	5-10-1984	5-17-1984	6.211	0.667	2.697	3.847	12.511	1.729	#N/A	#N/A	3.480	#N/A	3.60	0.681	278.4	#N/A	#N/A
	5-17-1984	5-24-1984	6.680	0.285	1.555	3.610	11.741	0.646	#N/A	#N/A	1.503	#N/A	3.20	0.247	120.3	#N/A	#N/A
	5-24-1984	1-31-1985	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-31-1985	2-7-1985	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-7-1985	2-14-1985	9.615	0.283	1.630	5.361	17.433	0.281	#N/A	#N/A	0.126	#N/A	4.80	0.315	10.1	9.503	#N/A
	2-14-1985	2-21-1985	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-21-1985	2-28-1985	5.168	0.210	1.107	2.732	8.886	0.420	#N/A	#N/A	2.386	#N/A	3.00	0.324	190.9	1.737	#N/A
	2-28-1985	8-27-1985	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	8-27-1985	8-29-1985	6.016	0.130	1.134	3.348	10.889	0.291	#N/A	#N/A	0.033	#N/A	2.80	#N/A	2.7	#N/A	#N/A
	8-29-1985	9-5-1985	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-5-1985	9-12-1985	4.356	0.118	0.871	2.390	7.771	0.269	#N/A	#N/A	0.033	#N/A	2.40	#N/A	2.6	1.737	#N/A
	9-12-1985	9-19-1985	6.241	0.129	1.235	3.423	11.133	0.373	#N/A	#N/A	0.099	#N/A	4.90	0.052	7.9	1.904	#N/A
	9-19-1985	9-26-1985	10.569	0.385	2.176	5.846	19.010	0.704	#N/A	#N/A	0.639	#N/A	7.50	0.111	51.1	#N/A	#N/A
	9-26-1985	10-3-1985	8.811	0.237	1.676	4.818	15.669	0.464	#N/A	#N/A	0.196	#N/A	4.40	0.098	15.7	2.940	#N/A
	10-3-1985	10-10-1985	15.756	0.151	2.421	8.722	28.363	0.226	#N/A	#N/A	0.070	#N/A	13.60	#N/A	5.6	2.372	#N/A
	10-10-1985	10-17-1985	16.591	0.134	2.428	9.302	30.251	0.087	#N/A	#N/A	0.045	#N/A	10.70	#N/A	3.6	1.520	#N/A
	10-17-1985	10-24-1985	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-24-1985	11-2-1985	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	11-2-1985	11-14-1985	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	11-14-1985	11-21-1985	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	11-21-1985	11-28-1985	15.617	0.464	3.409	9.095	29.578	1.120	#N/A	#N/A	2.718	#N/A	7.90	0.438	217.4	4.426	#N/A
	11-28-1985	12-5-1985	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	12-5-1985	12-12-1985	8.226	0.393	1.766	4.568	14.856	0.616	#N/A	#N/A	0.636	#N/A	4.40	0.301	50.9	#N/A	#N/A
	12-12-1985	12-19-1985	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	12-19-1985	12-26-1985	12.850	0.131	1.927	6.987	22.720	0.169	#N/A	#N/A	#N/A	#N/A	9.10	#N/A	#N/A	2.338	#N/A
	12-26-1985	1-2-1986	9.582	0.135	1.808	5.486	17.840	0.427	#N/A	#N/A	0.151	#N/A	3.30	#N/A	12.1	2.539	#N/A
	1-2-1986	1-9-1986	5.683	0.226	1.232	3.544	11.524	0.340	#N/A	#N/A	0.337	#N/A	3.50	0.090	26.9	3.841	#N/A
	1-9-1986	1-16-1986	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-16-1986	1-23-1986	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-23-1986	1-30-1986	10.741	0.249	1.816	5.562	18.089	0.416	#N/A	#N/A	#N/A	#N/A	6.90	0.314	#N/A	#N/A	#N/A
	1-30-1986	2-6-1986	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-6-1986	2-13-1986	14.812	0.248	2.153	8.027	26.104	0.132	#N/A	#N/A	#N/A	#N/A	8.00	0.113	#N/A	#N/A	#N/A
	2-13-1986	2-20-1986	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-20-1986	2-21-1986	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-21-1986	2-27-1986	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-27-1986	3-6-1986	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-6-1986	3-7-1986	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-7-1986	3-8-1986	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-8-1986	3-13-1986	7.259	0.525	2.682	4.431	14.410	1.567	#N/A	#N/A	3.086	#N/A	7.10	0.447	246.9	#N/A	#N/A
	3-13-1986	3-20-1986	11.452	0.469	2.696	6.573	21.376	1.041	#N/A	#N/A	3.497	#N/A	7.30	0.462	279.8	#N/A	#N/A
	3-20-1986	3-27-1986	3.913	0.331	1.137	2.269	7.379	0.566	#N/A	#N/A	1.893	#N/A	2.70	0.258	151.4	#N/A	#N/A
	3-27-1986	4-3-1986	7.112	0.239	1.631	3.891	12.652	0.652	#N/A	#N/A	0.554	#N/A	3.90	#N/A	44.3	#N/A	#N/A
	4-3-1986	4-10-1986	8.117	0.358	1.917	4.527	14.723	0.778	#N/A	#N/A	1.023	#N/A	5.00	0.163	81.8	#N/A	#N/A
	4-10-1986	4-17-1986	6.954	0.149	1.328	3.645	11.853	0.411	#N/A	#N/A	1.006	#N/A	4.20	#N/A	80.5	#N/A	#N/A
	4-17-1986	4-24-1986	4.064	0.177	0.932	2.282	7.421	0.357	#N/A	#N/A	0.256	#N/A	1.80	#N/A	20.5	#N/A	#N/A
	4-24-1986	5-1-1986	16.378	0.184	2.604	8.548	27.797	0.452	#N/A	#N/A	0.699	#N/A	8.60	#N/A	55.9	#N/A	#N/A
	5-1-1986	5-8-1986	3.925	0.306	1.596	2.278	7.409	1.023	#N/A	#N/A	0.701	#N/A	2.80	0.141	56.1	#N/A	#N/A
	5-8-1986	5-15-1986	3.383	0.207	0.973	1.870	6.080	0.502	#N/A	#N/A	0.230	#N/A	2.30	0.082	18.4	#N/A	#N/A
	5-15-1986	5-22-1986	5.450	0.597	2.259	3.237	10.525	1.444	#N/A	#N/A	1.151	#N/A	4.10	0.354	92.1	#N/A	#N/A
	5-22-1986	5-29-1986	3.798	0.809	2.739	2.667	8.674	2.067	#N/A	#N/A	3.873	#N/A	2.60	0.614	309.8	#N/A	#N/A
	5-29-1986	6-5-1986	4.352	0.299	1.710	2.715	8.830	1.027	#N/A	#N/A	1.098	#N/A	3.10	0.174	87.8	#N/A	#N/A
	6-5-1986	6-12-1986	1.814	0.215	0.760	1.113	3.620	0.480	#N/A	#N/A	0.579	#N/A	1.20	0.127	46.3	#N/A	#N/A
	6-12-1986	6-19-1986	6.641	0.234	1.517	3.515	11.432	0.632	#N/A	#N/A	0.273	#N/A	4.40	0.080	21.8	#N/A	#N/A
	6-19-1986	6-26-1986	8.616	0.225	1.580	4.359	14.176	0.483	#N/A	#N/A	0.200	#N/A	5.30	#N/A	16.0	#N/A	#N/A
	6-26-1986	7-3-1986	6.058	0.242	1.226	3.289	10.696	0.398	#N/A	#N/A	0.229	#N/A	4.10	0.053	18.3	#N/A	#N/A
	7-3-1986	7-10-1986	4.560	0.241	1.062	2.567	8.347	0.416	#N/A	#N/A	0.158	#N/A	2.50	0.087	12.6	#N/A	#N/A
	7-10-1986	7-18-1986	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	7-18-1986	7-24-1986	5.093	0.255	1.356	3.041	9.889	0.590	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	4.132	#N/A
	7-24-1986	7-31-1986	5.682	0.182	1.299	3.321	10.801	0.463	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	3.417	#N/A
	7-31-1986	8-7-1986	5.617	0.183	1.085	3.170	10.309	0.287	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	3.250	#N/A
	8-7-1986	8-14-1986	4.712	0.256	1.056	2.692	8.756	0.379	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	3.198	#N/A
	8-14-1986	8-21-1986	6.900	0.207	1.217	3.921	12.750	0.230	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	2.638	#N/A
	8-21-1986	8-28-1986	4.988	0.219	1.369	2.999	9.752	0.614	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	3.237	#N/A
	8-28-1986	9-4-1986	6.460	0.197	1.332	3.634	11.817	0.417	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	2.993	#N/A
	9-4-1986	9-11-1986	1.879	0.192	0.755	1.144	3.720	0.467	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	3.025	#N/A
	9-11-1986	9-18-1986	2.722	0.410	1.203	1.927	6.267	0.718	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	6.223	#N/A
	9-18-1986	9-25-1986	2.183	0.273	0.722	1.401	4.555	0.369	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	5.608	#N/A
	9-25-1986	10-2-1986	3.175	0.274	0.934	2.090	6.796	0.408	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	3.246	#N/A
	10-2-1986	10-9-1986	5.604	0.373	1.346	3.478	11.310	0.471	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	4.869	#N/A
	10-9-1986	10-16-1986	7.231	0.494	1.908	4.649	15.120	0.737	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	8.018	#N/A
	10-16-1986	10-23-1986	6.025	0.473	1.486	3.788	12.317	0.533	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	5.593	#N/A
	10-23-1986	10-30-1986	9.097	0.411	2.071	5.239	17.036	0.752	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	7.160	#N/A
	10-30-1986	11-6-1986	8.533	0.258	1.612	4.955	16.113	0.364	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	5.900	#N/A
	11-6-1986	11-13-1986	8.239	0.433	2.153	5.175	16.831	0.851	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	7.123	#N/A
	11-13-1986	11-20-1986	3.524	0.062	0.639	2.042	6.640	0.125	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1.244	#N/A
	11-20-1986	11-27-1986	7.048	0.348	1.696	4.221	13.726	0.633	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	4.840	#N/A
	11-27-1986	12-4-1986	8.671	0.268	1.698	4.987	16.219	0.442	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.820	#N/A
	12-4-1986	12-11-1986	9.126	0.235	1.787	5.346	17.385	0.441	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	4.983	#N/A
	12-11-1986	12-18-1986	6.102	0.174	1.252	3.647	11.861	0.334	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	5.725	#N/A
	12-18-1986	12-25-1986	5.907	0.219	1.642	3.626	11.792	0.729	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	4.956	#N/A
	12-25-1986	1-1-1987	7.049	0.275	1.761	4.279	13.915	0.684	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.368	#N/A
	1-1-1987	1-8-1987	15.187	0.169	2.857	8.865	28.828	0.626	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	8.185	#N/A
	1-8-1987	1-15-1987	9.372	0.316	2.065	5.737	18.655	0.621	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	6.178	#N/A
	1-15-1987	1-22-1987	7.326	0.248	1.887	4.407	14.332	0.777	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	2.511	#N/A
	1-22-1987	1-29-1987	7.153	0.186	1.704	3.884	12.632	0.726	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	4.803	#N/A
	1-29-1987	2-5-1987	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-5-1987	2-12-1987	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-12-1987	2-19-1987	9.872	0.346	2.506	5.497	17.877	1.123	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	4.169	#N/A
	2-19-1987	2-26-1987	7.998	0.264	2.024	4.196	13.646	0.968	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	4.776	#N/A
	2-26-1987	3-5-1987	15.666	0.659	2.842	8.146	26.491	0.791	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	5.923	#N/A
	3-5-1987	3-12-1987	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-12-1987	3-19-1987	4.495	0.249	1.128	2.458	7.993	0.509	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	5.780	#N/A
	3-19-1987	3-26-1987	4.165	0.411	1.944	2.451	7.970	1.327	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-26-1987	4-2-1987	9.003	0.504	2.443	5.065	16.471	1.168	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-2-1987	4-9-1987	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-9-1987	4-16-1987	9.667	0.768	3.247	5.066	16.474	1.972	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-16-1987	4-23-1987	11.350	0.155	1.661	5.933	19.295	0.168	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-23-1987	4-30-1987	5.186	0.475	1.845	2.944	9.575	1.103	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-30-1987	5-7-1987	4.732	0.785	2.770	3.067	9.974	1.998	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	5-7-1987	5-14-1987	7.561	0.715	2.775	4.583	14.905	1.621	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	5-14-1987	5-21-1987	4.075	0.545	1.421	2.502	8.136	0.791	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	5-21-1987	5-28-1987	5.748	0.368	1.455	4.056	13.190	0.434	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	5-28-1987	6-4-1987	5.333	0.462	1.726	3.255	10.586	0.907	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	6-4-1987	6-11-1987	7.309	0.299	1.572	4.922	16.005	0.333	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	6-11-1987	6-18-1987	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	6-18-1987	6-25-1987	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	6-25-1987	7-2-1987	4.216	0.399	1.441	3.200	10.407	0.636	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	7-2-1987	7-9-1987	3.664	0.187	0.918	2.099	6.825	0.390	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	7-9-1987	7-16-1987	4.248	0.230	1.013	2.240	7.283	0.449	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	7-16-1987	7-23-1987	5.499	0.192	1.216	3.138	10.206	0.426	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	7-23-1987	7-30-1987	2.477	0.153	0.915	1.499	4.876	0.538	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	7-30-1987	8-6-1987	4.372	0.140	1.234	2.589	8.418	0.583	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	8-6-1987	8-13-1987	3.012	0.185	0.931	1.785	5.806	0.482	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	8-13-1987	8-20-1987	3.617	0.174	0.873	2.059	6.695	0.355	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	8-20-1987	8-27-1987	2.347	0.207	0.707	1.407	4.577	0.352	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	8-27-1987	9-3-1987	5.581	0.263	1.339	3.245	10.552	0.522	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-3-1987	9-10-1987	5.307	0.234	1.086	3.015	9.805	0.327	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-10-1987	9-17-1987	14.510	0.179	2.367	7.978	25.946	0.359	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-17-1987	9-24-1987	5.761	0.283	1.459	3.398	11.049	0.603	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-24-1987	10-1-1987	8.551	0.282	1.842	5.073	16.498	0.565	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-1-1987	10-8-1987	11.198	0.356	2.435	6.175	20.082	0.881	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-8-1987	12-31-1987	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	12-31-1987	1-7-1988	7.711	0.357	1.871	4.543	14.773	0.728	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-7-1988	1-14-1988	7.173	0.151	1.181	4.174	13.574	0.130	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-14-1988	1-21-1988	5.882	0.181	1.197	3.445	11.205	0.330	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-21-1988	1-28-1988	7.420	0.198	1.619	4.433	14.418	0.503	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-28-1988	2-4-1988	10.631	0.283	2.059	6.059	19.703	0.534	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-4-1988	2-11-1988	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-11-1988	2-18-1988	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-18-1988	2-26-1988	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-26-1988	3-3-1988	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-3-1988	3-10-1988	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-10-1988	3-17-1988	5.556	0.336	1.644	3.345	10.878	0.802	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-17-1988	3-22-1988	7.635	0.183	1.380	4.170	13.562	0.330	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-22-1988	3-25-1988	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-25-1988	3-31-1988	7.483	0.290	1.460	4.144	13.478	0.417	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-31-1988	4-7-1988	11.550	0.489	2.284	6.594	21.445	0.624	#N/A	#N/A	1.000	#N/A	7.19	0.100	80.0	#N/A	#N/A
	4-7-1988	4-14-1988	7.040	0.417	1.869	4.164	13.540	0.821	#N/A	#N/A	2.250	#N/A	4.67	0.500	180.0	#N/A	#N/A
	4-14-1988	4-21-1988	7.694	0.598	3.298	4.914	15.979	2.061	#N/A	#N/A	2.750	#N/A	4.06	0.400	220.0	#N/A	#N/A
	4-21-1988	4-28-1988	6.024	0.465	2.613	3.752	12.202	1.669	#N/A	#N/A	4.250	#N/A	4.49	0.700	340.0	#N/A	#N/A
	4-28-1988	5-5-1988	3.819	0.275	1.272	2.263	7.358	0.703	#N/A	#N/A	1.125	#N/A	2.44	#N/A	90.0	#N/A	#N/A
	5-5-1988	5-12-1988	5.904	0.437	1.900	3.679	11.964	0.974	#N/A	#N/A	1.625	#N/A	3.84	0.200	130.0	#N/A	#N/A
	5-12-1988	5-19-1988	5.532	0.573	1.820	3.539	11.510	0.929	#N/A	#N/A	2.125	#N/A	4.30	0.300	170.0	#N/A	#N/A
	5-19-1988	5-26-1988	7.244	0.294	1.760	4.145	13.481	0.717	#N/A	#N/A	0.750	#N/A	5.10	#N/A	60.0	#N/A	#N/A
	5-26-1988	6-2-1988	5.133	0.266	1.414	3.069	9.981	0.642	#N/A	#N/A	1.250	#N/A	3.81	0.400	100.0	#N/A	#N/A
	6-2-1988	6-9-1988	5.552	0.495	1.657	3.429	11.152	0.794	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	6-9-1988	6-16-1988	3.656	0.177	0.968	2.212	7.195	0.411	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	6-16-1988	6-23-1988	1.998	0.271	0.772	1.286	4.181	0.449	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	6-23-1988	6-30-1988	5.618	0.205	1.259	3.358	10.921	0.414	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
