
	BEGIN	END	AVG_CL	AVG_NO3	AVG_SO4	AVG_NA	AVG_SEASALT	AVG_NSSSO4	AVG_MSA	AVG_ASH	AVG_DUST	AVG_NH4	_NA	_V	_AL	_BE7	_PB210
	10-4-1981	10-8-1981	5.194	0.194	0.943	2.994	9.736	0.189	0.0145	#N/A	0.225	#N/A	3.00	#N/A	18.0	#N/A	0.123
	10-8-1981	10-15-1981	5.289	0.319	1.573	3.321	10.799	0.737	0.0253	#N/A	0.563	#N/A	4.80	0.300	45.0	#N/A	0.283
	10-15-1981	10-22-1981	9.922	0.409	2.168	6.048	19.670	0.646	0.0325	#N/A	0.588	#N/A	6.10	0.130	47.0	#N/A	0.220
	10-22-1981	10-29-1981	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-29-1981	11-5-1981	10.012	0.343	1.815	6.121	19.904	0.274	0.0153	#N/A	0.413	#N/A	4.70	0.061	33.0	#N/A	0.198
	11-5-1981	11-12-1981	4.976	0.369	1.166	3.175	10.324	0.367	0.0199	#N/A	1.163	#N/A	2.80	0.190	93.0	#N/A	0.377
	11-12-1981	11-19-1981	5.403	0.305	1.048	3.360	10.926	0.202	0.0140	#N/A	0.115	#N/A	3.20	#N/A	9.2	#N/A	0.092
	11-19-1981	11-26-1981	14.736	0.152	2.266	8.813	28.660	0.048	0.0106	#N/A	0.188	#N/A	8.30	0.066	15.0	#N/A	0.160
	11-26-1981	12-3-1981	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	12-3-1981	12-10-1981	14.647	0.211	2.134	8.274	26.908	0.052	0.0143	#N/A	0.125	#N/A	10.00	#N/A	10.0	#N/A	0.140
	12-10-1981	12-17-1981	8.827	0.296	1.574	5.687	18.493	0.143	0.0109	#N/A	0.238	#N/A	5.30	#N/A	19.0	#N/A	0.405
	12-17-1981	12-24-1981	9.371	0.261	1.731	5.488	17.846	0.349	0.0068	#N/A	0.095	#N/A	4.30	#N/A	7.6	#N/A	#N/A
	12-24-1981	12-31-1981	7.900	0.177	1.400	4.703	15.294	0.217	0.0078	#N/A	0.288	#N/A	4.40	#N/A	23.0	#N/A	#N/A
	12-31-1981	1-7-1982	15.563	0.162	2.306	8.990	29.235	0.043	0.0077	#N/A	0.300	#N/A	8.10	0.230	24.0	#N/A	#N/A
	1-7-1982	1-14-1982	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-14-1982	1-21-1982	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-21-1982	1-28-1982	12.934	0.361	2.315	7.054	22.938	0.540	0.0123	#N/A	0.313	#N/A	7.20	0.084	25.0	#N/A	#N/A
	1-28-1982	2-4-1982	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-4-1982	2-11-1982	9.720	0.302	1.712	5.493	17.863	0.329	#N/A	#N/A	0.213	#N/A	6.50	#N/A	17.0	#N/A	#N/A
	2-11-1982	2-18-1982	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-18-1982	2-25-1982	12.905	0.179	2.084	7.327	23.828	0.239	#N/A	#N/A	0.388	#N/A	4.10	0.038	31.0	#N/A	#N/A
	2-25-1982	3-4-1982	6.959	0.371	1.822	4.050	13.169	0.802	#N/A	#N/A	2.000	#N/A	3.60	0.610	160.0	#N/A	#N/A
	3-4-1982	3-12-1982	11.613	0.388	2.142	6.638	21.585	0.472	#N/A	#N/A	1.050	#N/A	5.10	0.200	84.0	#N/A	#N/A
	3-12-1982	3-18-1982	10.200	0.444	2.627	5.980	19.446	1.122	#N/A	#N/A	2.175	#N/A	4.70	0.420	174.0	#N/A	#N/A
	3-18-1982	3-25-1982	14.980	0.533	3.078	8.419	27.379	0.959	#N/A	#N/A	1.042	#N/A	2.60	0.187	83.3	#N/A	#N/A
	3-25-1982	4-1-1982	13.910	0.209	2.368	7.893	25.667	0.381	#N/A	#N/A	0.491	#N/A	6.30	#N/A	39.3	#N/A	#N/A
	4-1-1982	4-8-1982	9.054	0.135	1.502	5.088	16.546	0.221	#N/A	#N/A	0.267	#N/A	5.30	0.082	21.3	#N/A	#N/A
	4-8-1982	4-15-1982	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-15-1982	4-21-1982	11.398	0.465	2.739	6.267	20.381	1.162	#N/A	#N/A	1.436	#N/A	4.70	0.384	114.9	#N/A	#N/A
	4-21-1982	4-29-1982	8.719	0.544	2.593	5.059	16.451	1.320	#N/A	#N/A	1.977	#N/A	5.00	0.424	158.1	#N/A	#N/A
	4-29-1982	5-6-1982	5.086	0.601	1.851	3.069	9.981	1.078	#N/A	#N/A	1.560	#N/A	3.20	0.424	124.8	#N/A	#N/A
	5-6-1982	5-14-1982	2.531	0.270	0.958	1.486	4.833	0.584	#N/A	#N/A	1.266	#N/A	1.60	0.268	101.3	#N/A	#N/A
	5-14-1982	5-22-1982	4.469	0.465	1.542	2.686	8.735	0.865	#N/A	#N/A	3.619	#N/A	3.30	0.599	289.6	#N/A	#N/A
	5-22-1982	5-27-1982	7.913	0.332	1.786	4.596	14.946	0.629	#N/A	#N/A	0.417	#N/A	5.30	0.097	33.3	#N/A	#N/A
	5-27-1982	6-3-1982	9.170	0.549	2.439	5.211	16.946	1.128	#N/A	#N/A	0.621	#N/A	5.00	0.141	49.7	#N/A	#N/A
