
	BEGIN	END	AVG_CL	AVG_NO3	AVG_SO4	AVG_NA	AVG_NSSSO4	AVG_MSA	AVG_ASH	AVG_NH4	_AL	_BR	_CA	_CL	_CU	_L	_MG	_MN	_NA	_V	_AG	_BA	_CO	_CR	_CS	_EU	_FE	_HF	_ND	_NI	_RB	_SB	_SC	_SE	_TA	_TB	YB	ZN
	5-12-1992	5-19-1992	2.007	3.766	13.437	1.572	13.041	0.1203	#N/A	4.875	0.887	1.85E-02	4.98E-01	2.77E+00	#N/A	6.23E-03	5.55E-01	3.02E-02	2.44E+00	4.71E-03	1.54E-04	9.14E-03	3.03E-04	1.71E-03	2.55E-04	1.43E-05	4.32E-01	4.89E-05	#N/A	2.24E-03	2.74E-03	1.27E-03	1.47E-04	2.26E-03	1.47E-05	6.85E-06	3.92E-05	3.94E-02
	5-19-1992	5-26-1992	1.955	6.248	11.901	1.109	11.621	0.1501	#N/A	6.216	1.142	1.10E-02	7.80E-01	2.01E+00	9.37E-03	4.70E-03	4.59E-01	3.26E-02	1.19E+00	3.82E-03	2.25E-04	1.99E-02	4.69E-04	3.07E-03	5.21E-04	2.50E-05	7.02E-01	8.95E-05	8.07E-04	2.87E-03	4.99E-03	2.37E-03	2.39E-04	4.30E-03	2.87E-05	1.19E-05	6.18E-05	7.12E-02
	5-26-1992	5-30-1992	4.049	11.808	17.760	2.090	17.234	0.2634	#N/A	8.088	1.657	1.70E-02	1.19E+00	3.64E+00	1.59E-02	1.18E-02	8.05E-01	5.26E-02	2.18E+00	4.69E-03	2.93E-04	3.25E-02	5.35E-04	5.65E-03	6.61E-04	3.39E-05	8.72E-01	1.14E-04	#N/A	#N/A	6.93E-03	2.69E-03	2.86E-04	5.83E-03	2.98E-05	1.29E-05	8.99E-05	1.11E-01
	5-30-1992	6-5-1992	2.188	5.988	12.006	1.113	11.726	0.1438	#N/A	4.922	0.983	8.14E-03	3.89E-01	2.07E+00	#N/A	5.67E-03	3.57E-01	2.14E-02	1.39E+00	7.49E-03	#N/A	7.28E-03	4.44E-04	2.42E-03	1.77E-04	2.29E-05	6.07E-01	7.10E-05	#N/A	2.56E-03	2.44E-03	4.36E-03	1.83E-04	1.86E-03	2.51E-05	8.75E-06	4.65E-05	3.37E-02
	6-5-1992	6-9-1992	12.400	3.031	5.839	5.916	4.350	0.0976	#N/A	3.283	0.597	3.86E-02	7.03E-01	1.15E+01	#N/A	2.66E-03	6.47E-01	1.28E-02	6.47E+00	2.06E-03	#N/A	#N/A	1.07E-03	1.35E-03	1.17E-04	1.91E-05	4.17E-01	4.64E-05	#N/A	#N/A	#N/A	1.20E-03	1.20E-04	9.39E-04	#N/A	#N/A	2.58E-05	4.43E-02
	6-9-1992	6-20-1992	2.382	6.753	10.869	1.644	10.456	0.1079	#N/A	5.203	0.720	1.13E-02	5.23E-01	2.26E+00	#N/A	3.05E-03	4.74E-01	2.19E-02	1.70E+00	6.00E-03	1.27E-04	1.27E-02	6.66E-04	2.30E-03	2.25E-04	1.76E-05	5.62E-01	5.24E-05	#N/A	3.27E-03	2.89E-03	1.70E-03	1.48E-04	2.09E-03	1.64E-05	8.95E-06	3.60E-05	5.16E-02
	6-20-1992	6-23-1992	6.261	2.365	3.543	3.078	2.769	0.0274	#N/A	1.954	0.394	2.29E-02	#N/A	4.92E+00	#N/A	4.11E-03	#N/A	7.88E-03	2.83E+00	1.61E-03	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	6-23-1992	6-27-1992	3.227	7.116	9.288	1.907	8.808	0.0643	#N/A	4.446	0.362	1.88E-02	2.93E-01	3.57E+00	5.24E-03	2.46E-03	2.57E-01	8.54E-03	2.35E+00	5.83E-03	#N/A	#N/A	2.49E-04	2.16E-03	8.43E-05	2.06E-05	3.09E-01	1.99E-05	#N/A	2.45E-03	#N/A	1.48E-03	6.34E-05	1.19E-03	#N/A	#N/A	#N/A	1.65E-02
	6-27-1992	6-29-1992	4.277	6.036	7.074	2.624	6.413	0.1903	#N/A	3.199	0.361	2.08E-02	2.22E-01	4.49E+00	4.87E-03	4.05E-03	3.67E-01	8.53E-03	2.89E+00	8.97E-03	#N/A	#N/A	1.84E-04	1.82E-03	4.60E-05	7.95E-06	2.68E-01	2.76E-05	#N/A	4.31E-03	#N/A	9.88E-04	6.36E-05	9.57E-04	1.29E-05	#N/A	2.31E-05	1.48E-02
	6-29-1992	7-3-1992	1.828	5.631	9.430	1.392	9.080	0.0888	#N/A	4.357	0.413	1.67E-02	2.19E-01	1.67E+00	#N/A	4.36E-03	9.90E-02	9.36E-03	1.44E+00	9.22E-03	#N/A	#N/A	2.70E-04	5.29E-03	9.69E-05	1.50E-05	3.62E-01	2.95E-05	#N/A	3.79E-03	1.58E-03	1.96E-03	8.47E-05	1.55E-03	#N/A	#N/A	2.77E-05	2.49E-02
	7-3-1992	7-11-1992	1.789	5.426	18.135	1.459	17.768	0.0654	#N/A	7.726	0.722	8.39E-03	5.80E-01	1.94E+00	#N/A	3.90E-03	4.64E-01	2.69E-02	1.71E+00	5.79E-03	2.66E-04	1.14E-02	4.04E-04	3.02E-03	4.06E-04	2.11E-05	6.35E-01	5.64E-05	#N/A	3.66E-03	4.22E-03	2.79E-03	1.67E-04	3.98E-03	2.00E-05	7.19E-06	4.33E-05	7.12E-02
	7-21-1992	7-30-1992	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	3.863	1.06E+00	8.99E+00	2.84E+02	#N/A	1.49E-01	1.69E+01	#N/A	1.39E+02	1.17E-02	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	7-30-1992	8-5-1992	6.866	4.768	7.980	4.124	6.941	0.0490	#N/A	3.429	1.205	2.68E-02	7.65E-01	6.75E+00	#N/A	3.16E-03	5.20E-01	2.36E-02	4.40E+00	4.63E-03	#N/A	1.41E-02	4.68E-04	3.09E-03	1.58E-04	3.35E-05	9.75E-01	1.06E-04	#N/A	1.94E-03	2.41E-03	9.71E-04	2.82E-04	1.89E-03	4.50E-05	1.30E-05	4.00E-05	2.69E-02
	8-5-1992	8-16-1992	9.736	3.777	6.570	4.690	5.389	0.0319	#N/A	4.205	0.296	7.83E-03	1.45E-01	2.36E+00	#N/A	1.01E-03	1.92E-01	6.29E-03	1.22E+00	1.06E-03	#N/A	#N/A	7.18E-04	4.08E-03	1.42E-04	5.18E-05	1.30E+00	1.32E-04	#N/A	#N/A	#N/A	4.37E-03	4.10E-04	1.27E-03	#N/A	#N/A	5.20E-05	1.48E-02
	8-16-1992	8-24-1992	7.438	6.874	7.294	3.649	6.376	0.0278	#N/A	3.908	0.498	2.67E-02	5.04E-01	8.53E+00	#N/A	8.24E-04	3.86E-01	9.68E-03	4.36E+00	4.23E-03	#N/A	#N/A	1.61E-03	2.71E-03	7.11E-05	1.29E-05	3.88E-01	3.27E-05	#N/A	#N/A	#N/A	2.65E-03	9.57E-05	1.18E-03	#N/A	#N/A	#N/A	2.72E-02
	8-24-1992	8-30-1992	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1.890	1.12E-01	4.50E+00	1.13E+02	#N/A	#N/A	9.02E+00	7.09E-02	7.17E+01	4.65E-03	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	8-30-1992	9-3-1992	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-3-1992	9-9-1992	9.487	4.110	7.835	4.980	6.581	0.0273	#N/A	4.466	0.494	3.30E-02	5.88E-01	9.63E+00	#N/A	4.83E-03	5.47E-01	7.56E-03	5.86E+00	2.64E-03	#N/A	#N/A	1.15E-03	6.91E-03	1.92E-04	#N/A	3.25E-01	4.61E-05	#N/A	#N/A	3.66E-03	2.99E-03	1.20E-04	2.75E-03	#N/A	#N/A	#N/A	3.07E-02
	9-9-1992	9-17-1992	8.747	5.162	10.386	5.820	8.921	0.0189	#N/A	3.176	2.114	2.48E-02	1.48E+00	7.51E+00	#N/A	3.72E-03	1.17E+00	4.58E-02	4.92E+00	5.68E-03	#N/A	2.86E-02	1.36E-03	4.02E-03	5.98E-04	4.59E-05	1.45E+00	1.35E-04	#N/A	#N/A	7.21E-03	2.64E-03	5.14E-04	4.47E-03	4.40E-05	2.79E-05	9.75E-05	7.07E-02
	9-17-1992	9-26-1992	38.275	11.976	24.226	24.406	18.083	0.0642	#N/A	4.877	1.361	4.43E-02	5.65E-01	1.58E+01	#N/A	3.54E-03	1.22E+00	3.02E-02	9.93E+00	2.86E-03	#N/A	1.50E-02	1.15E-02	4.66E-03	1.97E-04	3.87E-05	1.11E+00	1.42E-04	#N/A	#N/A	3.05E-03	2.17E-02	3.21E-04	9.18E-04	#N/A	#N/A	4.80E-05	4.16E-02
	9-26-1992	10-2-1992	7.782	6.851	9.361	4.434	8.245	0.0203	#N/A	4.067	2.614	3.56E-02	1.63E+00	8.40E+00	#N/A	5.82E-03	1.92E+00	4.35E-02	5.00E+00	6.66E-03	#N/A	2.58E-02	8.33E-04	4.59E-03	5.74E-04	4.65E-05	1.61E+00	1.56E-04	#N/A	#N/A	7.99E-03	1.68E-03	5.86E-04	3.24E-03	5.46E-05	#N/A	1.06E-04	4.87E-02
	10-2-1992	10-9-1992	16.102	4.875	12.074	9.238	9.748	0.0221	#N/A	4.110	1.052	5.43E-02	9.10E-01	1.69E+01	#N/A	3.66E-03	1.18E+00	3.11E-02	9.40E+00	3.59E-03	#N/A	1.35E-02	6.01E-04	2.90E-03	3.32E-04	2.38E-05	7.86E-01	8.77E-05	#N/A	#N/A	5.14E-03	1.82E-03	2.53E-04	3.16E-03	3.65E-05	#N/A	5.79E-05	5.44E-02
	10-9-1992	10-14-1992	5.078	6.344	10.569	2.764	9.874	0.0210	#N/A	4.791	0.996	2.10E-02	6.24E-01	4.62E+00	#N/A	4.11E-03	3.90E-01	2.74E-02	2.69E+00	5.25E-03	#N/A	2.49E-02	4.30E-04	3.63E-03	3.13E-04	2.74E-05	8.08E-01	9.32E-05	#N/A	#N/A	4.31E-03	2.49E-03	2.37E-04	3.36E-03	3.03E-05	#N/A	6.31E-05	6.50E-02
	10-14-1992	10-18-1992	5.095	6.175	8.572	3.422	7.710	0.0190	#N/A	3.577	1.023	2.89E-02	6.97E-01	5.46E+00	#N/A	4.81E-03	8.83E-01	2.39E-02	3.92E+00	4.65E-03	#N/A	7.12E-03	7.85E-04	3.04E-03	2.80E-04	2.13E-05	6.80E-01	6.59E-05	#N/A	#N/A	4.13E-03	3.28E-03	1.97E-04	2.74E-03	3.24E-05	#N/A	4.59E-05	6.36E-02
	10-18-1992	10-22-1992	9.150	6.430	6.708	5.305	5.372	0.0114	#N/A	3.488	1.281	3.72E-02	8.54E-01	1.05E+01	#N/A	7.03E-03	1.18E+00	2.51E-02	6.37E+00	5.76E-03	#N/A	8.47E-03	2.08E-03	2.87E-03	2.08E-04	3.39E-05	8.59E-01	9.12E-05	#N/A	3.00E-03	2.57E-03	2.56E-03	2.49E-04	2.00E-03	2.15E-05	1.20E-05	5.10E-05	3.68E-02
	10-22-1992	10-29-1992	9.113	4.823	10.147	6.166	8.595	0.0145	#N/A	3.028	1.119	3.97E-02	9.53E-01	9.18E+00	#N/A	5.07E-03	9.05E-01	2.65E-02	6.33E+00	3.74E-03	#N/A	8.29E-03	4.34E-04	2.36E-03	2.36E-04	2.73E-05	7.75E-01	6.99E-05	7.23E-04	1.44E-03	2.45E-03	1.20E-03	2.31E-04	1.55E-03	2.05E-05	1.41E-05	5.31E-05	3.40E-02
	10-29-1992	11-5-1992	13.947	5.912	11.461	7.967	9.456	0.0164	#N/A	3.779	2.185	4.47E-02	1.91E+00	1.21E+01	#N/A	5.80E-03	1.32E+00	4.78E-02	8.30E+00	4.85E-03	1.79E-04	1.69E-02	1.13E-03	4.04E-03	5.09E-04	4.75E-05	1.32E+00	1.39E-04	1.35E-03	1.07E-03	4.72E-03	1.71E-03	4.69E-04	2.90E-03	4.58E-05	3.26E-05	8.93E-05	4.63E-02
	11-5-1992	11-13-1992	11.702	6.913	12.224	6.411	10.611	0.0194	#N/A	4.905	1.820	4.66E-02	1.53E+00	1.31E+01	#N/A	6.59E-03	1.10E+00	4.45E-02	7.32E+00	6.44E-03	#N/A	2.14E-02	9.19E-04	3.34E-03	4.73E-04	3.98E-05	1.04E+00	1.11E-04	#N/A	3.19E-03	4.61E-03	1.78E-03	3.48E-04	3.13E-03	2.46E-05	1.42E-05	6.68E-05	4.82E-02
	11-13-1992	11-21-1992	17.023	8.194	13.383	8.455	11.255	0.0184	#N/A	5.166	2.155	4.66E-02	1.59E+00	1.42E+01	#N/A	5.77E-03	1.41E+00	5.69E-02	8.84E+00	4.98E-03	1.35E-04	2.63E-02	1.12E-03	6.15E-03	7.08E-04	5.01E-05	1.38E+00	1.59E-04	9.16E-04	3.85E-03	8.08E-03	2.41E-03	4.92E-04	5.75E-03	3.67E-05	3.70E-05	1.12E-04	1.07E-01
	11-21-1992	11-27-1992	15.308	8.304	13.929	8.764	11.723	0.0203	#N/A	4.141	1.945	7.74E-02	2.12E+00	1.90E+01	#N/A	6.01E-03	1.68E+00	4.43E-02	1.10E+01	8.02E-03	#N/A	2.46E-02	1.76E-03	5.72E-03	6.25E-04	4.49E-05	1.41E+00	1.62E-04	1.08E-03	5.44E-03	7.31E-03	3.44E-03	4.82E-04	5.44E-03	3.75E-05	2.92E-05	1.04E-04	1.11E-01
	11-27-1992	12-3-1992	11.479	10.460	14.615	6.191	13.057	0.0325	#N/A	5.653	1.542	3.56E-02	9.03E-01	1.08E+01	#N/A	5.67E-03	8.23E-01	3.75E-02	6.85E+00	9.48E-03	1.80E-04	1.70E-02	7.62E-04	4.32E-03	5.05E-04	3.62E-05	1.16E+00	1.17E-04	9.62E-04	6.48E-03	5.57E-03	4.30E-03	3.58E-04	5.54E-03	3.18E-05	2.24E-05	8.08E-05	1.15E-01
	12-3-1992	12-12-1992	14.505	10.056	23.084	8.059	21.056	0.0347	#N/A	8.363	2.625	7.96E-02	2.44E+00	1.50E+01	#N/A	7.10E-03	1.35E+00	6.41E-02	8.82E+00	8.58E-03	1.49E-04	2.60E-02	1.34E-03	6.28E-03	8.43E-04	5.89E-05	1.72E+00	2.00E-04	2.12E-03	6.99E-03	9.28E-03	3.50E-03	5.97E-04	7.96E-03	4.99E-05	3.99E-05	1.31E-04	1.20E-01
	12-12-1992	12-17-1992	29.629	6.378	14.494	15.446	10.606	0.0200	#N/A	3.657	2.358	8.30E-02	2.21E+00	2.86E+01	#N/A	4.07E-03	2.19E+00	5.34E-02	1.65E+01	4.47E-03	#N/A	1.42E-02	1.33E-03	7.21E-03	6.93E-04	5.65E-05	1.75E+00	1.93E-04	7.11E-04	#N/A	7.87E-03	2.57E-03	5.97E-04	4.43E-03	5.28E-05	3.79E-05	1.28E-04	1.16E-01
	12-17-1992	12-25-1992	19.551	4.988	13.306	11.408	10.435	0.0131	#N/A	3.021	2.232	8.14E-02	1.96E+00	1.99E+01	#N/A	7.52E-03	2.42E+00	4.58E-02	1.23E+01	5.91E-03	#N/A	2.42E-02	1.23E-03	6.00E-03	4.93E-04	6.00E-05	2.01E+00	1.88E-04	1.50E-03	5.40E-03	6.78E-03	2.19E-03	5.99E-04	3.85E-03	5.68E-05	3.55E-05	1.12E-04	9.95E-02
	12-25-1992	1-5-1993	11.765	6.402	18.104	6.933	16.359	0.0243	#N/A	5.317	1.514	3.67E-02	7.93E-01	1.04E+01	#N/A	7.09E-03	8.33E-01	4.24E-02	6.91E+00	4.12E-03	1.44E-04	2.49E-02	8.88E-04	5.16E-03	5.44E-04	4.03E-05	1.28E+00	1.42E-04	8.83E-04	3.82E-03	6.19E-03	3.19E-03	4.17E-04	5.58E-03	4.01E-05	2.31E-05	1.01E-04	1.11E-01
	1-5-1993	1-11-1993	5.115	1.571	2.496	2.748	1.804	0.0034	#N/A	0.785	0.176	1.83E-02	#N/A	5.87E+00	#N/A	8.50E-04	3.06E-01	4.03E-03	3.45E+00	1.69E-03	#N/A	#N/A	1.61E-03	8.93E-04	4.17E-05	3.16E-06	1.42E-01	1.24E-05	#N/A	1.35E-03	3.07E-04	7.72E-04	4.27E-05	6.36E-04	6.62E-06	#N/A	#N/A	1.74E-02
	1-11-1993	1-19-1993	8.096	1.014	3.222	4.347	2.128	0.0040	#N/A	0.208	0.215	2.35E-02	3.07E-01	8.25E+00	#N/A	8.17E-04	3.16E-01	6.36E-03	4.77E+00	6.35E-04	#N/A	9.36E-03	5.15E-04	1.19E-03	4.82E-05	3.63E-06	2.05E-01	2.03E-05	#N/A	8.91E-04	7.33E-04	5.08E-04	5.67E-05	4.63E-04	#N/A	3.73E-06	5.47E-06	1.77E-02
	1-19-1993	1-26-1993	6.311	1.958	4.998	3.316	4.164	0.0071	#N/A	0.801	0.418	2.71E-02	2.07E-01	3.84E+01	#N/A	1.44E-02	5.96E-01	4.97E-02	2.24E+01	1.15E-03	#N/A	7.44E-03	1.88E-04	9.71E-04	1.04E-04	8.54E-06	2.50E-01	3.18E-05	#N/A	1.33E-03	1.14E-03	6.97E-04	8.75E-05	1.18E-03	5.63E-06	4.58E-06	1.88E-05	2.18E-02
	1-26-1993	2-2-1993	11.630	2.386	6.114	6.641	4.443	0.0071	#N/A	1.307	2.227	3.88E-02	9.52E-01	1.67E+01	#N/A	4.46E-03	1.18E+00	3.84E-02	8.33E+00	3.73E-03	#N/A	2.73E-02	1.09E-03	4.64E-03	3.46E-04	5.36E-05	1.45E+00	1.79E-04	8.61E-04	2.42E-03	4.36E-03	7.69E-04	5.21E-04	1.82E-03	4.67E-05	3.04E-05	1.07E-04	3.58E-02
	2-2-1993	2-9-1993	8.692	2.953	9.119	5.039	7.851	0.0187	#N/A	2.085	0.877	3.60E-02	6.41E-01	7.66E+00	#N/A	5.16E-03	1.13E+00	1.88E-02	5.33E+00	3.24E-03	3.42E-05	1.05E-02	4.70E-04	2.10E-03	2.96E-04	1.85E-05	5.71E-01	6.62E-05	4.05E-04	1.82E-03	3.38E-03	1.45E-03	1.98E-04	2.70E-03	1.57E-05	1.37E-05	5.13E-05	5.13E-02
	2-9-1993	2-16-1993	17.460	2.701	9.192	7.549	7.292	0.0081	#N/A	3.735	2.404	1.15E-01	3.62E+00	1.18E+02	#N/A	#N/A	6.64E+00	5.73E-02	6.18E+01	4.06E-03	4.25E-04	1.68E-02	4.16E-02	3.78E-03	3.75E-04	3.51E-05	1.09E+00	1.17E-04	#N/A	#N/A	5.30E-03	8.76E-03	3.81E-04	2.70E-03	#N/A	3.34E-05	6.03E-05	9.75E-02
	2-16-1993	2-23-1993	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-23-1993	3-2-1993	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-2-1993	3-9-1993	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-9-1993	3-16-1993	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-23-1993	3-30-1993	4.572	0.737	0.813	2.149	0.272	0.0014	#N/A	0.851	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-30-1993	4-6-1993	1.869	0.457	0.590	0.981	0.343	0.0008	#N/A	0.309	1.278	2.86E-03	4.71E-01	1.90E+00	#N/A	#N/A	3.08E-01	1.24E-02	1.07E+00	1.80E-03	#N/A	1.99E-03	2.29E-04	1.21E-03	1.24E-04	1.83E-05	4.97E-01	6.23E-05	2.34E-04	#N/A	1.58E-03	2.20E-04	1.77E-04	#N/A	1.43E-05	1.41E-05	3.47E-05	1.74E-03
	4-6-1993	4-10-1993	1.684	0.179	0.433	0.907	0.205	0.0020	#N/A	0.141	1.011	7.46E-03	3.59E-01	1.49E+00	#N/A	#N/A	2.61E-01	6.79E-03	9.50E-01	1.69E-03	#N/A	#N/A	9.44E-05	5.40E-04	6.78E-05	1.52E-05	4.07E-01	6.05E-05	#N/A	#N/A	1.44E-03	5.27E-05	1.36E-04	#N/A	1.21E-05	#N/A	3.18E-05	#N/A
	4-10-1993	4-12-1993	5.770	2.643	8.752	4.174	7.702	0.0210	#N/A	2.623	0.779	2.30E-02	5.26E-01	4.77E+00	#N/A	3.91E-03	4.26E-01	1.77E-02	3.46E+00	1.37E-03	#N/A	8.54E-03	2.31E-04	1.50E-03	2.13E-04	1.67E-05	5.34E-01	5.01E-05	#N/A	#N/A	2.64E-03	5.34E-04	1.66E-04	1.15E-03	1.52E-05	9.78E-06	3.49E-05	2.77E-02
	4-12-1993	4-17-1993	2.793	4.829	8.132	1.778	7.685	0.0403	#N/A	3.664	0.897	1.97E-02	8.95E-01	2.85E+00	#N/A	4.63E-03	5.76E-01	3.10E-02	2.19E+00	2.81E-03	#N/A	2.96E-02	4.64E-04	2.67E-03	3.42E-04	2.87E-05	9.70E-01	1.15E-04	#N/A	#N/A	4.81E-03	8.83E-04	3.29E-04	1.84E-03	3.05E-05	1.47E-05	7.02E-05	3.27E-02
	4-19-1993	4-25-1993	6.705	4.496	19.461	6.322	17.870	0.1105	#N/A	5.099	1.506	2.54E-02	1.84E+00	6.13E+00	#N/A	3.17E-03	1.27E+00	4.66E-02	7.17E+00	8.26E-03	#N/A	2.17E-02	1.55E-03	5.08E-03	4.75E-04	3.30E-05	9.90E-01	1.15E-04	#N/A	#N/A	5.46E-03	2.87E-03	3.01E-04	5.91E-03	3.05E-05	1.63E-05	7.32E-05	9.89E-02
	4-26-1993	5-2-1993	11.810	3.301	5.972	7.591	4.061	0.0345	#N/A	1.537	2.672	1.84E-02	8.98E-01	1.32E+01	#N/A	#N/A	1.41E+00	3.26E-02	8.39E+00	5.07E-03	#N/A	3.84E-02	2.65E-03	3.42E-03	3.64E-04	4.64E-05	1.57E+00	1.67E-04	#N/A	#N/A	5.48E-03	5.35E-03	5.44E-04	7.05E-04	4.34E-05	4.10E-05	9.71E-05	2.60E-02
	5-2-1993	5-9-1993	3.582	5.183	8.793	2.672	8.120	0.0667	#N/A	1.885	4.889	1.47E-02	4.60E+00	2.95E+00	#N/A	3.53E-03	2.15E+00	7.26E-02	3.61E+00	1.27E-02	#N/A	6.10E-02	1.54E-03	6.75E-03	7.83E-04	9.98E-05	3.10E+00	2.64E-04	#N/A	#N/A	1.06E-02	1.24E-03	1.10E-03	1.77E-03	8.32E-05	1.05E-04	1.84E-04	4.04E-02
	5-9-1993	5-11-1993	4.075	5.387	9.116	2.291	8.540	0.0785	#N/A	2.264	6.488	7.55E-03	2.38E+00	4.46E+00	#N/A	7.27E-03	1.76E+00	1.00E-01	2.99E+00	1.17E-02	#N/A	6.20E-02	1.59E-03	7.32E-03	1.17E-03	1.24E-04	3.97E+00	3.25E-04	#N/A	#N/A	1.37E-02	1.43E-03	1.41E-03	2.82E-03	1.16E-04	6.93E-05	2.20E-04	5.90E-02
	5-11-1993	5-18-1993	11.387	4.740	8.793	7.887	6.807	0.0545	#N/A	2.067	0.867	2.41E-02	1.51E+00	1.57E+01	#N/A	4.14E-03	1.67E+00	3.37E-02	1.02E+01	3.27E-03	#N/A	1.33E-02	3.79E-03	2.39E-03	2.44E-04	1.85E-05	7.29E-01	5.61E-05	#N/A	#N/A	2.43E-03	7.13E-03	1.87E-04	1.52E-03	1.78E-05	1.16E-05	3.34E-05	5.80E-02
	5-18-1993	5-25-1993	3.778	5.403	9.966	2.605	9.310	0.0848	#N/A	3.658	2.616	1.24E-02	8.26E-01	3.66E+00	#N/A	4.05E-03	9.61E-01	5.00E-02	2.62E+00	6.22E-03	#N/A	3.28E-02	9.77E-04	4.08E-03	6.10E-04	5.30E-05	1.69E+00	1.73E-04	#N/A	#N/A	8.03E-03	1.51E-03	5.59E-04	3.12E-03	4.80E-05	2.31E-05	1.10E-04	5.18E-02
	5-25-1993	6-1-1993	1.904	5.497	8.654	1.373	8.308	0.0913	#N/A	4.496	0.856	1.16E-02	4.14E-01	1.95E+00	#N/A	5.06E-03	4.36E-01	1.96E-02	1.42E+00	7.65E-03	#N/A	1.27E-02	3.18E-04	2.25E-03	1.99E-04	1.99E-05	6.69E-01	6.43E-05	#N/A	#N/A	3.28E-03	2.38E-03	1.87E-04	2.09E-03	2.44E-05	9.89E-06	3.92E-05	4.06E-02
	6-1-1993	6-8-1993	11.640	4.983	7.733	7.563	5.829	0.0517	#N/A	2.642	#N/A	2.71E-02	7.16E-01	1.30E+01	#N/A	4.14E-03	9.83E-01	2.18E-02	7.58E+00	#N/A	#N/A	1.55E-02	9.40E-04	2.26E-03	3.18E-04	2.17E-05	6.13E-01	7.61E-05	#N/A	#N/A	4.30E-03	3.37E-03	2.07E-04	2.88E-03	1.91E-05	9.30E-06	4.89E-05	4.90E-02
	6-8-1993	6-15-1993	6.032	6.680	21.010	4.664	19.836	0.1370	#N/A	9.449	0.442	2.26E-02	9.62E-01	1.04E+01	#N/A	5.67E-03	9.72E-01	1.92E-02	7.55E+00	6.77E-03	#N/A	#N/A	4.86E-03	1.83E-03	1.91E-04	#N/A	3.63E-01	3.00E-05	#N/A	#N/A	2.04E-03	6.02E-03	1.01E-04	3.33E-03	#N/A	#N/A	2.14E-05	6.07E-02
	6-15-1993	6-22-1993	3.242	3.977	11.545	2.005	11.041	0.0773	#N/A	4.692	1.021	1.73E-02	5.32E-01	6.79E+00	#N/A	4.26E-03	5.73E-01	1.89E-02	4.32E+00	3.90E-03	#N/A	8.41E-03	1.01E-03	1.80E-03	2.26E-04	1.77E-05	5.42E-01	6.05E-05	#N/A	1.66E-03	2.74E-03	1.23E-03	1.95E-04	2.43E-03	1.59E-05	8.40E-06	3.86E-05	3.50E-02
