
	BEGIN	END	AVG_CL	AVG_NO3	AVG_SO4	AVG_NA	AVG_NSSSO4	AVG_MSA	AVG_ASH	AVG_NH4	_AL	_BR	_CA	_CL	_CU	_L	_MG	_MN	_NA	_V	_AG	_BA	_CO	_CR	_CS	_EU	_FE	_HF	_ND	_NI	_RB	_SB	_SC	_SE	_TA	_TB	YB	ZN
	9-25-1991	9-26-1991	38.917	3.514	11.006	23.038	5.207	0.0142	#N/A	1.247	0.176	1.60E-01	#N/A	7.13E+01	#N/A	#N/A	2.73E+00	#N/A	4.08E+01	3.28E-03	#N/A	#N/A	8.05E-05	1.75E-03	7.44E-05	3.41E-06	1.57E-01	7.25E-06	#N/A	#N/A	7.35E-04	1.23E-03	3.01E-05	1.15E-03	#N/A	#N/A	#N/A	2.69E-02
	9-26-1991	9-27-1991	123.782	2.135	15.225	73.851	-3.364	0.0024	#N/A	0.678	#N/A	4.83E-01	#N/A	1.64E+02	#N/A	#N/A	7.14E+00	#N/A	9.99E+01	#N/A	#N/A	#N/A	3.62E-04	2.45E-03	1.26E-04	#N/A	1.83E-01	9.57E-06	#N/A	3.56E-03	1.67E-03	1.11E-02	2.55E-05	2.63E-03	#N/A	#N/A	#N/A	5.29E-02
	9-27-1991	9-28-1991	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-28-1991	9-29-1991	42.175	5.949	11.080	21.478	5.674	0.0024	#N/A	1.915	0.413	1.64E-01	#N/A	4.70E+01	#N/A	6.88E-03	3.47E+00	#N/A	2.69E+01	6.75E-03	#N/A	#N/A	#N/A	2.95E-03	#N/A	#N/A	3.10E-01	#N/A	#N/A	#N/A	#N/A	3.27E-03	5.37E-05	#N/A	#N/A	#N/A	#N/A	6.49E-02
	9-29-1991	9-30-1991	20.679	2.975	7.273	12.858	4.037	0.0012	#N/A	1.154	0.245	9.04E-02	1.05E+00	2.83E+01	#N/A	#N/A	1.34E+00	7.82E-03	1.75E+01	5.04E-03	#N/A	#N/A	7.05E-05	1.65E-03	8.34E-05	5.71E-06	1.96E-01	2.10E-05	#N/A	#N/A	5.81E-04	1.28E-03	4.40E-05	8.39E-04	#N/A	#N/A	#N/A	3.65E-02
	9-30-1991	10-1-1991	49.143	1.040	10.010	12.510	6.862	0.0069	#N/A	0.808	0.061	1.07E-01	1.01E+00	2.90E+01	#N/A	#N/A	1.03E+00	#N/A	1.65E+01	1.15E-03	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	4.55E-02	#N/A	#N/A	#N/A	#N/A	1.07E-03	#N/A	#N/A	#N/A	#N/A	#N/A	3.26E-03
	10-1-1991	10-2-1991	21.132	3.372	7.896	10.999	5.127	0.0009	#N/A	1.968	0.287	1.01E-01	4.52E-01	2.54E+01	#N/A	8.62E-03	2.30E+00	#N/A	1.51E+01	3.54E-03	#N/A	#N/A	3.99E-05	4.04E-04	6.54E-05	5.85E-06	1.83E-01	#N/A	#N/A	#N/A	#N/A	1.53E-03	3.97E-05	9.59E-04	#N/A	#N/A	#N/A	1.65E-02
	10-2-1991	10-3-1991	14.659	6.366	9.906	6.517	8.266	#N/A	#N/A	3.307	0.798	1.10E-01	#N/A	1.88E+01	7.80E-02	1.24E-02	#N/A	#N/A	9.47E+00	7.00E-03	#N/A	#N/A	#N/A	1.33E-03	1.84E-04	1.46E-05	5.84E-01	4.57E-05	#N/A	#N/A	2.37E-03	3.10E-03	1.44E-04	1.43E-03	#N/A	#N/A	#N/A	3.49E-02
	10-3-1991	10-4-1991	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-4-1991	10-5-1991	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	2.19E-05	8.12E-04	9.26E-05	8.22E-06	2.71E-01	2.87E-05	#N/A	#N/A	1.36E-03	9.98E-04	7.22E-05	8.10E-04	#N/A	#N/A	#N/A	2.58E-02
