
	BEGIN	END	AVG_CL	AVG_NO3	AVG_SO4	AVG_NA	AVG_SEASALT	AVG_NSSSO4	AVG_MSA	AVG_ASH	AVG_DUST	AVG_NH4
	3-20-1991	3-27-1991	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-27-1991	4-3-1991	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-3-1991	4-10-1991	6.020	0.014	1.168	3.468	11.278	0.295	0.0257	1.438	1.869	0.0511
	4-10-1991	4-17-1991	5.659	0.015	0.977	3.196	10.394	0.173	0.0190	0.302	0.392	0.0134
	4-17-1991	4-24-1991	5.833	0.018	1.231	3.327	10.820	0.394	0.0148	0.531	0.691	0.0472
	4-24-1991	5-1-1991	9.865	0.023	2.412	5.498	17.880	1.028	0.0145	0.806	1.048	0.2738
	5-1-1991	6-5-1991	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	6-5-1991	6-12-1991	3.307	0.017	0.633	1.830	5.950	0.172	0.0038	#N/A	#N/A	0.0113
	6-12-1991	6-19-1991	1.477	0.063	0.931	1.009	3.280	0.677	0.0037	#N/A	#N/A	0.1991
	6-19-1991	6-26-1991	1.637	0.016	0.651	1.115	3.625	0.370	0.0023	#N/A	#N/A	0.0518
	6-26-1991	7-3-1991	3.670	0.018	1.169	2.015	6.554	0.662	0.0020	#N/A	#N/A	0.1031
	7-3-1991	7-10-1991	3.258	0.049	1.281	1.893	6.157	0.805	0.0019	#N/A	#N/A	0.1048
	7-10-1991	7-17-1991	6.756	0.040	1.769	3.847	12.510	0.801	0.0032	#N/A	#N/A	0.1242
	7-17-1991	7-24-1991	2.340	0.030	0.469	1.285	4.177	0.145	0.0028	#N/A	#N/A	0.0099
	7-24-1991	7-31-1991	2.111	0.004	0.420	1.323	4.302	0.087	0.0030	#N/A	#N/A	0.0125
	7-31-1991	8-7-1991	1.118	0.021	0.615	0.690	2.245	0.441	0.0026	#N/A	#N/A	0.0320
	8-7-1991	8-14-1991	1.451	0.018	0.661	1.007	3.274	0.407	0.0043	#N/A	#N/A	0.0301
	8-14-1991	8-21-1991	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	8-21-1991	8-28-1991	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
