
	BEGIN	END	AVG_CL	AVG_NO3	AVG_SO4	AVG_NA	AVG_SEASALT	AVG_NSSSO4	AVG_MSA	AVG_ASH	AVG_DUST	AVG_NH4
	11-1-1991	11-8-1991	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	11-8-1991	11-16-1991	6.576	0.149	1.359	3.863	12.562	0.387	#N/A	#N/A	#N/A	0.0660
	11-16-1991	11-22-1991	3.807	0.318	1.160	2.329	7.573	0.574	#N/A	#N/A	#N/A	0.1041
	11-22-1991	11-30-1991	6.932	0.188	1.484	4.533	14.743	0.343	#N/A	#N/A	#N/A	0.0828
	11-30-1991	12-5-1991	2.992	0.388	1.106	2.160	7.025	0.562	#N/A	#N/A	#N/A	0.1890
	12-5-1991	1-2-1992	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-2-1992	1-9-1992	2.650	0.169	0.958	1.607	5.226	0.553	#N/A	#N/A	#N/A	0.1478
	1-9-1992	1-17-1992	2.113	0.236	0.789	1.291	4.200	0.464	#N/A	#N/A	#N/A	0.1150
	1-17-1992	1-23-1992	7.066	0.254	1.553	4.124	13.413	0.514	#N/A	#N/A	#N/A	0.1568
	1-23-1992	1-30-1992	1.549	0.266	0.806	1.173	3.816	0.510	#N/A	#N/A	#N/A	0.1486
	1-30-1992	2-6-1992	1.642	0.219	0.741	1.360	4.422	0.399	#N/A	#N/A	#N/A	0.1384
	2-6-1992	2-13-1992	5.153	0.095	0.840	2.940	9.561	0.100	#N/A	#N/A	#N/A	0.0249
	2-13-1992	2-20-1992	6.679	0.056	1.073	3.839	12.484	0.107	#N/A	#N/A	#N/A	0.0443
	2-20-1992	2-27-1992	10.224	0.104	1.718	5.957	19.372	0.219	#N/A	#N/A	#N/A	0.0965
	2-27-1992	3-5-1992	8.106	0.083	1.380	4.887	15.893	0.150	#N/A	#N/A	#N/A	0.0280
	3-5-1992	3-12-1992	4.639	0.180	0.919	2.918	9.488	0.185	#N/A	#N/A	#N/A	0.0549
	3-12-1992	3-19-1992	5.556	0.120	1.073	3.311	10.766	0.239	#N/A	#N/A	#N/A	0.0392
	3-19-1992	3-26-1992	5.913	0.190	1.222	3.568	11.602	0.324	#N/A	#N/A	#N/A	0.0532
	3-26-1992	4-2-1992	1.455	0.407	0.645	1.197	3.892	0.344	#N/A	#N/A	#N/A	0.0803
	4-2-1992	4-9-1992	3.369	0.213	0.818	1.914	6.223	0.336	#N/A	#N/A	#N/A	0.0694
	4-9-1992	4-16-1992	5.110	0.113	0.889	2.929	9.526	0.152	#N/A	#N/A	#N/A	0.0329
	4-16-1992	4-23-1992	8.151	0.167	1.474	4.872	15.843	0.248	#N/A	#N/A	#N/A	0.0477
	4-23-1992	4-30-1992	8.096	0.172	1.535	5.318	17.295	0.196	#N/A	#N/A	#N/A	0.0486
	4-30-1992	5-7-1992	6.580	0.128	1.198	3.857	12.543	0.228	#N/A	#N/A	#N/A	0.0347
	5-7-1992	5-14-1992	7.694	0.124	1.297	4.819	15.673	0.084	#N/A	#N/A	#N/A	0.0340
	5-14-1992	5-21-1992	6.231	0.082	1.326	3.687	11.989	0.398	#N/A	#N/A	#N/A	0.0506
	5-21-1992	5-28-1992	6.389	0.493	1.474	4.106	13.352	0.440	#N/A	#N/A	#N/A	0.0751
	5-28-1992	6-4-1992	4.897	0.304	1.103	2.863	9.310	0.382	#N/A	#N/A	#N/A	0.0568
	6-4-1992	6-11-1992	4.757	0.173	0.946	2.884	9.380	0.220	#N/A	#N/A	#N/A	0.0365
	6-11-1992	6-18-1992	5.167	0.089	0.878	2.969	9.656	0.131	#N/A	#N/A	#N/A	0.0156
	6-18-1992	6-25-1992	5.332	0.105	1.073	3.294	10.713	0.243	#N/A	#N/A	#N/A	0.0336
	6-25-1992	7-2-1992	7.187	0.235	1.367	4.193	13.636	0.311	#N/A	#N/A	#N/A	0.0548
	7-2-1992	7-9-1992	4.637	0.161	0.905	2.806	9.124	0.198	#N/A	#N/A	#N/A	0.0390
	7-9-1992	7-16-1992	7.463	0.284	1.563	4.482	14.574	0.435	#N/A	#N/A	#N/A	0.0766
	7-16-1992	7-23-1992	5.655	0.110	1.165	3.414	11.104	0.305	#N/A	#N/A	#N/A	0.0627
	7-23-1992	7-30-1992	4.185	0.099	0.825	2.493	8.106	0.198	#N/A	#N/A	#N/A	0.0360
	7-30-1992	8-6-1992	7.389	0.087	1.319	4.379	14.241	0.216	#N/A	#N/A	#N/A	0.0442
	8-6-1992	8-13-1992	5.720	0.152	1.081	3.387	11.015	0.229	#N/A	#N/A	#N/A	0.0552
	8-13-1992	8-20-1992	3.184	0.147	0.796	1.902	6.186	0.317	#N/A	#N/A	#N/A	0.0665
	8-20-1992	8-27-1992	7.855	0.234	1.759	4.545	14.779	0.615	#N/A	#N/A	#N/A	0.1299
	8-27-1992	9-3-1992	6.476	0.122	1.259	3.834	12.469	0.294	#N/A	#N/A	#N/A	0.0562
	9-3-1992	9-10-1992	7.723	0.065	1.225	4.596	14.945	0.069	#N/A	#N/A	#N/A	0.0290
	9-10-1992	9-17-1992	5.620	0.347	1.389	3.778	12.287	0.438	#N/A	#N/A	#N/A	0.1100
	9-17-1992	9-24-1992	6.084	0.458	1.753	3.830	12.454	0.789	#N/A	#N/A	#N/A	0.1592
	9-24-1992	10-1-1992	7.076	0.193	1.477	4.354	14.158	0.381	#N/A	#N/A	#N/A	0.0989
	10-1-1992	10-8-1992	6.196	0.350	1.575	4.059	13.200	0.553	#N/A	#N/A	#N/A	0.1276
	10-8-1992	10-15-1992	4.812	0.391	1.326	3.069	9.982	0.554	#N/A	#N/A	#N/A	0.1153
	10-15-1992	10-22-1992	6.351	0.166	1.263	3.867	12.575	0.290	#N/A	#N/A	#N/A	0.0607
	10-22-1992	10-29-1992	5.670	0.388	1.466	3.476	11.303	0.591	#N/A	#N/A	#N/A	0.1359
	10-29-1992	11-5-1992	2.820	0.566	1.521	2.012	6.544	1.014	#N/A	#N/A	#N/A	0.2055
	11-5-1992	11-12-1992	4.048	0.293	1.108	2.544	8.274	0.467	#N/A	#N/A	#N/A	0.1223
	11-12-1992	11-19-1992	5.250	0.172	1.221	3.127	10.170	0.434	#N/A	#N/A	#N/A	0.0945
	11-19-1992	11-26-1992	2.353	0.202	0.821	1.488	4.838	0.446	#N/A	#N/A	#N/A	0.0893
	11-26-1992	12-3-1992	5.161	0.182	1.218	3.113	10.123	0.435	#N/A	#N/A	#N/A	0.0781
	12-3-1992	12-10-1992	7.308	0.258	1.552	4.241	13.793	0.485	#N/A	#N/A	#N/A	0.0877
	12-10-1992	12-17-1992	8.412	0.166	1.598	4.814	15.656	0.386	#N/A	#N/A	#N/A	0.0718
	12-17-1992	12-24-1992	5.919	0.172	1.314	3.418	11.114	0.454	#N/A	#N/A	#N/A	0.0721
	12-24-1992	12-31-1992	3.120	0.228	1.112	1.848	6.011	0.647	#N/A	#N/A	#N/A	0.1173
	12-31-1992	1-7-1993	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-7-1993	1-14-1993	2.571	0.411	1.174	1.758	5.718	0.732	#N/A	#N/A	#N/A	0.1646
	1-14-1993	1-21-1993	9.408	0.306	2.094	5.645	18.358	0.673	#N/A	#N/A	#N/A	0.1950
	1-21-1993	1-28-1993	7.105	0.442	2.246	4.317	14.041	1.159	#N/A	#N/A	#N/A	0.2326
	1-28-1993	2-4-1993	3.946	0.412	1.354	2.605	8.472	0.698	#N/A	#N/A	#N/A	0.1879
	2-4-1993	2-11-1993	1.366	0.383	0.916	1.257	4.087	0.599	#N/A	#N/A	#N/A	0.2102
	2-11-1993	2-18-1993	1.641	0.438	1.055	1.428	4.644	0.696	#N/A	#N/A	#N/A	0.2020
	2-18-1993	2-26-1993	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-26-1993	3-4-1993	8.366	0.112	1.460	4.876	15.857	0.233	#N/A	#N/A	#N/A	0.0965
	3-4-1993	3-11-1993	7.526	0.336	1.450	4.384	14.257	0.347	#N/A	#N/A	#N/A	0.0798
