
	BEGIN	END	AVG_CL	AVG_NO3	AVG_SO4	AVG_NA	AVG_NSSSO4	AVG_MSA	AVG_ASH	AVG_NH4	_NA	_AL	_DUST	_BE7	_PB210	_PB210
	7-17-1986	7-24-1986	53.742	0.031	6.950	30.295	-0.675	#N/A	#N/A	#N/A	26.5	0.2	2.5	2.269	#N/A	#N/A
	7-24-1986	8-1-1986	43.308	0.031	6.156	24.629	-0.043	#N/A	#N/A	#N/A	27.2	6.6	82.5	4.809	#N/A	#N/A
	8-1-1986	8-7-1986	73.127	#N/A	10.137	41.813	-0.388	#N/A	#N/A	#N/A	39.0	4.4	55.0	3.743	#N/A	#N/A
	8-7-1986	8-14-1986	62.227	0.094	8.685	35.709	-0.303	#N/A	#N/A	#N/A	31.1	6.7	83.8	7.062	#N/A	#N/A
	8-14-1986	8-21-1986	51.948	0.062	7.231	28.941	-0.053	#N/A	#N/A	#N/A	27.7	6.6	82.5	5.441	#N/A	#N/A
	8-21-1986	8-28-1986	68.661	0.063	9.382	42.302	-1.266	#N/A	#N/A	#N/A	38.7	8.2	102.5	3.674	#N/A	#N/A
	8-28-1986	9-4-1986	51.464	0.140	7.265	28.966	-0.026	#N/A	#N/A	#N/A	20.4	8.3	103.8	3.503	#N/A	#N/A
	9-4-1986	9-11-1986	45.885	0.117	6.493	25.429	0.092	#N/A	#N/A	#N/A	28.6	6.2	77.5	5.342	#N/A	#N/A
	9-11-1986	9-18-1986	34.489	0.040	5.101	18.889	0.346	#N/A	#N/A	#N/A	23.4	1.7	21.3	3.810	#N/A	#N/A
	9-18-1986	9-25-1986	59.734	0.148	8.524	34.670	-0.202	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	5.674	#N/A	#N/A
	9-25-1986	10-2-1986	58.523	0.040	7.372	33.348	-1.021	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	2.762	#N/A	#N/A
	10-2-1986	10-9-1986	63.121	0.248	9.293	35.339	0.399	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	5.553	#N/A	#N/A
	10-9-1986	10-16-1986	74.766	0.269	10.758	41.368	0.345	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	5.457	#N/A	#N/A
	10-16-1986	10-23-1986	60.712	0.053	8.580	34.448	-0.091	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	3.631	#N/A	#N/A
	10-23-1986	10-30-1986	59.078	0.206	7.970	33.829	-0.545	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	13.947	#N/A	#N/A
	10-30-1986	11-6-1986	59.891	0.219	8.673	33.555	0.227	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	39.200	#N/A	#N/A
	11-6-1986	11-13-1986	49.606	0.268	7.248	27.616	0.297	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	6.426	#N/A	#N/A
	11-13-1986	11-20-1986	88.616	0.069	12.049	47.461	0.103	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	3.428	#N/A	#N/A
	11-20-1986	11-27-1986	46.773	0.022	6.623	26.099	0.054	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	3.322	#N/A	#N/A
	11-27-1986	12-4-1986	80.601	#N/A	11.737	44.164	0.621	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	4.524	#N/A	#N/A
	12-4-1986	12-11-1986	90.037	0.090	13.119	49.994	0.536	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	5.535	#N/A	#N/A
	12-11-1986	12-18-1986	55.471	0.021	7.767	31.300	-0.111	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	4.746	#N/A	#N/A
	12-18-1986	12-25-1986	83.803	0.117	11.465	45.377	0.043	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	12-25-1986	1-4-1987	129.116	#N/A	16.512	71.478	-1.479	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1.270	#N/A	#N/A
	1-4-1987	1-8-1987	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-8-1987	1-15-1987	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-15-1987	1-22-1987	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-22-1987	1-29-1987	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-29-1987	2-5-1987	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-5-1987	2-12-1987	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-12-1987	2-19-1987	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-19-1987	2-26-1987	62.791	0.067	9.243	34.148	0.647	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	5.198	#N/A	#N/A
	2-26-1987	3-5-1987	47.265	0.018	6.694	25.242	0.341	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-5-1987	3-12-1987	71.406	0.072	10.177	38.062	0.597	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	3.481	#N/A	#N/A
	3-12-1987	3-19-1987	56.956	0.080	8.278	30.298	0.652	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-19-1987	3-26-1987	85.223	0.059	12.177	46.215	0.545	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-26-1987	4-2-1987	67.540	0.097	9.616	36.915	0.324	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-2-1987	4-9-1987	71.503	0.057	10.046	38.259	0.416	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-9-1987	4-16-1987	75.842	0.059	10.831	41.165	0.469	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-16-1987	4-23-1987	87.270	0.056	12.252	47.000	0.423	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-23-1987	4-30-1987	68.785	0.068	9.522	37.183	0.163	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-30-1987	5-7-1987	73.953	0.052	9.892	38.980	0.081	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	5-7-1987	5-14-1987	70.914	0.043	9.946	37.710	0.454	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	5-14-1987	5-21-1987	82.212	0.072	11.650	44.011	0.573	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	5-21-1987	5-28-1987	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	5-28-1987	6-4-1987	94.001	#N/A	12.920	49.745	0.399	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	6-4-1987	6-11-1987	68.562	0.145	9.392	36.136	0.297	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	6-11-1987	6-18-1987	77.123	#N/A	9.901	40.777	-0.362	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	6-18-1987	6-25-1987	70.878	#N/A	10.059	37.702	0.569	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	6-25-1987	7-2-1987	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	7-2-1987	7-9-1987	35.180	0.152	4.774	18.693	0.069	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	7-9-1987	7-16-1987	62.343	0.148	8.627	32.942	0.336	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	7-16-1987	7-23-1987	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	7-23-1987	7-30-1987	60.573	0.335	8.898	32.450	0.731	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	7-30-1987	8-6-1987	59.837	0.122	8.336	31.913	0.304	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	8-6-1987	8-13-1987	71.795	#N/A	9.730	38.903	-0.062	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	8-13-1987	2-9-1989	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-9-1989	2-16-1989	11.122	0.177	1.989	6.420	0.374	#N/A	#N/A	0.0078	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-16-1989	2-23-1989	12.790	0.120	2.200	7.459	0.323	#N/A	#N/A	0.0085	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-23-1989	3-2-1989	16.505	0.141	3.201	9.620	0.780	#N/A	#N/A	0.0589	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-2-1989	3-9-1989	11.552	0.116	2.124	6.527	0.481	#N/A	#N/A	0.0039	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-9-1989	3-16-1989	18.328	0.136	2.897	10.138	0.345	#N/A	#N/A	0.0053	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-16-1989	3-23-1989	11.280	0.097	1.849	6.516	0.209	#N/A	#N/A	0.0041	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-23-1989	3-30-1989	12.458	0.102	2.052	7.112	0.261	#N/A	#N/A	0.0036	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-30-1989	4-6-1989	14.364	0.105	2.436	8.256	0.358	#N/A	#N/A	0.0011	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-6-1989	4-13-1989	11.727	0.077	2.043	6.576	0.388	#N/A	#N/A	0.0010	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-13-1989	4-20-1989	13.317	0.102	2.352	7.729	0.407	#N/A	#N/A	0.0020	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-20-1989	4-27-1989	11.505	0.065	1.702	6.716	0.011	#N/A	#N/A	0.0059	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-27-1989	5-4-1989	17.504	0.021	2.637	9.615	0.217	#N/A	#N/A	0.0006	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	5-4-1989	5-11-1989	13.679	0.047	2.038	7.673	0.106	#N/A	#N/A	0.0029	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	5-11-1989	5-18-1989	16.168	0.146	2.581	9.082	0.295	#N/A	#N/A	0.0066	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	5-18-1989	5-25-1989	12.346	0.043	2.028	7.253	0.202	#N/A	#N/A	0.0041	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	5-25-1989	6-1-1989	14.540	0.024	2.135	8.135	0.087	#N/A	#N/A	0.0244	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	6-1-1989	6-8-1989	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	6-8-1989	6-15-1989	14.490	0.073	2.224	8.222	0.154	#N/A	#N/A	0.0027	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	6-15-1989	6-22-1989	16.989	0.053	2.552	9.362	0.196	#N/A	#N/A	0.0048	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	6-22-1989	6-29-1989	14.855	0.030	2.188	8.364	0.082	#N/A	#N/A	0.0021	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	6-29-1989	7-6-1989	16.148	0.089	2.714	9.573	0.304	#N/A	#N/A	0.0210	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	7-6-1989	7-13-1989	33.726	0.131	4.270	19.807	-0.716	#N/A	#N/A	0.0228	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	7-13-1989	7-20-1989	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	7-20-1989	7-27-1989	9.668	0.088	1.752	5.596	0.344	#N/A	#N/A	0.0155	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	7-27-1989	8-3-1989	10.528	0.069	1.671	6.086	0.140	#N/A	#N/A	0.0112	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	8-3-1989	8-10-1989	15.985	0.084	2.914	9.225	0.592	#N/A	#N/A	0.0313	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	8-10-1989	8-17-1989	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	8-17-1989	8-24-1989	22.439	0.061	3.598	12.353	0.489	#N/A	#N/A	0.0048	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	8-24-1989	8-31-1989	13.684	0.256	2.311	7.762	0.358	#N/A	#N/A	0.0419	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	8-31-1989	9-7-1989	17.216	0.309	2.769	9.485	0.381	#N/A	#N/A	0.0051	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-7-1989	9-14-1989	12.859	0.141	2.081	7.817	0.113	#N/A	#N/A	0.0009	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-14-1989	9-21-1989	11.391	0.209	1.942	6.714	0.252	#N/A	#N/A	0.0069	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-21-1989	9-28-1989	14.679	0.133	2.280	8.427	0.159	#N/A	#N/A	-0.0004	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-28-1989	10-5-1989	16.168	0.078	2.479	9.070	0.196	#N/A	#N/A	0.0021	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-5-1989	10-12-1989	11.579	0.114	2.040	6.604	0.378	#N/A	#N/A	0.0028	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-12-1989	10-19-1989	10.818	0.215	2.180	6.296	0.595	#N/A	#N/A	0.0031	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-19-1989	10-26-1989	24.524	0.119	3.859	14.031	0.327	#N/A	#N/A	0.0085	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-26-1989	11-2-1989	21.273	0.076	3.155	12.183	0.088	0.0218	#N/A	0.0158	#N/A	4.6	57.9	#N/A	#N/A	#N/A
	11-2-1989	11-9-1989	27.135	0.090	4.121	15.242	0.285	0.0187	#N/A	0.0280	#N/A	2.7	33.8	#N/A	#N/A	#N/A
	11-9-1989	11-16-1989	15.981	0.212	2.562	8.896	0.323	0.0161	#N/A	0.0428	#N/A	-0.1	-1.3	#N/A	#N/A	#N/A
	11-16-1989	11-23-1989	16.632	0.128	2.560	9.280	0.224	0.0188	#N/A	0.0413	#N/A	2.9	35.9	#N/A	#N/A	#N/A
	11-23-1989	11-30-1989	35.449	0.198	5.343	19.425	0.454	0.0250	#N/A	0.0625	#N/A	4.6	57.9	#N/A	#N/A	#N/A
	11-30-1989	12-7-1989	14.995	0.100	2.400	8.356	0.296	#N/A	#N/A	0.0478	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	12-7-1989	12-14-1989	11.089	0.127	1.898	6.669	0.219	#N/A	#N/A	0.0073	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	12-14-1989	12-21-1989	11.474	0.042	1.817	6.999	0.055	#N/A	#N/A	0.0191	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	12-21-1989	12-28-1989	13.982	0.084	2.358	8.326	0.262	#N/A	#N/A	0.0334	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	12-28-1989	1-4-1990	9.448	0.069	1.746	5.534	0.353	#N/A	#N/A	0.0145	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-4-1990	1-11-1990	10.988	0.108	2.333	7.058	0.556	0.0513	#N/A	0.0041	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-11-1990	1-18-1990	15.302	0.055	2.798	9.331	0.449	0.0388	#N/A	0.0125	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-18-1990	1-25-1990	14.284	0.142	2.452	8.413	0.335	0.0193	#N/A	0.0008	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-25-1990	2-1-1990	16.377	0.060	2.614	8.920	0.369	0.0105	#N/A	0.0044	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-2-1990	2-8-1990	19.325	0.056	3.054	10.930	0.303	0.0338	#N/A	0.0411	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-8-1990	2-16-1990	27.122	0.041	3.515	15.620	-0.416	0.0345	#N/A	0.0084	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-16-1990	2-22-1990	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-22-1990	3-1-1990	8.829	0.157	1.998	5.135	0.706	0.0359	#N/A	0.0095	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-1-1990	3-8-1990	12.053	0.094	2.083	7.515	0.191	0.0262	#N/A	0.0047	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-8-1990	3-15-1990	12.815	0.094	2.097	7.446	0.223	0.0255	#N/A	0.0003	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-15-1990	3-22-1990	13.835	0.104	2.383	8.407	0.267	0.0218	#N/A	0.0051	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-22-1990	3-29-1990	40.148	0.081	6.021	22.416	0.379	0.0156	#N/A	0.0085	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-29-1990	4-5-1990	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-5-1990	4-12-1990	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-12-1990	4-19-1990	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-19-1990	4-26-1990	13.568	0.047	2.066	7.373	0.210	0.0068	#N/A	0.0047	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-26-1990	5-3-1990	14.344	0.046	2.018	7.651	0.092	0.0066	#N/A	-0.0054	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	5-3-1990	5-11-1990	14.260	0.140	2.227	8.253	0.150	0.0155	#N/A	0.0015	#N/A	4.4	55.3	#N/A	#N/A	#N/A
	5-11-1990	5-18-1990	21.826	0.090	3.194	12.056	0.159	0.0153	#N/A	0.0275	#N/A	-0.3	-3.7	#N/A	#N/A	#N/A
	5-18-1990	5-25-1990	22.703	0.071	3.206	12.362	0.094	0.0136	#N/A	0.0547	#N/A	1.5	18.5	#N/A	#N/A	#N/A
	5-25-1990	6-1-1990	14.727	0.090	2.203	8.395	0.090	0.0141	#N/A	0.0708	#N/A	1.4	17.3	#N/A	#N/A	#N/A
	6-1-1990	6-8-1990	22.829	0.083	3.346	12.833	0.116	0.0202	#N/A	0.0253	#N/A	2.2	27.1	#N/A	#N/A	#N/A
	6-8-1990	6-14-1990	22.164	0.053	3.323	12.213	0.249	0.0210	#N/A	0.2905	#N/A	6.5	81.3	#N/A	#N/A	#N/A
	6-14-1990	6-21-1990	11.253	0.100	1.951	6.273	0.372	0.0192	#N/A	0.0090	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	6-21-1990	6-28-1990	16.871	0.092	2.551	9.370	0.193	0.0084	#N/A	0.0133	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	6-28-1990	7-5-1990	18.270	0.067	2.684	9.992	0.169	0.0074	#N/A	0.0862	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	7-5-1990	7-12-1990	14.553	0.060	2.314	8.150	0.263	0.0210	#N/A	0.0140	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	7-12-1990	7-19-1990	17.152	0.088	2.836	9.698	0.395	0.0259	#N/A	0.0079	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	7-19-1990	7-26-1990	18.998	0.049	2.755	10.903	0.010	0.0073	#N/A	0.0093	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	7-26-1990	8-2-1990	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	8-2-1990	8-9-1990	14.781	0.066	2.180	8.315	0.087	0.0072	#N/A	0.0144	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	8-9-1990	8-16-1990	15.961	0.089	2.456	8.846	0.229	0.0119	#N/A	0.0086	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	8-16-1990	8-23-1990	13.324	0.129	2.261	7.726	0.316	0.0100	#N/A	0.0033	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	8-23-1990	8-30-1990	12.918	0.155	2.185	7.219	0.368	0.0140	#N/A	0.0330	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	8-30-1990	9-6-1990	12.893	0.118	2.032	7.376	0.176	0.0096	#N/A	0.0410	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-6-1990	9-13-1990	13.782	0.155	2.260	7.641	0.336	0.0123	#N/A	0.0079	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-13-1990	9-20-1990	15.210	0.091	2.389	9.028	0.116	0.0129	#N/A	0.0221	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-20-1990	9-27-1990	18.886	0.064	3.082	11.125	0.282	0.0126	#N/A	0.0030	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-27-1990	10-4-1990	27.268	0.059	3.971	15.113	0.167	0.0127	#N/A	0.0086	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-4-1990	10-11-1990	21.108	0.104	2.998	12.307	-0.100	0.0180	#N/A	0.0019	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-11-1990	10-18-1990	17.483	0.085	2.661	10.203	0.093	0.0153	#N/A	0.0020	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-18-1990	10-25-1990	20.196	0.068	2.807	12.655	-0.378	0.0103	#N/A	0.0035	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-25-1990	11-1-1990	18.523	0.118	2.678	10.099	0.137	0.0158	#N/A	0.0025	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	11-1-1990	11-8-1990	16.226	0.073	2.333	9.303	-0.009	0.0135	#N/A	0.0042	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	11-8-1990	11-15-1990	11.309	0.106	1.868	6.240	0.297	0.0282	#N/A	0.0027	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	11-15-1990	11-22-1990	15.835	0.114	2.506	9.336	0.156	0.0298	#N/A	0.0037	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	11-22-1990	11-29-1990	24.417	0.035	3.841	13.724	0.386	0.0157	#N/A	0.0074	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	11-29-1990	12-6-1990	15.167	0.126	2.478	8.734	0.279	0.0291	#N/A	0.0086	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	12-6-1990	12-13-1990	13.420	0.075	2.147	7.789	0.186	0.0240	#N/A	0.0020	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	12-13-1990	12-20-1990	14.866	0.177	2.613	8.786	0.401	0.0357	#N/A	0.0030	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	12-20-1990	12-27-1990	14.519	0.066	2.140	8.198	0.077	0.0128	#N/A	0.0156	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	12-27-1990	1-3-1991	14.961	0.125	2.348	8.499	0.209	0.0119	#N/A	0.0078	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-3-1991	1-10-1991	28.922	0.091	4.239	15.950	0.225	0.0336	#N/A	0.0207	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-10-1991	1-18-1991	25.776	0.074	3.836	14.255	0.248	0.0394	#N/A	0.0115	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-18-1991	1-24-1991	22.202	0.064	3.263	13.316	-0.088	0.0225	#N/A	0.0118	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-24-1991	1-31-1991	44.259	0.130	6.206	27.950	-0.829	0.0629	#N/A	0.0058	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-31-1991	2-7-1991	12.701	0.097	2.146	7.493	0.261	0.0193	#N/A	0.0032	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-7-1991	2-14-1991	10.660	0.055	1.743	6.222	0.177	0.0128	#N/A	0.0015	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-14-1991	2-21-1991	18.045	0.063	2.792	11.248	-0.039	0.0224	#N/A	0.0028	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-21-1991	2-28-1991	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-28-1991	3-7-1991	22.900	0.088	3.597	13.294	0.250	0.0236	#N/A	0.0005	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-7-1991	3-14-1991	17.625	0.096	3.015	10.372	0.405	0.0300	#N/A	0.0005	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-14-1991	3-21-1991	19.452	0.087	3.221	11.076	0.434	0.0204	#N/A	0.0021	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-21-1991	3-28-1991	23.891	0.114	3.553	13.069	0.264	0.0133	#N/A	0.0029	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-28-1991	4-4-1991	19.348	0.088	2.849	11.248	0.017	0.0180	#N/A	0.0114	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-5-1991	4-11-1991	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-11-1991	4-18-1991	20.192	0.044	2.870	11.322	0.020	0.0074	#N/A	0.0041	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-18-1991	4-25-1991	21.437	0.052	3.093	11.614	0.170	0.0065	#N/A	0.0024	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
